"","GEOID","pm25_1998","pm25_1999","pm25_2000","pm25_2001","pm25_2002","pm25_2003","pm25_2004","pm25_2005","pm25_2006","pm25_2007","pm25_2008","pm25_2009","pm25_2010","pm25_2011","pm25_2012","pm25_2013","pm25_2014","pm25_2015","pm25_2016"
"1","53009000200",5.39772277350473,5.42306930475896,5.57897384329821,5.03947110297514,5.01044624354728,5.43540587346994,4.93193546905312,5.08731706875127,5.46884616063191,4.27445509024257,4.78168462983074,5.35935185860705,4.3723488481359,4.62341040671446,5.44177570287312,4.39042356582856,4.23758519961052,6.77523718963764,3.84870316292894
"2","53009000300",6.24029851315626,6.00597012576772,4.71290321503916,5.39729728247668,5.01607142175947,5.31891891118642,4.73035713604518,4.91212117671967,6.45479451140312,3.02352940334993,4.45714286395482,5.42456141271089,4.09178081603899,4.49999998637608,4.83235292574939,5.12686567520028,4.32388059416814,5.8650793196663,4.56461538351499
"3","53009000400",5.45511463447433,5.45370370759325,5.49312344778641,4.99542801366242,5.01921005865402,5.52699530535088,4.64645286192583,5.34665476882383,5.3712236327964,3.91589519144666,4.9100854675994,5.4419063324799,4.04518827853343,4.55838982664933,5.08582151622152,4.62296819455211,4.00956816031305,6.46043289956592,4.33583765099909
"4","53009000600",5.48379074034519,5.5185248794523,5.15227669759306,5.16190036823389,5.06148867198179,6.20171673758347,4.74695407215858,5.20910652703846,5.36000000052765,4.07795081607631,5.00057899478647,5.3908703165453,4.09192897447951,4.43729096780653,5.2505833358566,4.6601301909851,4.00463352970647,6.4128813636505,4.42537436985136
"5","53009000700",5.89285714285714,5.55000005449568,6.04285710198539,5.94999998807907,5.13333331214057,6.2000000260093,4.86249995231628,4.17692305491521,4.99285711560931,4.82142853736877,5.10714289120265,4.68571419375283,4.35555548138089,4.10833334922791,4.41428577899933,4.29999996934618,4.78571431977408,4.87142860889435,3.83571427209037
"6","53009000800",5.4333332379659,5.29999987284342,5.4333332379659,5.69999980926514,4.40000009536743,5.46666669845581,5.30000019073486,3.93333339691162,4.83333349227905,4.83333333333333,5.66666650772095,4.59999990463257,4.5,3.46666661898295,5.16666650772095,3.43333339691162,4.26666657129924,5.43333339691162,4.35000002384186
"7","53009000900",6.19999996821086,5.66666650772095,6.50000015894572,NA,4.59999990463257,6.69999980926514,NA,4.23333326975505,5.20000012715658,5.16666666666667,5.40000009536743,3.53333330154419,4.66666666666667,4.30000019073486,2.06666660308838,NA,5.0666667620341,7.83333317438761,6.23333326975505
"8","53009001000",6.19999980926514,5.59999990463257,6,NA,4.59999990463257,6.90000009536743,NA,4.30000019073486,5.40000009536743,4.90000009536743,5.30000019073486,3.5,4.80000019073486,4.59999990463257,2.40000009536743,4.19999980926514,4.90000009536743,8.39999961853027,6.5
"9","53009001100",4.98181811246005,4.89090910824862,5.2357142993382,4.64999993642171,5.17499999205271,6.2111111746894,5.29166666666667,5.54166662693024,6.15454552390359,4.37857135704586,4.79166666666667,5.77142856802259,3.98181815580888,4.69999996821086,5.84999998978206,4.30714280264718,4.11428567341396,7.65833326180776,3.99230768130376
"10","53009001200",5.26666678322686,4.86666668785943,4.98888889948527,5.57499992847443,5.13333331214057,5.5399998664856,5.27500003576279,6.25,7.10000006357829,4.84444448682997,4.54444440205892,6.09999998410543,4.89999993642171,4.23999996185303,5.62222221162584,4.71111112170749,4.08888887034522,6.51111117998759,5.33333328035143
