"","GEOID","pm25_1998","pm25_1999","pm25_2000","pm25_2001","pm25_2002","pm25_2003","pm25_2004","pm25_2005","pm25_2006","pm25_2007","pm25_2008","pm25_2009","pm25_2010","pm25_2011","pm25_2012","pm25_2013","pm25_2014","pm25_2015","pm25_2016"
"261","25027751102",10.4749999046326,10.5,8.96666675143772,10.5999999046326,11.9999998807907,11.0571428026472,9.69999980926514,10.1000000238419,8.85714299338204,9.31111102634006,7.65000009536743,7.55000007152557,6.61428574153355,8.2285714830671,7.46666653951009,7.4,6.15714284351894,9.31428582327706,7.35714272090367
"262","25027752100",9.43636361035434,9.3636364069852,8.60000000681196,11.0999999841054,11.6416665712992,10.7333334816827,9.01111104753282,10.260000038147,8.82500004768372,8.7888888253106,7.57142857142857,7.50909094376998,6.56250005960464,8.71666669845581,7.52222214804755,7.27000002861023,6.60999999046326,8.96153846153846,7.15454539385709
"263","25027753100",9.15909098495137,9.2113636081869,8.61186438091731,10.3824560935037,11.4674418249796,10.8760869814002,9.5863636190241,9.77755097953641,9.04545451944525,9.01555553012424,7.0703703739025,7.29285711901529,6.74418603542239,8.20217391718989,7.44999998494198,7.26590909741142,6.75999998516507,8.74255326453676,6.99019608778112
"264","25027753200",9.3166667620341,9.13333344459534,7.78181825984608,10.0555555555556,11.7124999761581,11.2000001271566,9.36000003814697,9.75454547188499,8.55000014305115,8.79090903022072,7.0999999479814,7.10000004087176,6.25555552376641,8.34285715648106,7.8374999165535,7.06666665607029,6.87500005960464,9.19999985694885,7.55714287076678
"265","25027754100",9.80645159752138,9.67096773270638,8.56571429116385,10.722222186901,11.0999999455043,10.9599999427795,9.21599998474121,9.76666669050852,8.94799993515015,8.65454543720592,7.04782616573831,6.94999997615814,6.67200002670288,8.49600002288818,7.47407404581706,7.22692311727084,6.92000001907349,8.91666666666667,7.15769237738389
"266","25027754200",9.63333320617676,9.66666666666667,9.79999987284342,11.1999998092651,11.8999999364217,12,8.70000004768372,9.94999980926514,8.75,8.54999971389771,6.5,7.10000014305115,7.19999996821086,6.25,7.40000009536743,7.40000009536743,6.56666660308838,10.1500000953674,7.40000009536743
"267","25027754300",9.30000019073486,9.69999980926514,9.5,NA,12.1999998092651,NA,7.90000009536743,10.3000001907349,8.69999980926514,8.19999980926514,NA,NA,6.59999990463257,7.80000019073486,7.40000009536743,7.30000019073486,NA,9.19999980926514,7.59999990463257
"268","25027754400",9.16000013351441,8.88000011444092,8.4399998664856,10.9200000762939,11.460000038147,10.9000001907349,8.89999985694885,9.56000003814697,8.57500004768372,8.90000009536743,7.69999990463257,7.06000003814697,6.39999993642171,8.78000001907349,7.67499995231628,7.76666673024495,7.28000001907349,9.02499985694885,7.63333320617676
"269","25027755100",10.4666668574015,10.0333331425985,7.73333326975505,11.75,9.83333365122477,10.4499998092651,6.69999980926514,10.1000003814697,8.93333339691162,8.25,7.59999990463257,8.09999990463257,6.5,8.33333365122477,8.03333330154419,7.25,6,8.25,6.75
"270","25027755200",9.63888888005857,9.5425925872944,8.71428570577076,10.1784313519796,11.0816326141357,11.0804878327905,9.31875003377596,9.73055561383565,8.86585364690641,9.03720931119697,7.05384617585402,7.24871798050709,6.81250001192093,8.28235295239617,7.44883719155955,7.33829792509688,6.73333334311461,8.74146352163175,6.80930229674938
