GEOID,CAT,HH,MOVE_OUT,MOVE_IN,MOVE_WITHIN,MOVE_IN_RATE,MOVE_OUT_RATE,MOVE_WITHIN_RATE
17031010100,high,242,12,12,2,0.0495867768595041,0.0495867768595041,0.00826446280991736
17031010100,low,3719,343,251,56,0.0674912610916913,0.0922290938424308,0.0150578112395805
17031010100,middle,941,82,75,15,0.0797024442082891,0.0871413390010627,0.0159404888416578
17031010100,very_low,12846,1067,1024,163,0.0797135295033473,0.0830608749805387,0.0126887747158649
17031010201,high,196,15,12,1,0.0612244897959184,0.076530612244898,0.00510204081632653
17031010201,low,7197,545,560,77,0.0778101986939002,0.0757259969431708,0.0106989023204113
17031010201,middle,1313,121,130,17,0.099009900990099,0.0921553693830922,0.0129474485910129
17031010201,very_low,10209,941,832,113,0.0814967185816436,0.092173572338133,0.0110686649035165
17031010202,high,101,4,5,1,0.0495049504950495,0.0396039603960396,0.0099009900990099
17031010202,low,3087,298,322,27,0.104308390022676,0.0965338516358925,0.0087463556851312
17031010202,middle,662,38,39,3,0.0589123867069487,0.0574018126888218,0.00453172205438067
17031010202,very_low,5031,422,359,29,0.07135758298549,0.0838799443450606,0.00576426157821507
17031010300,high,393,19,21,2,0.0534351145038168,0.0483460559796438,0.00508905852417303
17031010300,low,8043,783,683,80,0.0849185627253512,0.0973517344274524,0.00994653736168097
17031010300,middle,2452,151,173,28,0.0705546492659054,0.0615823817292007,0.0114192495921697
17031010300,very_low,10123,910,921,96,0.0909809345055814,0.0898943001086634,0.00948335473673812
17031010400,high,882,54,52,2,0.0589569160997732,0.0612244897959184,0.00226757369614512
17031010400,low,4186,442,332,34,0.0793119923554706,0.105590062111801,0.00812231247013856
17031010400,middle,3309,302,250,19,0.0755515261408281,0.0912662435781203,0.00574191598670293
17031010400,very_low,6643,614,498,46,0.0749661297606503,0.0924281198253801,0.00692458226704802
17031010501,high,128,13,12,2,0.09375,0.1015625,0.015625
17031010501,low,4051,431,316,35,0.0780054307578376,0.106393483090595,0.00863984201431745
17031010501,middle,659,61,44,8,0.0667678300455235,0.0925644916540212,0.0121396054628225
17031010501,very_low,13041,1503,1183,176,0.0907139023081052,0.115251897860594,0.0134958975538686
17031010502,high,174,6,11,1,0.0632183908045977,0.0344827586206897,0.00574712643678161
17031010502,low,2478,263,176,17,0.0710250201775626,0.106133979015335,0.00686037126715093
17031010502,middle,592,54,52,4,0.0878378378378378,0.0912162162162162,0.00675675675675676
17031010502,very_low,8086,951,758,48,0.0937422705911452,0.117610685134801,0.00593618600049468
17031010503,high,235,6,16,0,0.0680851063829787,0.025531914893617,0
17031010503,low,831,87,58,0,0.0697954271961492,0.104693140794224,0
17031010503,middle,513,29,31,1,0.0604288499025341,0.0565302144249513,0.00194931773879142
17031010503,very_low,3988,400,432,23,0.108324974924774,0.100300902708124,0.00576730190571715
17031010600,high,1038,68,93,11,0.0895953757225434,0.0655105973025048,0.010597302504817
17031010600,low,9103,1013,839,84,0.0921674173349445,0.111281994946721,0.00922772712292651
17031010600,middle,2383,164,202,25,0.0847671002937474,0.0688208140998741,0.0104909777591271
17031010600,very_low,8979,1053,812,128,0.0904332330994543,0.11727363848981,0.0142554850206036
17031010701,high,1227,74,99,7,0.0806845965770171,0.0603096984515077,0.00570497147514262
17031010701,low,4163,389,292,44,0.0701417247177516,0.0934422291616623,0.0105693009848667
17031010701,middle,2238,173,206,25,0.0920464700625559,0.0773011617515639,0.0111706881143878
17031010701,very_low,2441,217,209,27,0.0856206472757067,0.088897992625973,0.0110610405571487
17031010702,high,187,6,4,0,0.0213903743315508,0.0320855614973262,0
17031010702,low,5891,544,524,62,0.0889492446104227,0.0923442539466984,0.0105245289424546
17031010702,middle,1311,85,86,8,0.0655987795575896,0.064836003051106,0.0061022120518688
17031010702,very_low,7107,679,569,69,0.0800619107921767,0.0955396088363585,0.00970873786407767
17031020100,high,820,39,45,2,0.0548780487804878,0.0475609756097561,0.0024390243902439
17031020100,low,4440,371,290,32,0.0653153153153153,0.0835585585585586,0.00720720720720721
17031020100,middle,2514,187,206,18,0.0819411296738266,0.0743834526650756,0.00715990453460621
