GEOID,CAT,HH,MOVE_OUT,MOVE_IN,MOVE_WITHIN,MOVE_IN_RATE,MOVE_OUT_RATE,MOVE_WITHIN_RATE
53033000100,high,615,84,156,0,0.253658536585366,0.136585365853659,0
53033000100,low,2571,279,303,6,0.117852975495916,0.108518086347725,0.00233372228704784
53033000100,middle,927,114,180,6,0.194174757281553,0.122977346278317,0.00647249190938511
53033000100,very_low,29424,4515,4686,246,0.159257748776509,0.15344616639478,0.0083605220228385
53033000200,high,888,60,90,0,0.101351351351351,0.0675675675675676,0
53033000200,low,7371,1146,1077,54,0.146113146113146,0.155474155474155,0.00732600732600733
53033000200,middle,3291,378,423,18,0.128532360984503,0.11485870556062,0.00546946216955333
53033000200,very_low,15612,2169,2469,69,0.15814757878555,0.138931591083782,0.00441967717140661
53033000300,high,447,48,69,3,0.154362416107383,0.10738255033557,0.00671140939597315
53033000300,low,3312,492,453,15,0.136775362318841,0.148550724637681,0.00452898550724638
53033000300,middle,1659,219,258,3,0.155515370705244,0.132007233273056,0.00180831826401447
53033000300,very_low,6279,1047,1008,27,0.160535117056856,0.16674629718108,0.00430004777830865
53033000401,high,1440,156,189,12,0.13125,0.108333333333333,0.00833333333333333
53033000401,low,5496,738,690,66,0.125545851528384,0.134279475982533,0.0120087336244541
53033000401,middle,2340,237,399,27,0.170512820512821,0.101282051282051,0.0115384615384615
53033000401,very_low,48048,6027,6210,510,0.129245754245754,0.125437062937063,0.0106143856143856
53033000402,high,2949,324,474,54,0.160732451678535,0.109867751780264,0.0183112919633774
53033000402,low,5610,747,810,66,0.144385026737968,0.133155080213904,0.0117647058823529
53033000402,middle,6423,786,846,108,0.131714152265297,0.122372723026623,0.0168145726296123
53033000402,very_low,19557,2382,2952,228,0.150943396226415,0.121797821751802,0.0116582297898451
53033000500,high,609,90,129,3,0.211822660098522,0.147783251231527,0.00492610837438424
53033000500,low,51,0,9,0,0.176470588235294,0,0
53033000500,middle,117,12,9,0,0.0769230769230769,0.102564102564103,0
53033000500,very_low,12,0,0,0,0,0,0
53033000600,high,2799,399,411,30,0.146838156484459,0.142550911039657,0.0107181136120043
53033000600,low,10566,1671,1479,120,0.139977285633163,0.158148779102783,0.0113571834185122
53033000600,middle,7965,1056,936,57,0.117514124293785,0.132580037664783,0.00715630885122411
53033000600,very_low,19755,2913,3057,204,0.154745634016705,0.147456340167046,0.0103264996203493
53033000700,high,822,117,105,0,0.127737226277372,0.142335766423358,0
53033000700,low,2301,288,264,3,0.114732724902216,0.1251629726206,0.00130378096479791
53033000700,middle,1569,183,222,3,0.141491395793499,0.116634799235182,0.00191204588910134
53033000700,very_low,13578,1836,2031,57,0.149580203269996,0.135218736190897,0.00419796730004419
53033000800,high,777,114,165,6,0.212355212355212,0.146718146718147,0.00772200772200772
53033000800,low,1104,150,231,3,0.209239130434783,0.135869565217391,0.00271739130434783
53033000800,middle,1932,288,357,0,0.184782608695652,0.149068322981366,0
53033000800,very_low,1518,258,384,3,0.25296442687747,0.1699604743083,0.00197628458498024
53033000900,high,2382,375,444,18,0.18639798488665,0.157430730478589,0.00755667506297229
53033000900,low,414,84,72,0,0.173913043478261,0.202898550724638,0
53033000900,middle,1059,216,291,9,0.274787535410765,0.203966005665722,0.0084985835694051
53033000900,very_low,60,6,9,0,0.15,0.1,0
53033001000,high,1197,168,189,3,0.157894736842105,0.140350877192982,0.0025062656641604
53033001000,low,2073,333,294,6,0.141823444283647,0.160636758321274,0.00289435600578871
53033001000,middle,1821,246,228,6,0.125205930807249,0.135090609555189,0.00329489291598023
53033001000,very_low,2721,342,402,3,0.14773980154355,0.125689084895259,0.00110253583241455
53033001100,high,1821,231,243,0,0.133443163097199,0.126853377265239,0
53033001100,low,2202,387,435,9,0.197547683923706,0.17574931880109,0.00408719346049046
53033001100,middle,1875,321,348,0,0.1856,0.1712,0
53033001100,very_low,1818,354,330,3,0.181518151815182,0.194719471947195,0.00165016501650165
53033001200,high,996,126,177,6,0.177710843373494,0.126506024096386,0.00602409638554217
53033001200,low,4053,621,504,9,0.124352331606218,0.153219837157661,0.00222057735011103
53033001200,middle,2295,291,234,24,0.101960784313725,0.126797385620915,0.0104575163398693
53033001200,very_low,35205,5271,5091,459,0.144610140605028,0.149723050703025,0.0130379207498935
53033001300,high,891,87,96,6,0.107744107744108,0.0976430976430976,0.00673400673400673
53033001300,low,6489,885,714,33,0.110032362459547,0.136384650947758,0.00508552935737402
53033001300,middle,2754,378,330,9,0.119825708061002,0.137254901960784,0.00326797385620915
53033001300,very_low,32679,4698,4173,186,0.127696685945102,0.143762049022308,0.00569172863306711
53033001400,high,945,126,177,6,0.187301587301587,0.133333333333333,0.00634920634920635
53033001400,low,5556,939,837,15,0.150647948164147,0.169006479481641,0.00269978401727862
53033001400,middle,3567,522,651,27,0.182506307821699,0.146341463414634,0.00756938603868797
53033001400,very_low,14484,2202,2196,75,0.151615575807788,0.152029826014913,0.00517812758906379
53033001500,high,1842,291,399,3,0.216612377850163,0.157980456026059,0.00162866449511401
53033001500,low,882,105,135,0,0.153061224489796,0.119047619047619,0
53033001500,middle,1923,291,453,6,0.235569422776911,0.151326053042122,0.0031201248049922
53033001500,very_low,474,54,63,0,0.132911392405063,0.113924050632911,0
53033001600,high,1269,177,267,3,0.210401891252955,0.139479905437352,0.00236406619385343
53033001600,low,918,129,171,3,0.186274509803922,0.140522875816993,0.00326797385620915
53033001600,middle,1347,243,225,9,0.167037861915368,0.180400890868597,0.0066815144766147
