GEOID,CAT,HH,MOVE_OUT,MOVE_IN,MOVE_WITHIN,MOVE_IN_RATE,MOVE_OUT_RATE,MOVE_WITHIN_RATE
06019003807,middle,1204,103,92,10,0.0764119601328904,0.0855481727574751,0.00830564784053156
06019003807,very_low,1514,129,155,7,0.102377807133421,0.0852047556142668,0.00462351387054161
06019003808,high,1503,192,231,39,0.153692614770459,0.127744510978044,0.0259481037924152
06019003808,low,713,79,77,8,0.107994389901823,0.110799438990182,0.0112201963534362
06019003808,middle,1533,194,208,24,0.135681669928245,0.126549249836921,0.0156555772994129
06019003808,very_low,135,4,6,1,0.0444444444444444,0.0296296296296296,0.00740740740740741
06019003809,high,2628,346,427,42,0.16248097412481,0.131659056316591,0.0159817351598174
06019003809,low,1780,293,221,17,0.124157303370787,0.164606741573034,0.00955056179775281
06019003809,middle,2233,382,364,25,0.163009404388715,0.171070309001343,0.0111957008508733
06019003809,very_low,293,27,43,6,0.146757679180887,0.0921501706484642,0.0204778156996587
06019003810,high,1311,160,242,19,0.184591914569031,0.122044241037376,0.0144927536231884
06019003810,low,669,54,99,4,0.147982062780269,0.0807174887892377,0.00597907324364723
06019003810,middle,1724,200,229,16,0.132830626450116,0.116009280742459,0.00928074245939675
06019003810,very_low,238,19,31,2,0.130252100840336,0.0798319327731092,0.00840336134453782
06019003900,high,1059,54,76,19,0.0717658168083097,0.0509915014164306,0.0179414542020774
06019003900,low,1639,86,86,13,0.0524710189139719,0.0524710189139719,0.00793166564978646
06019003900,middle,1414,68,93,20,0.0657708628005658,0.0480905233380481,0.0141442715700141
06019003900,very_low,1611,59,64,10,0.0397268777157045,0.0366232153941651,0.00620732464307883
06019004001,high,2210,142,239,101,0.108144796380091,0.0642533936651584,0.0457013574660634
06019004001,low,1344,89,88,55,0.0654761904761905,0.0662202380952381,0.0409226190476191
06019004001,middle,1710,135,163,77,0.0953216374269006,0.0789473684210526,0.0450292397660819
06019004001,very_low,952,58,53,22,0.055672268907563,0.0609243697478992,0.023109243697479
06019004002,high,1172,65,71,37,0.060580204778157,0.0554607508532423,0.0315699658703072
06019004002,low,2255,143,144,57,0.0638580931263858,0.0634146341463415,0.0252771618625277
06019004002,middle,1480,92,89,36,0.0601351351351351,0.0621621621621622,0.0243243243243243
06019004002,very_low,2096,126,103,44,0.0491412213740458,0.0601145038167939,0.0209923664122137
06019004100,high,686,53,68,8,0.0991253644314869,0.0772594752186589,0.0116618075801749
06019004100,low,437,16,20,2,0.045766590389016,0.0366132723112128,0.0045766590389016
06019004100,middle,845,60,68,6,0.0804733727810651,0.0710059171597633,0.00710059171597633
06019004100,very_low,259,11,7,0,0.027027027027027,0.0424710424710425,0
06019004205,high,968,96,99,7,0.102272727272727,0.0991735537190083,0.00723140495867769
06019004205,low,4130,438,425,37,0.102905569007264,0.106053268765133,0.0089588377723971
06019004205,middle,2823,287,332,40,0.117605384342898,0.10166489550124,0.0141693234148069
06019004205,very_low,4429,447,440,33,0.0993452246556785,0.10092571686611,0.00745089184917589
06019004207,high,3290,276,546,53,0.165957446808511,0.0838905775075988,0.0161094224924012
06019004207,low,1629,183,168,15,0.103130755064457,0.112338858195212,0.00920810313075506
06019004207,middle,1427,139,169,14,0.118430273300631,0.0974071478626489,0.00981079187105816
06019004207,very_low,1113,98,79,7,0.0709793351302785,0.0880503144654088,0.00628930817610063
06019004208,high,2912,443,503,55,0.172733516483516,0.152129120879121,0.0188873626373626
06019004208,low,2,0,0,0,0,0,0
06019004208,middle,209,50,42,7,0.200956937799043,0.239234449760766,0.0334928229665072
06019004208,very_low,0,0,0,0,,,
06019004210,high,3862,503,590,39,0.152770585189021,0.130243397203522,0.0100983946141895
06019004210,low,645,158,120,6,0.186046511627907,0.244961240310078,0.00930232558139535
06019004210,middle,1967,332,279,25,0.141840366039654,0.168784951703101,0.012709710218607
06019004210,very_low,956,207,169,7,0.176778242677824,0.21652719665272,0.00732217573221757
06019004211,high,4425,738,849,90,0.191864406779661,0.166779661016949,0.0203389830508475
06019004211,low,249,32,58,4,0.232931726907631,0.1285140562249,0.0160642570281124
06019004211,middle,2209,379,382,32,0.172928927116342,0.171570846536895,0.0144861928474423
06019004211,very_low,25,3,5,2,0.2,0.12,0.08
06019004212,high,8281,1241,1329,234,0.160487863784567,0.149861127883106,0.0282574568288854
06019004212,low,5247,895,763,163,0.145416428435296,0.170573661139699,0.0310653706880122
06019004212,middle,8730,1529,1319,224,0.151088201603666,0.175143184421535,0.0256586483390607
06019004212,very_low,699,68,81,15,0.11587982832618,0.0972818311874106,0.0214592274678112
06019004213,high,1525,215,222,11,0.145573770491803,0.140983606557377,0.00721311475409836
06019004213,low,999,177,122,10,0.122122122122122,0.177177177177177,0.01001001001001
06019004213,middle,1544,239,171,14,0.110751295336788,0.15479274611399,0.00906735751295337
06019004213,very_low,493,68,76,7,0.154158215010142,0.137931034482759,0.0141987829614604
06019004214,high,2452,333,420,30,0.171288743882545,0.135807504078303,0.0122349102773246
06019004214,low,0,0,0,0,,,
06019004214,middle,100,8,27,1,0.27,0.08,0.01
06019004214,very_low,7,1,0,0,0,0.142857142857143,0
06019004215,high,2750,416,477,36,0.173454545454545,0.151272727272727,0.0130909090909091
06019004215,low,3,1,0,0,0,0.333333333333333,0
06019004215,middle,265,39,41,4,0.154716981132075,0.147169811320755,0.0150943396226415
06019004215,very_low,0,0,0,0,,,
06019004216,high,1162,203,232,5,0.199655765920826,0.174698795180723,0.00430292598967298
06019004216,low,16,2,2,0,0.125,0.125,0
