GEOID,YEAR,CAT,HH,MOVE_OUT,MOVE_IN,MOVE_WITHIN
06085512025,2006-2007,very_low,43,6,6,0
06085512027,2006-2007,very_low,310,49,34,1
06085512030,2006-2007,very_low,11,0,0,0
06085512031,2006-2007,very_low,30,5,1,0
06085512034,2006-2007,very_low,18,3,1,1
06085509105,2006-2007,very_low,60,8,6,0
06085501900,2006-2007,very_low,619,110,60,3
06085511702,2006-2007,very_low,,,,
06085509108,2006-2007,very_low,425,71,55,3
06085509107,2006-2007,very_low,221,43,23,4
06097150601,2006-2007,very_low,49,2,13,0
06097151311,2006-2007,very_low,98,23,6,5
06097151301,2006-2007,very_low,395,55,35,8
06097151401,2006-2007,very_low,175,28,17,1
06097151204,2006-2007,very_low,110,18,13,1
06097151308,2006-2007,very_low,240,48,37,2
06097151309,2006-2007,very_low,86,14,14,1
06097151201,2006-2007,very_low,517,79,65,4
06097151100,2006-2007,very_low,185,29,13,2
06097151000,2006-2007,very_low,29,7,1,0
06097151203,2006-2007,very_low,234,32,34,5
06097150800,2006-2007,very_low,109,20,13,1
06097150603,2006-2007,very_low,215,13,13,1
06097153903,2006-2007,very_low,153,25,15,2
06097154000,2006-2007,very_low,12,0,0,0
06085508003,2006-2007,very_low,,,,
06085509304,2006-2007,very_low,151,19,18,2
06085509404,2006-2007,very_low,213,37,18,0
06085509700,2006-2007,very_low,127,28,16,0
06085503110,2006-2007,very_low,463,42,24,5
06085503113,2006-2007,very_low,428,47,46,6
06085503602,2006-2007,very_low,380,40,35,4
06085503506,2006-2007,very_low,316,38,41,6
06085503105,2006-2007,very_low,228,20,15,2
06085503712,2006-2007,very_low,474,40,43,4
06085504307,2006-2007,very_low,1,0,1,1
06085502910,2006-2007,very_low,298,48,21,2
06085512029,2006-2007,very_low,67,8,9,0
06085512602,2006-2007,very_low,132,13,15,3
06085503304,2006-2007,very_low,380,39,22,13
06085512035,2006-2007,very_low,7,1,0,0
06085512100,2006-2007,very_low,16,1,0,0
06085512200,2006-2007,very_low,9,2,0,0
06085512305,2006-2007,very_low,,,,
06085512308,2006-2007,very_low,,,,
06085509902,2006-2007,very_low,99,19,4,0
06085510001,2006-2007,very_low,,,,
06085508704,2006-2007,very_low,178,25,13,1
06085511909,2006-2007,very_low,,,,
06085511701,2006-2007,very_low,,,,
06085500100,2006-2007,very_low,643,93,75,4
06085511800,2006-2007,very_low,,,,
06085507002,2006-2007,very_low,,,,
06085507001,2006-2007,very_low,,,,
06085511911,2006-2007,very_low,,,,
06085506900,2006-2007,very_low,1,0,0,0
06097152201,2006-2007,very_low,285,54,29,6
06097153901,2006-2007,very_low,197,11,22,3
06097154100,2006-2007,very_low,93,0,1,0
06085508004,2006-2007,very_low,3,0,0,0
06085508507,2006-2007,very_low,193,43,26,2
06085508508,2006-2007,very_low,73,13,12,2
06085505009,2006-2007,very_low,162,20,23,0
06085509403,2006-2007,very_low,199,31,24,3
06085510700,2006-2007,very_low,3,0,0,0
06085510801,2006-2007,very_low,,,,
06085510802,2006-2007,very_low,,,,
06085510803,2006-2007,very_low,,,,
06085503707,2006-2007,very_low,277,48,23,3
06085503708,2006-2007,very_low,144,10,5,0
06085503709,2006-2007,very_low,587,55,26,4
06085503802,2006-2007,very_low,224,35,33,3
06085503803,2006-2007,very_low,2,0,1,0
06085504002,2006-2007,very_low,220,26,27,3
06085504901,2006-2007,very_low,6,0,2,0
06085505202,2006-2007,very_low,803,104,77,12
06085505007,2006-2007,very_low,18,1,1,0
06085506601,2006-2007,very_low,197,32,18,1
06085505203,2006-2007,very_low,165,24,36,0
06085505302,2006-2007,very_low,59,4,4,0
06085505008,2006-2007,very_low,681,159,187,28
06085505006,2006-2007,very_low,1,0,0,0
06085504423,2006-2007,very_low,,,,
06085512032,2006-2007,very_low,4,1,1,0
06085512038,2006-2007,very_low,,,,
06085510900,2006-2007,very_low,,,,
06085511100,2006-2007,very_low,4,0,0,0
06085511200,2006-2007,very_low,,,,
06085511400,2006-2007,very_low,,,,
06085511000,2006-2007,very_low,2,1,0,0
06085504101,2006-2007,very_low,155,22,21,2
06085504001,2006-2007,very_low,361,51,26,5
06085504102,2006-2007,very_low,204,37,30,2
06085504201,2006-2007,very_low,19,3,4,0
06085504202,2006-2007,very_low,1,0,1,0
06085504308,2006-2007,very_low,,,,
06085504422,2006-2007,very_low,54,4,2,0
06085506503,2006-2007,very_low,749,106,74,6
06085505304,2006-2007,very_low,12,2,3,0
06085505303,2006-2007,very_low,429,46,24,3
06085505305,2006-2007,very_low,160,28,22,1
06085505402,2006-2007,very_low,111,20,13,0
06085505401,2006-2007,very_low,299,51,29,3
06085504420,2006-2007,very_low,36,5,0,0
06085504417,2006-2007,very_low,,,,
06085504322,2006-2007,very_low,20,6,2,0
06085511915,2006-2007,very_low,336,53,23,4
06085504323,2006-2007,very_low,8,2,1,0
06085503902,2006-2007,very_low,358,46,32,3
06085503330,2006-2007,very_low,,,,
06085500400,2006-2007,very_low,198,36,27,0
06085500600,2006-2007,very_low,381,104,65,1
06085500800,2006-2007,very_low,559,48,44,3
06085504314,2006-2007,very_low,2,2,1,0
06085504315,2006-2007,very_low,,,,
06085504316,2006-2007,very_low,,,,
06085504317,2006-2007,very_low,,,,
06085505403,2006-2007,very_low,299,47,30,1
06085505600,2006-2007,very_low,410,64,31,3
06085507100,2006-2007,very_low,97,26,20,0
06085507703,2006-2007,very_low,,,,
06085504319,2006-2007,very_low,66,11,6,1
06085505700,2006-2007,very_low,624,90,54,9
06085500300,2006-2007,very_low,489,103,62,6
06085505800,2006-2007,very_low,200,25,28,0
06085503903,2006-2007,very_low,121,13,8,0
06085503329,2006-2007,very_low,,,,
06085503713,2006-2007,very_low,394,38,24,6
06085512043,2006-2007,very_low,545,47,36,5
06085503337,2006-2007,very_low,22,2,3,0
06085503332,2006-2007,very_low,,,,
06085503334,2006-2007,very_low,,,,
06085500901,2006-2007,very_low,695,131,74,11
06085500902,2006-2007,very_low,249,51,23,0
06085501000,2006-2007,very_low,809,99,62,14
06085501200,2006-2007,very_low,431,59,55,3
06085501501,2006-2007,very_low,442,53,29,6
06085501401,2006-2007,very_low,392,55,47,5
06085501502,2006-2007,very_low,368,37,40,2
06085504320,2006-2007,very_low,,,,
06085503508,2006-2007,very_low,219,25,27,2
06085504410,2006-2007,very_low,66,4,1,3
06085504321,2006-2007,very_low,24,2,0,0
06085504412,2006-2007,very_low,107,15,8,0
06085506203,2006-2007,very_low,611,98,42,10
06085505900,2006-2007,very_low,563,93,68,3
06085505500,2006-2007,very_low,319,51,39,3
06085506101,2006-2007,very_low,4,1,0,0
06085506000,2006-2007,very_low,94,12,7,2
06085512053,2006-2007,very_low,169,17,22,1
06085504504,2006-2007,very_low,496,77,60,3
06085503711,2006-2007,very_low,389,47,21,7
06085503710,2006-2007,very_low,354,37,17,1
06085503117,2006-2007,very_low,200,11,12,2
06085512047,2006-2007,very_low,24,7,1,0
06085511916,2006-2007,very_low,176,25,17,0
06085502604,2006-2007,very_low,368,69,50,10
06085503118,2006-2007,very_low,517,97,55,13
06085501600,2006-2007,very_low,759,117,91,11
06085501700,2006-2007,very_low,536,76,51,17
06085501300,2006-2007,very_low,302,50,18,3
06085502001,2006-2007,very_low,627,92,54,11
06085502002,2006-2007,very_low,511,68,54,7
06085504411,2006-2007,very_low,,,,
06085504415,2006-2007,very_low,,,,
06085504416,2006-2007,very_low,1,0,0,0
06085504311,2006-2007,very_low,,,,
06085506301,2006-2007,very_low,680,120,65,7
06085506102,2006-2007,very_low,,,,
06085506103,2006-2007,very_low,95,22,14,0
06085506202,2006-2007,very_low,22,3,6,1
06085506204,2006-2007,very_low,163,32,19,1
06085503108,2006-2007,very_low,495,71,55,4
06085503333,2006-2007,very_low,,,,
06085503123,2006-2007,very_low,455,85,60,1
06085501402,2006-2007,very_low,320,37,33,4
06085502301,2006-2007,very_low,56,14,5,0
06085503121,2006-2007,very_low,502,60,39,2
06085503122,2006-2007,very_low,325,23,20,0
06085501101,2006-2007,very_low,636,128,91,6
06085501102,2006-2007,very_low,310,53,27,2
06085502101,2006-2007,very_low,194,46,38,4
06085502102,2006-2007,very_low,799,121,66,17
06085502400,2006-2007,very_low,148,32,23,2
06085502601,2006-2007,very_low,15,0,0,0
06085502701,2006-2007,very_low,205,38,26,3
06085502800,2006-2007,very_low,29,6,2,0
06085506302,2006-2007,very_low,353,80,47,2
06085506401,2006-2007,very_low,527,82,99,1
06085506304,2006-2007,very_low,316,52,54,7
06085506305,2006-2007,very_low,722,85,54,10
06085506502,2006-2007,very_low,253,42,23,1
06085506402,2006-2007,very_low,566,89,64,7
06085509202,2006-2007,very_low,144,60,6,1
06085506605,2006-2007,very_low,171,24,16,3
06085507206,2006-2007,very_low,,,,
06085507301,2006-2007,very_low,,,,
06085507302,2006-2007,very_low,,,,
06085507401,2006-2007,very_low,,,,
06085507402,2006-2007,very_low,3,0,0,0
06085507500,2006-2007,very_low,,,,
06085500500,2006-2007,very_low,230,37,24,1
06085508101,2006-2007,very_low,,,,
06085507701,2006-2007,very_low,,,,
06085507702,2006-2007,very_low,,,,
06085507600,2006-2007,very_low,,,,
06085504318,2006-2007,very_low,590,44,50,40
06085502302,2006-2007,very_low,243,45,28,0
06085512506,2006-2007,very_low,409,55,34,2
06085512505,2006-2007,very_low,409,68,40,7
06085512508,2006-2007,very_low,485,40,47,12
06085502901,2006-2007,very_low,115,13,24,1
06085502902,2006-2007,very_low,60,4,7,0
06085502906,2006-2007,very_low,173,29,20,4
06085502903,2006-2007,very_low,10,1,0,0
06085506501,2006-2007,very_low,846,131,73,13
06085506606,2006-2007,very_low,242,32,21,2
06085506701,2006-2007,very_low,3,0,0,0
06085506703,2006-2007,very_low,111,19,6,1
06085506802,2006-2007,very_low,99,15,5,1
06085506803,2006-2007,very_low,204,27,24,1
06085503218,2006-2007,very_low,386,49,34,20
06085503204,2006-2007,very_low,495,77,57,5
06085503210,2006-2007,very_low,133,17,8,2
06085503312,2006-2007,very_low,5,1,0,0
06085511500,2006-2007,very_low,2,0,0,0
06085500200,2006-2007,very_low,717,153,115,13
06085505301,2006-2007,very_low,224,40,22,2
06085513500,2006-2007,very_low,52,1,10,3
06085504505,2006-2007,very_low,15,2,1,0
06085512039,2006-2007,very_low,20,0,0,0
06085513000,2006-2007,very_low,149,57,58,11
06085511705,2006-2007,very_low,,,,
06085510600,2006-2007,very_low,1,0,0,0
06085503327,2006-2007,very_low,38,5,5,1
06085503336,2006-2007,very_low,18,1,1,0
06085506702,2006-2007,very_low,11,3,0,0
06085507903,2006-2007,very_low,,,,
06085508001,2006-2007,very_low,,,,
06085510400,2006-2007,very_low,,,,
06085510300,2006-2007,very_low,,,,
06085502907,2006-2007,very_low,11,2,0,0
06085502908,2006-2007,very_low,50,7,9,2
06085502909,2006-2007,very_low,400,85,46,3
06085503002,2006-2007,very_low,96,12,9,1
06085503001,2006-2007,very_low,35,8,6,1
06085504700,2006-2007,very_low,,,,
06085504806,2006-2007,very_low,9,1,0,0
06085504803,2006-2007,very_low,213,30,20,0
06085504802,2006-2007,very_low,196,9,11,0
06085505001,2006-2007,very_low,17,1,2,0
06085504805,2006-2007,very_low,594,50,52,2
06085505100,2006-2007,very_low,380,53,57,1
06097151601,2006-2007,very_low,29,3,3,1
06097990100,2006-2007,very_low,,,,
06085512312,2006-2007,very_low,26,2,2,0
06085511301,2006-2007,very_low,,,,
06085512042,2006-2007,very_low,144,19,11,3
06085503331,2006-2007,very_low,14,1,0,0
06085512603,2006-2007,very_low,288,32,26,7
06085502603,2006-2007,very_low,69,10,3,0
06085504418,2006-2007,very_low,78,6,7,1
06085504506,2006-2007,very_low,1,0,0,0
06085504421,2006-2007,very_low,,,,
06085504413,2006-2007,very_low,41,3,0,0
06085504414,2006-2007,very_low,,,,
06085504507,2006-2007,very_low,35,3,0,0
06085503003,2006-2007,very_low,14,0,2,0
06085503115,2006-2007,very_low,409,35,60,3
06085503112,2006-2007,very_low,420,69,85,6
06085503116,2006-2007,very_low,44,8,5,0
06085503402,2006-2007,very_low,403,40,30,10
06085506603,2006-2007,very_low,2,0,0,0
06085502201,2006-2007,very_low,921,153,75,9
06085507805,2006-2007,very_low,2,0,0,0
06085507808,2006-2007,very_low,1,0,0,0
06085509302,2006-2007,very_low,7,1,0,0
06085508102,2006-2007,very_low,3,0,0,0
06085506604,2006-2007,very_low,164,21,12,7
06097153804,2006-2007,very_low,1,1,0,0
06097153103,2006-2007,very_low,424,82,49,12
06097152905,2006-2007,very_low,168,40,27,3
06097150305,2006-2007,very_low,108,11,5,4
06097154201,2006-2007,very_low,411,32,25,18
06097154202,2006-2007,very_low,210,25,25,3
06097154303,2006-2007,very_low,40,1,0,1
06097154304,2006-2007,very_low,144,1,1,1
06097153104,2006-2007,very_low,479,75,51,10
06097153806,2006-2007,very_low,10,1,1,0
06097153808,2006-2007,very_low,256,36,17,2
06097153807,2006-2007,very_low,,,,
06097153809,2006-2007,very_low,31,3,1,0
06097152906,2006-2007,very_low,101,8,6,1
06085512604,2006-2007,very_low,303,32,28,4
06085512310,2006-2007,very_low,235,32,25,3
06085512314,2006-2007,very_low,339,49,32,8
06085504601,2006-2007,very_low,178,7,15,0
06085507205,2006-2007,very_low,,,,
06085512503,2006-2007,very_low,4,0,0,0
06085512307,2006-2007,very_low,15,3,2,0
06085512309,2006-2007,very_low,8,0,0,0
06085503208,2006-2007,very_low,73,13,9,1
06085503213,2006-2007,very_low,360,32,21,6
06085502702,2006-2007,very_low,247,17,14,2
06085503217,2006-2007,very_low,215,34,17,4
06085503214,2006-2007,very_low,514,42,34,3
06085502500,2006-2007,very_low,52,6,4,0
06085507203,2006-2007,very_low,,,,
06085506804,2006-2007,very_low,,,,
06085507806,2006-2007,very_low,2,0,0,0
06085508203,2006-2007,very_low,,,,
06085508202,2006-2007,very_low,9,0,0,0
06085508204,2006-2007,very_low,,,,
06085508303,2006-2007,very_low,,,,
06085506801,2006-2007,very_low,2,0,0,0
06085508304,2006-2007,very_low,334,37,33,6
06097150609,2006-2007,very_low,141,7,2,2
06097150610,2006-2007,very_low,,,,
06097150607,2006-2007,very_low,55,4,6,0
06097151602,2006-2007,very_low,174,0,0,0
06097150306,2006-2007,very_low,78,12,4,0
06097150611,2006-2007,very_low,2,1,1,0
06097150612,2006-2007,very_low,5,0,0,0
06097150203,2006-2007,very_low,135,9,8,1
06097150204,2006-2007,very_low,135,18,8,1
06097151503,2006-2007,very_low,,,,
06097153706,2006-2007,very_low,112,8,6,0
06085512313,2006-2007,very_low,244,50,31,5
06085512509,2006-2007,very_low,130,19,9,2
06085512510,2006-2007,very_low,241,30,48,4
06085512311,2006-2007,very_low,54,1,3,0
06085512036,2006-2007,very_low,,,,
06085503212,2006-2007,very_low,,,,
06085503111,2006-2007,very_low,180,29,18,3
06085503207,2006-2007,very_low,,,,
06085503507,2006-2007,very_low,88,13,8,2
06085507807,2006-2007,very_low,,,,
06085507904,2006-2007,very_low,,,,
06085507905,2006-2007,very_low,2,0,0,0
06085507906,2006-2007,very_low,,,,
06085511905,2006-2007,very_low,,,,
06085511910,2006-2007,very_low,,,,
06085511912,2006-2007,very_low,,,,
06085511913,2006-2007,very_low,,,,
06085511914,2006-2007,very_low,,,,
06085512001,2006-2007,very_low,,,,
06085510100,2006-2007,very_low,,,,
06085508401,2006-2007,very_low,1,0,0,0
06085508403,2006-2007,very_low,,,,
06085504602,2006-2007,very_low,102,1,54,0
06085508301,2006-2007,very_low,,,,
06085508404,2006-2007,very_low,2,0,0,0
06097152203,2006-2007,very_low,487,51,32,8
06097153902,2006-2007,very_low,292,40,16,8
06097153006,2006-2007,very_low,188,22,29,2
06097152904,2006-2007,very_low,107,22,19,3
06097151310,2006-2007,very_low,241,69,28,2
06097151305,2006-2007,very_low,692,128,83,20
06097150500,2006-2007,very_low,61,8,2,1
06097150902,2006-2007,very_low,22,6,3,1
06097150304,2006-2007,very_low,73,7,5,3
06097150202,2006-2007,very_low,135,11,7,3
06085512037,2006-2007,very_low,,,,
06085512045,2006-2007,very_low,24,2,2,0
06085512033,2006-2007,very_low,88,23,5,0
06085511608,2006-2007,very_low,16,2,5,0
06085511609,2006-2007,very_low,3,1,0,0
06085503509,2006-2007,very_low,41,2,0,1
06085503326,2006-2007,very_low,,,,
06085503313,2006-2007,very_low,,,,
06085512005,2006-2007,very_low,71,13,2,0
06085502202,2006-2007,very_low,64,7,4,1
06085512052,2006-2007,very_low,315,71,44,7
06085503804,2006-2007,very_low,38,4,0,0
06085508503,2006-2007,very_low,7,0,0,0
06085508504,2006-2007,very_low,494,92,45,1
06085508505,2006-2007,very_low,32,6,1,0
06085508601,2006-2007,very_low,156,19,13,1
06085508602,2006-2007,very_low,465,80,37,1
06097150303,2006-2007,very_low,7,0,0,0
06097150100,2006-2007,very_low,22,4,2,0
06097153502,2006-2007,very_low,17,3,2,0
06097153801,2006-2007,very_low,126,4,14,1
06097153404,2006-2007,very_low,117,7,7,0
06097153703,2006-2007,very_low,356,21,15,7
06097152802,2006-2007,very_low,1051,162,116,18
06097152502,2006-2007,very_low,170,28,21,2
06097152100,2006-2007,very_low,315,51,36,0
06097152000,2006-2007,very_low,555,68,44,12
06097151900,2006-2007,very_low,408,67,44,5
06085511302,2006-2007,very_low,209,20,16,4
06085511704,2006-2007,very_low,,,,
06085511707,2006-2007,very_low,,,,
06085512402,2006-2007,very_low,74,4,2,0
06085512401,2006-2007,very_low,80,6,8,0
06085503323,2006-2007,very_low,,,,
06085503325,2006-2007,very_low,,,,
06085503324,2006-2007,very_low,,,,
06085503401,2006-2007,very_low,203,21,29,5
06085503703,2006-2007,very_low,222,21,21,5
06085503510,2006-2007,very_low,197,30,13,3
06085503305,2006-2007,very_low,268,24,16,10
06085512019,2006-2007,very_low,174,46,15,2
06085512021,2006-2007,very_low,174,15,15,1
06085501800,2006-2007,very_low,276,31,39,2
06085508703,2006-2007,very_low,279,55,34,0
06085508800,2006-2007,very_low,260,31,21,5
06085508900,2006-2007,very_low,384,47,24,11
06085509000,2006-2007,very_low,541,69,38,3
06097151800,2006-2007,very_low,111,17,5,0
06097151402,2006-2007,very_low,1013,147,99,20
06097153102,2006-2007,very_low,478,72,40,11
06097152801,2006-2007,very_low,117,23,4,2
06097153600,2006-2007,very_low,86,10,9,1
06097153401,2006-2007,very_low,213,34,21,3
06097153300,2006-2007,very_low,525,71,96,12
06097153200,2006-2007,very_low,425,71,38,6
06097153501,2006-2007,very_low,31,4,1,0
06097153003,2006-2007,very_low,389,63,50,4
06097153002,2006-2007,very_low,457,54,73,14
06097153001,2006-2007,very_low,705,122,54,7
06097153005,2006-2007,very_low,40,3,6,0
06097152903,2006-2007,very_low,302,28,29,6
06097152702,2006-2007,very_low,233,44,44,7
06097152600,2006-2007,very_low,12,3,1,0
06041102202,2006-2007,very_low,188,20,20,4
06041106001,2006-2007,very_low,324,64,36,3
06041132100,2006-2007,very_low,116,1,2,2
06041104300,2006-2007,very_low,1,0,1,0
06041128100,2006-2007,very_low,,,,
06041123000,2006-2007,very_low,1,0,0,0
06041129000,2006-2007,very_low,424,62,29,12
06041128200,2006-2007,very_low,2,0,0,0
06041127000,2006-2007,very_low,2,0,0,0
06041126200,2006-2007,very_low,7,1,0,0
06041126100,2006-2007,very_low,,,,
06041125000,2006-2007,very_low,2,0,1,0
06041124200,2006-2007,very_low,2,1,0,0
06041124100,2006-2007,very_low,,,,
06041112100,2006-2007,very_low,352,55,18,6
06041111000,2006-2007,very_low,990,126,96,10
06041110200,2006-2007,very_low,,,,
06041110100,2006-2007,very_low,394,53,41,2
06041108200,2006-2007,very_low,676,58,87,5
06041108100,2006-2007,very_low,14,1,1,1
06041107000,2006-2007,very_low,50,5,5,1
06041106002,2006-2007,very_low,222,28,33,5
06041117000,2006-2007,very_low,95,11,5,1
06041116000,2006-2007,very_low,29,5,4,1
06041118100,2006-2007,very_low,,,,
06041119100,2006-2007,very_low,4,0,0,0
06041121100,2006-2007,very_low,122,18,9,1
06041122000,2006-2007,very_low,,,,
06041121200,2006-2007,very_low,114,25,8,2
06041120000,2006-2007,very_low,8,1,0,0
06041115000,2006-2007,very_low,30,5,2,0
06041114200,2006-2007,very_low,204,28,24,5
06041114100,2006-2007,very_low,425,70,46,3
06041133000,2006-2007,very_low,379,17,11,10
06041132200,2006-2007,very_low,86,1,1,1
06041113000,2006-2007,very_low,116,3,0,4
06041104102,2006-2007,very_low,497,73,46,8
06041105000,2006-2007,very_low,688,72,94,10
06041104200,2006-2007,very_low,58,7,5,0
06041104101,2006-2007,very_low,445,50,41,6
06041103200,2006-2007,very_low,458,64,53,18
06041103100,2006-2007,very_low,13,2,0,0
06041102100,2006-2007,very_low,14,5,0,0
06041101200,2006-2007,very_low,110,13,15,0
06041101100,2006-2007,very_low,,,,
06041990100,2006-2007,very_low,,,,
06041131100,2006-2007,very_low,35,4,6,0
06041119201,2006-2007,very_low,387,39,30,5
06041112202,2006-2007,very_low,332,24,23,8
06041112201,2006-2007,very_low,639,38,17,13
06041130202,2006-2007,very_low,56,0,1,1
06041130201,2006-2007,very_low,1,0,0,0
06041119202,2006-2007,very_low,,,,
06041109002,2006-2007,very_low,134,21,13,0
06041109001,2006-2007,very_low,524,76,43,7
06041102203,2006-2007,very_low,631,75,48,10
06081602400,2006-2007,very_low,432,48,33,1
06081602300,2006-2007,very_low,255,18,20,1
06081602000,2006-2007,very_low,34,4,4,0
06081601800,2006-2007,very_low,53,7,5,1
06081601601,2006-2007,very_low,99,15,11,0
06081612100,2006-2007,very_low,950,107,60,14
06081611900,2006-2007,very_low,404,29,51,15
06081611800,2006-2007,very_low,231,16,18,2
06081611700,2006-2007,very_low,293,19,11,8
06081611300,2006-2007,very_low,40,8,3,0
06081610302,2006-2007,very_low,354,34,40,2
06081601300,2006-2007,very_low,867,100,85,9
06081601200,2006-2007,very_low,398,48,35,2
06081601000,2006-2007,very_low,16,1,1,0
06081600900,2006-2007,very_low,17,2,5,0
06081600500,2006-2007,very_low,164,18,9,0
06081600300,2006-2007,very_low,4,2,0,0
06081600100,2006-2007,very_low,102,7,6,2
06081613501,2006-2007,very_low,3,0,0,0
06081613502,2006-2007,very_low,11,0,0,1
06081613800,2006-2007,very_low,187,3,2,0
06081613700,2006-2007,very_low,5,0,1,0
06081613600,2006-2007,very_low,21,3,0,0
06081609900,2006-2007,very_low,,,,
06081609800,2006-2007,very_low,,,,
06081609700,2006-2007,very_low,,,,
06081609603,2006-2007,very_low,,,,
06081609601,2006-2007,very_low,,,,
06081609100,2006-2007,very_low,19,2,1,0
06081608900,2006-2007,very_low,,,,
06081607000,2006-2007,very_low,8,1,0,0
06081606800,2006-2007,very_low,,,,
06081608502,2006-2007,very_low,1,0,0,0
06081608501,2006-2007,very_low,198,19,11,0
06081608400,2006-2007,very_low,61,6,9,2
06081607900,2006-2007,very_low,,,,
06081607800,2006-2007,very_low,6,0,0,0
06081606700,2006-2007,very_low,,,,
06081605700,2006-2007,very_low,,,,
06081605600,2006-2007,very_low,,,,
06081607702,2006-2007,very_low,17,0,0,0
06081607701,2006-2007,very_low,41,4,1,2
06081607600,2006-2007,very_low,171,15,9,1
06081607500,2006-2007,very_low,182,37,32,2
06081607400,2006-2007,very_low,233,27,20,1
06081607300,2006-2007,very_low,,,,
06081607200,2006-2007,very_low,327,58,20,5
06081607100,2006-2007,very_low,,,,
06081606600,2006-2007,very_low,24,3,2,0
06081606500,2006-2007,very_low,,,,
06081606400,2006-2007,very_low,83,9,0,2
06055200504,2006-2007,very_low,415,45,43,4
06055201401,2006-2007,very_low,,,,
06055200706,2006-2007,very_low,,,,
06055201601,2006-2007,very_low,103,9,8,3
06055201602,2006-2007,very_low,58,11,5,2
06055201006,2006-2007,very_low,41,6,4,0
06055201005,2006-2007,very_low,11,2,0,0
06055201101,2006-2007,very_low,1,0,0,0
06055200707,2006-2007,very_low,3,0,1,0
06055201102,2006-2007,very_low,20,4,0,0
06055200601,2006-2007,very_low,36,3,2,0
06081990100,2006-2007,very_low,,,,
06081984300,2006-2007,very_low,,,,
06081603801,2006-2007,very_low,55,8,2,0
06081600401,2006-2007,very_low,22,2,3,0
06081614000,2006-2007,very_low,8,0,0,0
06081606300,2006-2007,very_low,383,35,31,0
06081606200,2006-2007,very_low,736,100,62,12
06081606100,2006-2007,very_low,196,26,12,1
06081605900,2006-2007,very_low,702,101,74,6
06081605800,2006-2007,very_low,,,,
06081609602,2006-2007,very_low,,,,
06081609500,2006-2007,very_low,,,,
06055200602,2006-2007,very_low,47,5,2,0
06055200704,2006-2007,very_low,136,19,8,2
06055200803,2006-2007,very_low,49,4,2,1
06055200804,2006-2007,very_low,277,33,15,7
06055200705,2006-2007,very_low,113,18,17,1
06081613900,2006-2007,very_low,24,1,3,0
06081609202,2006-2007,very_low,388,65,34,2
06081609201,2006-2007,very_low,165,14,15,2
06081603802,2006-2007,very_low,101,14,8,1
06081601902,2006-2007,very_low,555,62,41,0
06081609400,2006-2007,very_low,,,,
06081609300,2006-2007,very_low,1,0,0,0
06081611200,2006-2007,very_low,,,,
06081611000,2006-2007,very_low,286,39,27,2
06081610900,2006-2007,very_low,732,86,70,7
06055200505,2006-2007,very_low,124,23,13,2
06055201007,2006-2007,very_low,5,2,1,0
06055201004,2006-2007,very_low,346,25,28,2
06055201403,2006-2007,very_low,5,2,0,0
06055201003,2006-2007,very_low,26,2,3,0
06055201402,2006-2007,very_low,3,0,0,0
06055200301,2006-2007,very_low,359,45,32,1
06055200302,2006-2007,very_low,29,3,1,2
06055200501,2006-2007,very_low,500,76,58,9
