GEOID,YEAR,CAT,HH,MOVE_OUT,MOVE_IN,MOVE_WITHIN
06085509201,2006-2007,very_low,91,9,15,0
06085510500,2006-2007,very_low,,,,
06085509401,2006-2007,very_low,24,2,6,0
06085509303,2006-2007,very_low,362,34,32,2
06085503306,2006-2007,very_low,189,11,21,4
06085503211,2006-2007,very_low,1,0,0,0
06085503504,2006-2007,very_low,285,36,18,2
06085503601,2006-2007,very_low,337,26,13,7
06085512022,2006-2007,very_low,569,68,53,4
06085512017,2006-2007,very_low,272,41,36,2
06085512026,2006-2007,very_low,94,13,9,0
06085512020,2006-2007,very_low,388,87,52,4
06085512023,2006-2007,very_low,332,65,58,7
06085512024,2006-2007,very_low,340,54,33,2
06085509106,2006-2007,very_low,41,6,0,0
06085509109,2006-2007,very_low,146,33,34,1
06085509102,2006-2007,very_low,174,23,20,1
06085510002,2006-2007,very_low,,,,
06097150701,2006-2007,very_low,211,27,14,2
06097152501,2006-2007,very_low,173,45,25,2
06097152400,2006-2007,very_low,,,,
06097152300,2006-2007,very_low,48,4,7,2
06097152202,2006-2007,very_low,487,76,34,3
06097151700,2006-2007,very_low,319,49,28,4
06097151502,2006-2007,very_low,172,39,32,12
06097153403,2006-2007,very_low,95,7,5,1
06097151504,2006-2007,very_low,2,0,0,0
06097154302,2006-2007,very_low,21,0,2,0
06097153704,2006-2007,very_low,400,20,15,12
06097153705,2006-2007,very_low,177,8,15,4
06097152701,2006-2007,very_low,99,8,8,0
06097151307,2006-2007,very_low,28,7,9,1
06097151306,2006-2007,very_low,250,40,31,3
06097150702,2006-2007,very_low,6,1,2,0
06097150901,2006-2007,very_low,336,52,22,2
06097150602,2006-2007,very_low,18,6,1,0
06085509500,2006-2007,very_low,461,72,47,5
06085509600,2006-2007,very_low,36,5,1,0
06085509801,2006-2007,very_low,41,7,5,0
06085509802,2006-2007,very_low,58,17,7,0
06085509901,2006-2007,very_low,,,,
06085510200,2006-2007,very_low,,,,
06085503315,2006-2007,very_low,3,0,2,0
06085503322,2006-2007,very_low,,,,
06085503321,2006-2007,very_low,12,1,1,1
06085503511,2006-2007,very_low,59,7,5,0
06085511907,2006-2007,very_low,,,,
