reportDate,zip,confirmed_cases,total_tested
3/17/21 0:00,62449,313,3436
3/17/21 0:00,62450,1315,18860
3/17/21 0:00,62451,183,1891
3/17/21 0:00,62452,35,315
3/17/21 0:00,62454,1255,22899
3/17/21 0:00,62458,304,4338
3/17/21 0:00,62459,21,266
3/17/21 0:00,62460,102,778
3/17/21 0:00,62461,104,772
3/17/21 0:00,62462,110,664
3/17/21 0:00,62463,131,985
3/17/21 0:00,62464,11,67
3/17/21 0:00,62465,87,662
3/17/21 0:00,62466,1184,24397
3/17/21 0:00,62467,556,2756
3/17/21 0:00,62468,267,2447
3/17/21 0:00,62469,58,393
3/17/21 0:00,62471,1633,14131
3/17/21 0:00,62473,165,1025
3/17/21 0:00,62474,68,706
3/17/21 0:00,62475,26,240
3/17/21 0:00,62476,108,948
3/17/21 0:00,62477,71,643
3/17/21 0:00,62478,30,269
3/17/21 0:00,62479,102,790
3/17/21 0:00,62480,54,728
3/17/21 0:00,62481,24,313
3/17/21 0:00,62501,214,2811
3/17/21 0:00,62510,149,1401
3/17/21 0:00,62512,31,537
3/17/21 0:00,62513,110,1591
3/17/21 0:00,62514,23,160
3/17/21 0:00,62515,73,1253
3/17/21 0:00,62517,12,306
3/17/21 0:00,62518,27,520
3/17/21 0:00,62520,109,1685
3/17/21 0:00,62521,3220,41531
3/17/21 0:00,62522,1165,16778
3/17/21 0:00,62523,62,1092
3/17/21 0:00,62524,24,5435
3/17/21 0:00,62525,13,230
3/17/21 0:00,62526,2861,46309
3/17/21 0:00,62530,107,1620
3/17/21 0:00,62531,160,1802
3/17/21 0:00,62532,11,72
3/17/21 0:00,62533,74,879
3/17/21 0:00,62534,108,1129
3/17/21 0:00,62535,440,8314
3/17/21 0:00,62536,51,1097
3/17/21 0:00,62537,11,183
3/17/21 0:00,62538,23,252
3/17/21 0:00,62539,112,1345
3/17/21 0:00,62540,91,1352
3/17/21 0:00,62543,34,542
3/17/21 0:00,62544,165,2812
3/17/21 0:00,62545,92,1326
3/17/21 0:00,62546,126,1476
3/17/21 0:00,62547,54,693
3/17/21 0:00,62548,213,4389
3/17/21 0:00,62549,761,8155
3/17/21 0:00,62550,306,2955
3/17/21 0:00,62551,62,762
3/17/21 0:00,62553,48,428
3/17/21 0:00,62554,139,1809
3/17/21 0:00,62555,27,406
3/17/21 0:00,62556,29,314
3/17/21 0:00,62557,726,9283
3/17/21 0:00,62558,306,3964
3/17/21 0:00,62560,179,1597
3/17/21 0:00,62561,439,6064
3/17/21 0:00,62563,521,7500
3/17/21 0:00,62565,758,10517
3/17/21 0:00,62567,88,845
3/17/21 0:00,62568,1808,27307
3/17/21 0:00,62570,33,530
3/17/21 0:00,62571,102,1201
3/17/21 0:00,62572,31,467
3/17/21 0:00,62573,124,1432
3/17/21 0:00,62601,36,408
3/17/21 0:00,62610,16,256
3/17/21 0:00,62611,93,882
3/17/21 0:00,62612,204,2332
3/17/21 0:00,62613,323,4761
3/17/21 0:00,62615,533,7874
3/17/21 0:00,62617,58,760
3/17/21 0:00,62618,1284,10848
3/17/21 0:00,62620,7,1201
3/17/21 0:00,62621,79,1278
3/17/21 0:00,62624,42,489
3/17/21 0:00,62625,91,931
3/17/21 0:00,62626,925,15743
3/17/21 0:00,62627,112,1270
3/17/21 0:00,62628,79,959
3/17/21 0:00,62629,1186,20781
3/17/21 0:00,62630,53,449
3/17/21 0:00,62631,25,232
3/17/21 0:00,62633,67,862
3/17/21 0:00,62634,68,1084
3/17/21 0:00,62635,75,958
3/17/21 0:00,62638,118,1314
3/17/21 0:00,62639,22,339
3/17/21 0:00,62640,246,4169
3/17/21 0:00,62642,114,1743
3/17/21 0:00,62643,48,641
3/17/21 0:00,62644,466,6969
3/17/21 0:00,62649,42,585
3/17/21 0:00,62650,2861,41782
3/17/21 0:00,62651,8,140
3/17/21 0:00,62655,37,593
3/17/21 0:00,62656,2541,57027
3/17/21 0:00,62661,94,1199
3/17/21 0:00,62663,14,240
3/17/21 0:00,62664,312,4341
3/17/21 0:00,62665,86,1383
3/17/21 0:00,62666,48,750
3/17/21 0:00,62667,41,506
3/17/21 0:00,62668,112,1244
3/17/21 0:00,62670,304,3575
3/17/21 0:00,62671,35,679
3/17/21 0:00,62672,17,239
3/17/21 0:00,62673,43,519
3/17/21 0:00,62674,84,1154
3/17/21 0:00,62675,534,8929
3/17/21 0:00,62677,188,2855
3/17/21 0:00,62681,547,9053
3/17/21 0:00,62682,87,1009
3/17/21 0:00,62684,680,8807
3/17/21 0:00,62685,182,1909
3/17/21 0:00,62688,52,821
3/17/21 0:00,62689,36,630
3/17/21 0:00,62690,354,7571
3/17/21 0:00,62691,261,3075
3/17/21 0:00,62692,175,2157
3/17/21 0:00,62693,154,1929
3/17/21 0:00,62694,313,5390
3/17/21 0:00,62695,55,542
3/17/21 0:00,62701,81,3088
3/17/21 0:00,62702,2560,50950
3/17/21 0:00,62703,2427,51771
3/17/21 0:00,62704,2804,54524
3/17/21 0:00,62705,10,225
