,extr_low,very_low,low
1,27100,45150,64400
13,27100,45150,64400
41,32250,53750,86000
55,24550,40900,64400
75,32250,53750,86000
81,32250,53750,86000
85,31050,51750,80700
95,23750,39600,63350
97,24100,40200,64300
