,COUNTY,LICENSED_BEDS,PERCENT_DISCHARGES_MEDICARE,PERCENT_DISCHARGES_MEDICAID,DISCHARGES_TOTAL,ACUTE_PATIENT_DAYS,PATIENT_DAYS,SURGERIES_INPATIENT,SURGERIES_OUTPATIENT,BIRTHS,ER_VISITS,HOME_VISITS
0,ALAMEDA,2.6362355000124613,35.0625337734461,19.810933807300923,106.33347271413183,456.55611277106567,613.8108833327334,25.629913519291318,36.34238939302893,9.775116927567215,378.53517242143215,23.334976365262612
1,AMADOR,1.720856256355435,53.69075369075369,11.693861693861693,67.11339399786196,215.9674601726071,315.2035042891039,23.54444241649936,92.7176492060595,6.388027012228509,400.25552108048913,0.0
2,BUTTE,3.3529498579493047,51.536618754277896,19.517453798767967,134.76367929749475,506.1293952698963,668.1963251300594,36.887060473010365,55.18300557133897,14.587868501641884,441.66236210013653,238.160904696897
3,CALAVERAS,1.0424584645455532,56.05194805194805,14.7012987012987,41.80692800521229,152.41611467043109,155.86925833423825,8.795743294603106,20.61027255945271,2.953632316212401,223.91139103051364,0.0
4,COLUSA,2.2977501196744856,47.63181411974978,31.546023235031278,53.56629966491144,159.02345619913837,233.36524652943993,11.297271421732885,22.450933460986118,12.302537099090474,323.5040689325036,204.88271900430829
5,CONTRA COSTA,1.6146533790818458,38.23866610173716,14.456795354285571,80.17913060507537,338.3278345859553,376.08434565572315,29.303560830267557,40.344352809756664,9.985671949594039,333.56081028422295,93.11534180493467
6,DEL NORTE,2.091382793945624,49.91803278688525,21.434426229508198,86.49108503775123,334.4085640353054,334.4085640353054,18.893339477508775,121.90280387083052,0.0,769.0971606820035,259.4378079472546
7,EL DORADO,1.3633303728510575,44.525766994184885,17.876478844996996,56.42264372952883,194.89967359268667,331.8776057429585,19.527869075028427,46.99247056960056,7.003331956803358,262.1667336075079,128.52075826059408
8,FRESNO,3.546933797357506,34.49539789850941,25.65657035804466,97.23124198121425,373.1872170089901,528.6515315739335,23.194797377871208,36.55548038042138,14.778325123152708,284.87705094234167,77.4181942429927
9,GLENN,1.7720237234196443,61.059190031152646,16.510903426791277,11.608563575871548,30.59453204108202,30.59453204108202,0.0,0.0,0.0,207.5075943873861,0.0
10,HUMBOLDT,2.551232843526909,45.88106928532459,23.32242225859247,83.25952170062003,307.03368081578884,382.0717221957257,41.53134534002559,101.13329245304445,11.46162173620101,462.65888427093034,147.91094153361647
11,IMPERIAL,1.694651256970188,32.14192082495849,29.78239972035305,71.29372916731566,283.112675617582,283.112675617582,17.35771471293729,32.23575589545497,8.373570916793868,476.9695648110651,0.0
12,INYO,3.756124115405553,42.15686274509804,22.322775263951733,72.18290691344583,207.0223189983669,871.5841045182362,26.075122482308114,53.45672291780076,11.10506260206859,487.53402286336416,0.0
13,KERN,1.992323880735898,34.470583169467936,29.47711386373097,88.80818752063387,364.7252874720686,494.412442910297,28.38073653524297,30.01997422598281,7.96037276723972,292.8397434835203,39.318760348803266
14,KINGS,1.340446273830156,31.406678649134427,33.80001891968593,71.56493717504333,242.67493500866553,263.9257474003466,25.17060225303293,47.58584272097054,19.4635506932409,425.3750541594454,143.29912261698442
15,LAKE,1.4641288433382138,50.98129762179634,23.412606788270608,67.45895766487025,237.56269275100465,256.487336843089,22.522662845394226,65.46525030372885,0.0,524.0179433662503,373.9447369240834
16,LASSEN,1.09810720994076,34.73909935668335,20.943531093638313,40.42768386071377,115.64802774165584,115.64802774165584,7.88903337667967,22.597890478254588,0.0,283.7451235370611,0.0
17,LOS ANGELES,3.141727395536332,35.732940090505885,27.649042033455657,109.46939064721495,484.06426195232984,672.2961853900537,33.93556449993864,36.9153482430346,12.368921400848535,300.8072023335495,52.51677585283563
18,MADERA,2.6806478116166046,9.624094202898553,58.27672101449276,122.98951414128754,693.1110832602247,759.2847892384175,35.628246368940694,54.11427218671235,0.0,563.0752948712593,76.98681260531116
19,MARIN,1.8889524899828276,50.017803550536655,9.898774098377332,80.37860822634721,291.9249325374111,383.6740534794341,22.28309755499223,34.62670700793197,5.924441900400687,314.9194537574618,33.39602584021588
20,MARIPOSA,1.8661836544266974,49.397590361445786,28.11244979919679,13.66705088094846,245.34826280256874,556.1227290191558,0.0,0.0,0.0,256.435589220045,199.40721225094683
21,MENDOCINO,1.7058789856316905,42.89167547967971,24.47499622299441,75.77995305970576,247.63867422290917,283.85139389776174,28.164176541301735,65.43019062339,1.9921002919457325,519.6863014482798,234.04888659911845
22,MERCED,1.0882945161369213,46.40088593576966,32.757475083056484,55.20954764447415,209.6169366343575,261.54529669272597,12.39922066699818,18.244218180632434,14.824446274119786,265.27484531544235,27.76577619447456
23,MODOC,11.750025995632733,45.1063829787234,39.57446808510638,24.435894769678697,47.416034106270146,2611.7292294894455,0.0,0.0,0.0,296.7661432879276,0.0
24,MONO,1.0914647456887143,14.266842800528401,14.66314398943197,55.082587499090444,139.1981372335007,139.1981372335007,29.83336971549152,45.041111838754276,0.0,693.6622280433676,0.0
25,MONTEREY,1.702208142228947,37.29841649412382,23.262663672683793,85.33687047539887,358.6806393732689,405.8994950613566,30.365999636663176,24.721835796640875,15.518961951666247,307.6790989246723,0.0
26,NAPA,19.255934266585513,42.81567489114659,13.629138157440046,110.08064516129032,388.88466220328667,6382.4254412659775,34.213329275715154,57.744978697504564,6.398356664637857,314.94217894096164,73.46317711503347
27,NEVADA,1.9784928599985647,49.8224983359219,10.672287552695806,92.40484269444075,285.0464894565808,457.5546648351085,27.206839639565757,60.80021322617352,10.01547940009636,466.83205363458364,53.93187013705932
28,ORANGE,2.9410751635001113,36.630690779469695,18.202007199892495,96.43820928628114,379.26773912690584,556.7130620364286,29.73984921533247,35.02041598616221,13.825849745298935,276.7154765554635,35.07464035432044
29,PLACER,0.9101244354432896,45.56169038012317,14.98725844128265,58.50888691470923,213.84507383500966,235.893071250629,16.742562140065974,23.01714015916306,10.250548249019985,235.84337162275497,32.624699472562696
30,PLUMAS,8.477025334746171,51.16564417177914,21.104294478527606,78.50881417975147,205.1825450341971,1997.5917541662652,9.440323668240055,22.107696753684618,4.623832000770638,591.4651767652442,146.13235719102204
31,RIVERSIDE,1.666194586482605,39.07798587124433,21.734099364148136,85.88828098212556,316.6534981141639,400.071060490864,23.976207158723298,17.0510393217947,10.126368411375642,287.52118149246905,16.16998862038293
32,SACRAMENTO,2.5175913776876273,31.934506773516507,19.546603701583667,122.45657921541397,511.4901614602614,674.9459499124904,33.02659315416669,50.48106585823361,9.05325275288541,309.02923049177,98.92571572100006
33,SAN BENITO,3.2517921809178922,48.32022873481058,30.16440314510365,51.69610523981967,144.50151503953884,813.7609932747025,17.45990688049664,39.298647550070214,11.10413125415712,270.12046411942947,107.64171162515706
34,SAN BERNARDINO,2.7951411753978945,31.96216784266627,26.249035818376655,97.84969657673722,395.6852097622256,778.449350096751,33.68504766632559,37.7268076225597,10.035762407934595,337.4785982757049,60.341211869472275
35,SAN DIEGO,2.4307083560519516,35.44685738149927,18.777406556692423,97.49298423059292,387.4055106234916,581.1978397775041,30.80458007341662,37.47783132227617,7.763066329769493,270.1760838519738,88.10503483031356
36,SAN FRANCISCO,7.286801535159046,35.89302389928406,21.795559091066302,150.46119820464452,698.2944122812723,1625.492747024003,45.16620048136343,57.60619267546998,12.843296689000196,356.1399856891954,68.81155272230534
37,SAN JOAQUIN,1.7878372751247715,37.040032990737224,25.247430529120674,95.12199537727138,384.32768266114675,461.88361103902764,26.066214854287487,24.628401416993054,14.610477782538638,354.2497721827607,64.56581956874649
38,SAN LUIS OBISPO,6.52980061267265,41.173808086904046,13.473144236572118,76.33072038940799,300.4053773925328,2126.4501071025497,25.17485738854041,35.36303541677864,9.842685932329616,338.9277460863423,0.0
39,SAN MATEO,3.1528189910979227,49.69037965352009,9.010320678215995,78.61762796735906,313.2722667841246,664.087131398368,24.169197422106826,45.82164549332344,3.9294324925816024,289.88113176928783,48.11526335311573
40,SANTA BARBARA,2.460271757109426,41.5441487710585,19.141010807912632,86.8373010524768,307.46780695198305,549.0179741965521,27.004178051141306,33.54448215445312,14.852297928127719,325.0695320827769,99.2268767536175
41,SANTA CLARA,2.663853605722466,30.88242450787162,18.367520743606587,97.20434329356377,422.5131995276612,541.3583229016314,31.325854044474827,39.76208032479501,15.550873690764735,232.35958298421377,34.254023424172416
42,SANTA CRUZ,2.046769680783416,39.93352107474263,22.418170906237016,86.08753020475646,307.4327546737886,401.56031412946714,26.166857433549534,37.30684853109501,9.669496375429226,259.3515515706473,88.05083937428462
43,SHASTA,4.126789505352906,50.105745505816,17.844554106450474,128.8330324807284,570.4903329813925,877.6381367573765,43.129775325545225,35.19975477674466,10.109782818478026,442.9515343482852,72.55656596619097
44,SISKIYOU,2.427675500708072,48.53620955315871,21.386748844375965,72.94265740553419,209.49940432036325,456.08829545709983,28.70501494818711,96.00557466226088,7.777552993009194,461.6404792411266,0.0
45,SOLANO,1.6282976087286547,38.65736653128495,16.752016010359643,83.19743781861989,321.91566152957137,428.34021380894313,16.422544453749,25.878913423538574,10.29622773639698,300.32419038104615,101.52986518185514
46,SONOMA,5.051721024618004,43.05176403296675,14.624444271117696,82.68270032760948,316.12810304651026,992.8093587968735,22.300661238037097,40.38797217469067,7.805446400165095,295.2462230324084,42.9654247315064
47,STANISLAUS,2.8316598996137925,35.72304136167828,23.733057822295383,113.15939134173915,498.69910096284366,773.3443508484081,33.84715377557956,64.79131122300362,17.16037419919905,404.5746466369828,111.66330790982283
48,SUTTER,0.3512160856967249,0.0,32.48259860788863,9.460883308455527,0.0,66.50057072613926,0.0,0.0,0.0,0.0,0.0
49,TEHAMA,1.234026661470765,52.126816380449135,24.227212681638047,61.45777517982691,183.8050237874876,185.1689479922711,31.191647587964994,39.76488544660399,11.268611882377774,474.72680922922046,209.78453245003004
50,TRINITY,3.740648379052369,57.20338983050848,26.27118644067797,34.619334017896435,90.43567551708963,664.2951444917119,3.3005720991638547,13.055596303359248,0.0,366.0701188205956,74.81296758104739
51,TULARE,4.759942254067641,35.1228978007762,33.05304010349289,81.97223085840437,345.9212717601664,1087.891429934855,20.960616599304444,24.498639500049407,15.067928593635896,394.43171109681117,641.5365816625333
52,TUOLUMNE,4.075511644318984,47.93806030969846,17.489812550937245,108.23923782639379,391.7607621736062,1149.6824276640791,28.98729710656316,45.64220183486239,10.726887791107975,569.2660550458716,319.742413549753
53,VENTURA,1.9293821091153283,43.07850132443232,16.326499364578705,81.82459410937092,306.699090308864,454.18406555890067,28.071256842102628,29.63981943990288,10.416157698171974,263.52102212149344,14.73095768764807
54,YOLO,0.8227197215410174,36.33938100320171,26.294023479188905,39.53273738891965,105.53489966511088,133.20676106848086,13.200432455238246,58.27598027582206,7.082772987369142,221.68604804472218,72.05126176726525
55,YUBA,4.056473033837626,43.36710463827767,27.43390850087067,182.38249220464257,766.3125072179236,766.3125072179236,39.251068252685066,42.484698002078765,30.892712784386188,782.3218616468415,0.0
