GEOID,Aggravated Assault,Aircraft,Arson,Assembly or Gathering Violations,Auto Theft,Auto Theft Recovery,Ballistics,Biological Threat,Bomb Hoax,Burglary - No Property Taken,Commercial Burglary,Confidence Games,Counterfeiting,Criminal Harassment,Disorderly Conduct,Drug Violation,Embezzlement,Evading Fare,Explosives,Fire Related Reports,Firearm Discovery,Firearm Violations,Fraud,Gambling,HOME INVASION,HUMAN TRAFFICKING,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Harassment,Harbor Related Incidents,Homicide,INVESTIGATE PERSON,Investigate Person,Investigate Property,Landlord/Tenant Disputes,Larceny,Larceny From Motor Vehicle,License Plate Related Incidents,License Violation,Liquor Violation,Manslaughter,Medical Assistance,Miscellaneous Offenses,Missing Person Located,Missing Person Reported,Motor Vehicle Accident Response,Offenses Against Child / Family,Operating Under the Influence,Other,Other Burglary,Phone Call Complaints,Police Service Incidents,Prisoner Related Incidents,Property Found,Property Lost,Property Related Damage,Prostitution,Recovered Stolen Property,Residential Burglary,Restraining Order Violations,Robbery,Search Warrants,Service,Simple Assault,Towed,Vandalism,Verbal Disputes,Violations,Warrant Arrests,TOTAL
25025000100,41.0,0.0,0.0,3.0,40.0,8.0,4.0,0.0,0.0,0.0,12.0,22.0,16.0,6.0,8.0,76.0,13.0,4.0,0.0,21.0,3.0,11.0,59.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,184.0,77.0,7.0,259.0,91.0,9.0,9.0,4.0,0.0,210.0,358.0,135.0,91.0,400.0,4.0,10.0,157.0,10.0,1.0,15.0,0.0,35.0,88.0,11.0,0.0,3.0,34.0,14.0,29.0,2.0,6.0,125.0,103.0,202.0,96.0,34.0,34.0,3259
25025000201,11.0,0.0,0.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,6.0,0.0,1.0,30.0,0.0,2.0,0.0,10.0,1.0,6.0,36.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,59.0,40.0,1.0,62.0,46.0,3.0,0.0,0.0,0.0,80.0,116.0,10.0,8.0,177.0,0.0,3.0,46.0,2.0,0.0,7.0,0.0,13.0,24.0,3.0,11.0,0.0,42.0,2.0,0.0,4.0,1.0,31.0,115.0,36.0,25.0,10.0,24.0,1144
25025000202,20.0,0.0,0.0,4.0,17.0,6.0,2.0,0.0,0.0,0.0,1.0,9.0,40.0,0.0,7.0,38.0,0.0,12.0,1.0,3.0,6.0,4.0,20.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,79.0,49.0,8.0,64.0,53.0,2.0,0.0,1.0,0.0,86.0,149.0,16.0,8.0,197.0,3.0,1.0,60.0,0.0,0.0,14.0,1.0,16.0,25.0,15.0,0.0,4.0,64.0,9.0,12.0,19.0,2.0,59.0,96.0,68.0,60.0,22.0,16.0,1492
25025000301,4.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,1.0,3.0,16.0,1.0,1.0,0.0,7.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,53.0,28.0,2.0,29.0,31.0,1.0,2.0,0.0,0.0,57.0,79.0,9.0,4.0,123.0,0.0,2.0,28.0,2.0,1.0,3.0,0.0,6.0,23.0,5.0,7.0,1.0,13.0,3.0,0.0,0.0,1.0,18.0,72.0,28.0,18.0,7.0,7.0,758
25025000302,10.0,0.0,0.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,0.0,2.0,15.0,1.0,5.0,0.0,5.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,43.0,22.0,1.0,85.0,42.0,0.0,2.0,1.0,0.0,54.0,112.0,8.0,3.0,137.0,1.0,0.0,31.0,2.0,0.0,4.0,0.0,12.0,21.0,3.0,0.0,2.0,23.0,2.0,3.0,2.0,2.0,26.0,63.0,38.0,27.0,7.0,3.0,886
25025000401,8.0,0.0,1.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,1.0,11.0,1.0,0.0,0.0,12.0,3.0,0.0,43.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,59.0,32.0,5.0,51.0,50.0,2.0,0.0,0.0,0.0,97.0,114.0,17.0,10.0,124.0,1.0,0.0,32.0,1.0,0.0,4.0,1.0,11.0,19.0,4.0,0.0,2.0,48.0,0.0,4.0,0.0,2.0,25.0,133.0,51.0,16.0,2.0,2.0,1059
25025000402,17.0,0.0,0.0,19.0,9.0,2.0,2.0,0.0,2.0,0.0,4.0,18.0,13.0,2.0,18.0,19.0,1.0,7.0,0.0,14.0,1.0,4.0,37.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,86.0,76.0,4.0,107.0,42.0,1.0,5.0,1.0,0.0,101.0,153.0,18.0,10.0,182.0,2.0,2.0,67.0,0.0,0.0,5.0,0.0,22.0,55.0,6.0,0.0,1.0,97.0,4.0,7.0,0.0,3.0,41.0,81.0,59.0,16.0,18.0,7.0,1493
25025000502,7.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,6.0,0.0,5.0,13.0,4.0,4.0,0.0,6.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,61.0,35.0,5.0,63.0,49.0,3.0,26.0,11.0,0.0,111.0,123.0,12.0,6.0,119.0,1.0,1.0,33.0,2.0,0.0,9.0,0.0,18.0,35.0,5.0,1.0,3.0,15.0,3.0,9.0,2.0,3.0,32.0,174.0,42.0,20.0,14.0,5.0,1167
25025000503,5.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,21.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,30.0,17.0,3.0,37.0,49.0,0.0,2.0,0.0,0.0,40.0,77.0,2.0,0.0,64.0,0.0,1.0,17.0,1.0,0.0,7.0,0.0,8.0,10.0,4.0,0.0,0.0,25.0,1.0,1.0,0.0,0.0,10.0,128.0,27.0,12.0,4.0,4.0,670
25025000504,14.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,5.0,0.0,4.0,33.0,1.0,2.0,0.0,11.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,97.0,49.0,0.0,98.0,62.0,5.0,5.0,0.0,0.0,139.0,178.0,12.0,4.0,194.0,1.0,1.0,40.0,1.0,0.0,2.0,0.0,12.0,28.0,13.0,0.0,3.0,56.0,6.0,6.0,0.0,0.0,45.0,130.0,79.0,27.0,15.0,11.0,1498
