GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031320100,10.0,1277.0,3041.0,500.0,0.0,93.0,1677.0,7.0,1554.0,4374.0,0.0,4.0,3.0,1.0,28.0,11.0,11.0,53.0,462.0,737.0,0.0,1.0,0.0,3.0,39.0,3.0,1352.0,265.0,3.0,243.0,0.0,820.0,126.0,29.0,25089.0,38.0,41854
17031320400,9.0,906.0,2134.0,270.0,2.0,58.0,1000.0,4.0,1430.0,2862.0,0.0,0.0,6.0,1.0,34.0,6.0,2.0,46.0,264.0,669.0,0.0,4.0,0.0,2.0,26.0,2.0,769.0,112.0,3.0,201.0,0.0,683.0,95.0,10.0,13708.0,53.0,25371
17031320600,4.0,405.0,1028.0,228.0,0.0,42.0,647.0,3.0,410.0,814.0,0.0,0.0,0.0,1.0,11.0,2.0,2.0,29.0,274.0,295.0,0.0,0.0,0.0,0.0,5.0,2.0,493.0,81.0,0.0,64.0,0.0,262.0,38.0,8.0,3542.0,22.0,8712
17031330100,20.0,1499.0,3664.0,925.0,1.0,71.0,2342.0,8.0,2373.0,2499.0,0.0,19.0,8.0,0.0,43.0,18.0,15.0,46.0,1022.0,839.0,0.0,2.0,0.0,6.0,99.0,2.0,1785.0,25.0,1.0,128.0,0.0,678.0,97.0,30.0,10517.0,91.0,28873
17031330200,4.0,381.0,945.0,191.0,0.0,15.0,747.0,2.0,416.0,538.0,0.0,2.0,3.0,0.0,27.0,6.0,7.0,11.0,262.0,443.0,0.0,1.0,0.0,0.0,72.0,0.0,448.0,3.0,0.0,50.0,0.0,211.0,24.0,9.0,2037.0,23.0,6878
17031340300,2.0,81.0,163.0,151.0,0.0,2.0,291.0,0.0,28.0,43.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,131.0,27.0,0.0,0.0,0.0,0.0,6.0,0.0,77.0,7.0,0.0,1.0,0.0,67.0,6.0,2.0,336.0,10.0,1439
17031340400,4.0,132.0,270.0,235.0,0.0,4.0,445.0,0.0,54.0,96.0,0.0,5.0,1.0,0.0,2.0,3.0,0.0,6.0,315.0,73.0,0.0,0.0,0.0,1.0,2.0,0.0,110.0,6.0,0.0,4.0,0.0,127.0,5.0,4.0,694.0,9.0,2607
17031340500,4.0,195.0,540.0,134.0,0.0,4.0,430.0,0.0,152.0,530.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,16.0,244.0,551.0,0.0,0.0,0.0,0.0,30.0,0.0,257.0,2.0,1.0,36.0,0.0,272.0,16.0,1.0,921.0,22.0,4373
17031340600,2.0,469.0,1793.0,122.0,0.0,19.0,536.0,2.0,861.0,401.0,0.0,4.0,10.0,0.0,12.0,7.0,4.0,11.0,181.0,1426.0,0.0,0.0,0.0,0.0,37.0,0.0,325.0,20.0,0.0,36.0,0.0,216.0,23.0,2.0,963.0,117.0,7599
17031350100,3.0,83.0,255.0,69.0,1.0,14.0,239.0,1.0,64.0,123.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,163.0,21.0,0.0,0.0,0.0,0.0,25.0,0.0,160.0,0.0,0.0,13.0,0.0,61.0,3.0,0.0,815.0,4.0,2122
