GEOID,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
53033006200,0.0,64.0,7.0,0.0,181.0,1.0,0.0,115.0,30.0,14.0,3.0,0.0,0.0,89.0,0.0,0.0,0.0,520.0,4.0,77.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,4.0,1127
53033006300,0.0,75.0,18.0,0.0,171.0,4.0,0.0,126.0,17.0,14.0,2.0,1.0,0.0,72.0,0.0,0.0,0.0,420.0,4.0,66.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,15.0,2.0,1020
53033006400,0.0,46.0,5.0,0.0,137.0,0.0,0.0,108.0,19.0,9.0,1.0,0.0,0.0,49.0,0.0,0.0,0.0,206.0,2.0,67.0,0.0,0.0,1.0,12.0,0.0,0.0,3.0,15.0,2.0,682
53033006500,2.0,90.0,9.0,0.0,208.0,3.0,0.0,171.0,26.0,20.0,1.0,0.0,0.0,98.0,0.0,0.0,0.0,467.0,2.0,132.0,0.0,0.0,0.0,19.0,0.0,0.0,8.0,28.0,8.0,1292
53033006600,2.0,188.0,18.0,0.0,247.0,2.0,0.0,175.0,33.0,18.0,6.0,1.0,0.0,111.0,0.0,0.0,0.0,1101.0,7.0,208.0,0.0,0.0,3.0,22.0,0.0,0.0,6.0,28.0,5.0,2181
53033006700,1.0,264.0,31.0,0.0,415.0,12.0,2.0,279.0,119.0,25.0,5.0,1.0,0.0,156.0,0.0,0.0,0.0,1732.0,6.0,291.0,0.0,0.0,12.0,30.0,0.0,0.0,3.0,24.0,17.0,3425
53033006800,7.0,101.0,17.0,0.0,125.0,7.0,0.0,129.0,14.0,9.0,3.0,2.0,0.0,58.0,0.0,0.0,0.0,528.0,7.0,90.0,0.0,0.0,0.0,25.0,0.0,0.0,3.0,24.0,3.0,1152
53033006900,2.0,114.0,13.0,0.0,124.0,2.0,0.0,112.0,12.0,8.0,1.0,0.0,0.0,55.0,0.0,0.0,0.0,356.0,2.0,87.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,4.0,1.0,905
53033007000,13.0,312.0,15.0,0.0,278.0,29.0,0.0,248.0,35.0,38.0,2.0,0.0,0.0,166.0,0.0,0.0,0.0,1202.0,16.0,173.0,0.0,0.0,0.0,34.0,0.0,0.0,8.0,35.0,12.0,2616
53033007100,4.0,388.0,27.0,0.0,284.0,16.0,1.0,269.0,101.0,55.0,13.0,1.0,0.0,133.0,0.0,0.0,0.0,1397.0,9.0,139.0,0.0,0.0,9.0,57.0,0.0,0.0,4.0,75.0,18.0,3000
53033007200,7.0,1261.0,47.0,0.0,451.0,31.0,41.0,681.0,262.0,611.0,27.0,5.0,0.0,326.0,0.0,0.0,0.0,4011.0,42.0,272.0,0.0,0.0,512.0,253.0,0.0,0.0,35.0,178.0,94.0,9147
53033007300,5.0,1052.0,61.0,0.0,394.0,36.0,8.0,483.0,129.0,158.0,15.0,0.0,0.0,269.0,0.0,0.0,0.0,2290.0,45.0,207.0,0.0,1.0,13.0,152.0,0.0,0.0,32.0,130.0,39.0,5519
53033007401,3.0,136.0,16.0,1.0,178.0,4.0,0.0,162.0,9.0,59.0,1.0,0.0,0.0,109.0,0.0,0.0,0.0,333.0,4.0,144.0,0.0,0.0,0.0,28.0,0.0,0.0,6.0,21.0,9.0,1223
53033007402,2.0,421.0,27.0,0.0,262.0,9.0,0.0,292.0,30.0,121.0,1.0,2.0,0.0,150.0,0.0,0.0,0.0,571.0,13.0,138.0,0.0,0.0,0.0,46.0,0.0,0.0,10.0,55.0,29.0,2179
53033007500,15.0,1101.0,92.0,2.0,454.0,71.0,4.0,648.0,136.0,482.0,14.0,0.0,0.0,475.0,0.0,0.0,0.0,3853.0,84.0,320.0,0.0,4.0,4.0,216.0,0.0,0.0,50.0,231.0,124.0,8380
53033007600,2.0,162.0,11.0,0.0,178.0,7.0,1.0,151.0,17.0,21.0,1.0,0.0,0.0,94.0,0.0,0.0,0.0,629.0,4.0,121.0,0.0,0.0,0.0,52.0,0.0,0.0,6.0,23.0,8.0,1488
53033007700,2.0,253.0,9.0,0.0,354.0,4.0,1.0,222.0,35.0,86.0,1.0,1.0,0.0,125.0,0.0,0.0,0.0,405.0,2.0,76.0,0.0,0.0,1.0,58.0,0.0,0.0,2.0,18.0,15.0,1670
53033007800,4.0,147.0,17.0,0.0,346.0,3.0,0.0,155.0,19.0,19.0,1.0,0.0,0.0,92.0,0.0,0.0,0.0,533.0,8.0,94.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,20.0,6.0,1482
53033007900,2.0,331.0,20.0,0.0,225.0,8.0,1.0,250.0,28.0,84.0,6.0,3.0,0.0,153.0,0.0,0.0,0.0,563.0,5.0,121.0,0.0,2.0,0.0,61.0,0.0,0.0,8.0,26.0,17.0,1914
53033008001,6.0,908.0,24.0,0.0,309.0,21.0,40.0,385.0,144.0,530.0,7.0,1.0,0.0,211.0,0.0,0.0,0.0,1465.0,35.0,141.0,0.0,0.0,16.0,125.0,0.0,0.0,16.0,70.0,51.0,4505
53033008002,0.0,602.0,28.0,0.0,143.0,4.0,23.0,306.0,87.0,469.0,7.0,1.0,0.0,109.0,0.0,0.0,0.0,2318.0,18.0,99.0,0.0,0.0,2.0,107.0,0.0,0.0,23.0,73.0,56.0,4475
53033008100,7.0,2733.0,205.0,0.0,497.0,90.0,151.0,897.0,213.0,2042.0,77.0,2.0,0.0,614.0,4.0,0.0,0.0,9164.0,140.0,309.0,0.0,2.0,12.0,692.0,0.0,0.0,78.0,656.0,242.0,18827
53033008200,5.0,694.0,47.0,0.0,283.0,35.0,5.0,336.0,43.0,296.0,36.0,1.0,0.0,303.0,0.0,0.0,0.0,3931.0,28.0,95.0,0.0,1.0,5.0,187.0,0.0,0.0,23.0,185.0,46.0,6585
53033008300,1.0,239.0,15.0,0.0,101.0,11.0,5.0,146.0,28.0,106.0,8.0,0.0,0.0,71.0,0.0,0.0,0.0,826.0,9.0,58.0,0.0,0.0,0.0,55.0,0.0,0.0,3.0,50.0,15.0,1747
53033008400,6.0,650.0,368.0,0.0,292.0,93.0,2.0,367.0,64.0,225.0,6.0,2.0,0.0,160.0,0.0,0.0,0.0,1379.0,32.0,210.0,0.0,5.0,0.0,125.0,0.0,0.0,44.0,86.0,46.0,4162
53033008500,0.0,622.0,45.0,0.0,125.0,20.0,2.0,237.0,39.0,182.0,10.0,1.0,0.0,130.0,0.0,0.0,0.0,1230.0,6.0,106.0,0.0,8.0,17.0,57.0,0.0,0.0,11.0,127.0,26.0,3001
53033008600,2.0,722.0,23.0,0.0,256.0,14.0,6.0,438.0,71.0,237.0,10.0,1.0,0.0,132.0,0.0,0.0,0.0,1183.0,28.0,137.0,0.0,0.0,4.0,115.0,0.0,0.0,11.0,115.0,57.0,3562
53033008700,1.0,457.0,18.0,0.0,319.0,12.0,2.0,316.0,32.0,102.0,2.0,1.0,0.0,76.0,0.0,0.0,0.0,621.0,10.0,160.0,0.0,2.0,7.0,82.0,0.0,0.0,9.0,43.0,41.0,2313
53033008800,4.0,507.0,12.0,0.0,273.0,12.0,12.0,334.0,39.0,255.0,2.0,1.0,0.0,86.0,0.0,0.0,0.0,632.0,18.0,79.0,0.0,0.0,6.0,130.0,0.0,0.0,17.0,95.0,56.0,2570
53033008900,5.0,570.0,32.0,0.0,355.0,8.0,6.0,349.0,33.0,197.0,3.0,1.0,0.0,140.0,1.0,0.0,0.0,713.0,15.0,131.0,0.0,0.0,6.0,97.0,0.0,0.0,12.0,61.0,57.0,2792
53033009000,6.0,292.0,17.0,0.0,204.0,7.0,2.0,210.0,35.0,215.0,2.0,0.0,0.0,61.0,0.0,0.0,0.0,1812.0,5.0,97.0,0.0,1.0,9.0,92.0,0.0,0.0,12.0,52.0,32.0,3163
53033009100,1.0,378.0,20.0,1.0,186.0,7.0,21.0,298.0,37.0,673.0,9.0,3.0,0.0,106.0,1.0,0.0,0.0,1557.0,48.0,148.0,0.0,0.0,131.0,168.0,0.0,0.0,22.0,209.0,58.0,4082
53033009200,4.0,918.0,29.0,0.0,172.0,18.0,49.0,334.0,114.0,684.0,6.0,0.0,0.0,146.0,0.0,0.0,0.0,1351.0,89.0,144.0,0.0,0.0,11.0,177.0,0.0,0.0,16.0,231.0,74.0,4567
53033009300,10.0,1075.0,73.0,0.0,545.0,42.0,54.0,737.0,299.0,255.0,58.0,2.0,0.0,256.0,0.0,0.0,0.0,3646.0,41.0,420.0,0.0,1.0,29.0,169.0,0.0,0.0,29.0,217.0,94.0,8052
53033009400,4.0,507.0,37.0,0.0,384.0,15.0,3.0,376.0,62.0,161.0,2.0,1.0,0.0,112.0,0.0,0.0,0.0,1110.0,17.0,239.0,0.0,0.0,48.0,97.0,0.0,0.0,24.0,64.0,30.0,3293
53033009500,10.0,588.0,38.0,0.0,452.0,28.0,2.0,339.0,54.0,132.0,8.0,1.0,0.0,155.0,0.0,0.0,0.0,1469.0,25.0,191.0,0.0,1.0,5.0,156.0,0.0,0.0,30.0,117.0,55.0,3856
53033009600,1.0,189.0,14.0,0.0,210.0,10.0,1.0,191.0,47.0,16.0,4.0,0.0,0.0,89.0,0.0,0.0,0.0,641.0,9.0,85.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,8.0,8.0,1543
53033009701,2.0,188.0,11.0,0.0,133.0,6.0,0.0,160.0,24.0,9.0,2.0,0.0,0.0,82.0,0.0,0.0,0.0,478.0,9.0,111.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,7.0,17.0,1252
53033009702,1.0,121.0,7.0,0.0,151.0,1.0,0.0,99.0,16.0,5.0,1.0,0.0,0.0,64.0,0.0,0.0,0.0,338.0,3.0,76.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,4.0,3.0,899
53033009800,7.0,235.0,27.0,0.0,280.0,10.0,0.0,246.0,62.0,41.0,7.0,1.0,0.0,90.0,0.0,0.0,0.0,760.0,13.0,131.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,18.0,18.0,1984
53033009900,4.0,393.0,20.0,0.0,363.0,10.0,0.0,264.0,119.0,66.0,9.0,0.0,0.0,93.0,0.0,0.0,0.0,795.0,4.0,163.0,0.0,0.0,4.0,34.0,0.0,0.0,11.0,31.0,17.0,2400
53033010001,10.0,373.0,8.0,0.0,252.0,4.0,0.0,235.0,35.0,45.0,2.0,1.0,0.0,60.0,0.0,0.0,0.0,447.0,2.0,174.0,0.0,0.0,1.0,74.0,0.0,0.0,8.0,16.0,22.0,1769
53033010002,0.0,214.0,6.0,0.0,223.0,4.0,0.0,192.0,36.0,44.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,501.0,1.0,196.0,0.0,1.0,2.0,62.0,0.0,0.0,4.0,11.0,16.0,1576
53033010100,8.0,560.0,44.0,0.0,517.0,26.0,0.0,371.0,32.0,92.0,4.0,0.0,0.0,153.0,0.0,0.0,0.0,1118.0,15.0,252.0,0.0,0.0,11.0,83.0,0.0,0.0,15.0,68.0,33.0,3402
53033010200,5.0,193.0,24.0,0.0,404.0,5.0,0.0,162.0,11.0,29.0,1.0,0.0,0.0,114.0,0.0,0.0,0.0,742.0,2.0,131.0,0.0,0.0,2.0,39.0,0.0,0.0,4.0,13.0,15.0,1896
53033010300,6.0,662.0,32.0,0.0,472.0,11.0,5.0,368.0,33.0,141.0,1.0,0.0,0.0,123.0,2.0,0.0,0.0,877.0,14.0,242.0,0.0,1.0,21.0,170.0,0.0,0.0,18.0,47.0,65.0,3311
53033010401,1.0,295.0,18.0,0.0,318.0,5.0,0.0,196.0,29.0,37.0,3.0,1.0,0.0,66.0,1.0,0.0,0.0,352.0,10.0,120.0,0.0,0.0,1.0,101.0,0.0,0.0,9.0,26.0,28.0,1617
53033010402,1.0,293.0,21.0,0.0,356.0,5.0,0.0,185.0,38.0,56.0,1.0,0.0,0.0,84.0,0.0,0.0,0.0,430.0,5.0,169.0,0.0,0.0,0.0,62.0,0.0,0.0,13.0,15.0,28.0,1762
53033010500,2.0,318.0,32.0,0.0,299.0,22.0,0.0,286.0,72.0,45.0,8.0,1.0,0.0,136.0,0.0,0.0,0.0,952.0,12.0,169.0,0.0,3.0,5.0,65.0,0.0,0.0,11.0,28.0,8.0,2474
53033010600,1.0,208.0,25.0,0.0,261.0,6.0,0.0,218.0,40.0,28.0,3.0,0.0,0.0,150.0,0.0,0.0,0.0,672.0,3.0,158.0,0.0,0.0,0.0,18.0,0.0,0.0,3.0,9.0,5.0,1808
53033010701,1.0,359.0,13.0,0.0,165.0,8.0,1.0,148.0,20.0,29.0,1.0,1.0,0.0,77.0,0.0,0.0,0.0,312.0,5.0,108.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0,16.0,13.0,1301
53033010702,1.0,380.0,11.0,0.0,136.0,2.0,0.0,214.0,22.0,12.0,2.0,0.0,0.0,82.0,0.0,0.0,0.0,334.0,4.0,90.0,0.0,0.0,0.0,37.0,0.0,0.0,2.0,29.0,15.0,1373
53033010800,6.0,475.0,23.0,0.0,310.0,14.0,0.0,261.0,59.0,46.0,1.0,1.0,0.0,105.0,0.0,0.0,0.0,554.0,4.0,155.0,0.0,1.0,2.0,47.0,0.0,0.0,10.0,25.0,28.0,2127
53033010900,11.0,379.0,47.0,0.0,372.0,24.0,0.0,347.0,96.0,136.0,21.0,1.0,0.0,85.0,0.0,0.0,0.0,706.0,13.0,191.0,0.0,0.0,24.0,67.0,0.0,0.0,15.0,35.0,31.0,2601
53033011001,14.0,476.0,28.0,0.0,324.0,21.0,0.0,297.0,30.0,56.0,2.0,1.0,0.0,96.0,2.0,0.0,0.0,698.0,9.0,241.0,0.0,0.0,0.0,175.0,0.0,0.0,9.0,43.0,38.0,2560
53033011002,3.0,214.0,17.0,0.0,268.0,4.0,0.0,167.0,25.0,39.0,1.0,1.0,0.0,65.0,0.0,0.0,0.0,245.0,3.0,123.0,0.0,0.0,0.0,53.0,0.0,0.0,4.0,12.0,18.0,1262
53033011101,5.0,342.0,26.0,0.0,296.0,7.0,2.0,229.0,17.0,104.0,1.0,1.0,0.0,82.0,1.0,0.0,0.0,344.0,5.0,151.0,0.0,0.0,3.0,71.0,0.0,0.0,17.0,13.0,49.0,1766
53033011102,5.0,445.0,35.0,0.0,256.0,14.0,1.0,251.0,51.0,162.0,1.0,1.0,0.0,78.0,0.0,0.0,0.0,398.0,20.0,127.0,0.0,0.0,17.0,87.0,0.0,0.0,20.0,27.0,43.0,2039
53033011200,7.0,636.0,28.0,0.0,335.0,18.0,1.0,406.0,63.0,115.0,15.0,1.0,0.0,87.0,0.0,0.0,0.0,635.0,16.0,174.0,0.0,0.0,10.0,60.0,0.0,0.0,10.0,26.0,42.0,2685
53033011300,5.0,532.0,23.0,0.0,398.0,11.0,1.0,368.0,52.0,53.0,4.0,1.0,0.0,132.0,0.0,0.0,0.0,664.0,1.0,259.0,0.0,0.0,8.0,50.0,0.0,0.0,11.0,25.0,32.0,2630
53033011401,5.0,303.0,13.0,0.0,177.0,5.0,0.0,199.0,41.0,34.0,2.0,2.0,0.0,74.0,0.0,0.0,0.0,417.0,4.0,143.0,0.0,0.0,1.0,35.0,0.0,0.0,2.0,14.0,32.0,1503
53033011402,4.0,329.0,30.0,0.0,223.0,26.0,0.0,243.0,39.0,44.0,21.0,0.0,0.0,93.0,1.0,0.0,0.0,1001.0,9.0,168.0,0.0,0.0,2.0,75.0,0.0,0.0,8.0,22.0,25.0,2363
53033011500,3.0,129.0,6.0,0.0,222.0,4.0,0.0,146.0,24.0,15.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,382.0,1.0,91.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,7.0,11.0,1126
53033011600,2.0,145.0,15.0,0.0,247.0,1.0,0.0,159.0,24.0,36.0,1.0,2.0,0.0,107.0,0.0,0.0,0.0,586.0,5.0,117.0,0.0,1.0,1.0,12.0,0.0,0.0,2.0,8.0,8.0,1479
53033011700,6.0,306.0,24.0,0.0,496.0,8.0,0.0,211.0,37.0,45.0,4.0,1.0,0.0,87.0,0.0,0.0,0.0,398.0,4.0,160.0,0.0,0.0,0.0,72.0,0.0,0.0,8.0,14.0,27.0,1908
53033011800,5.0,1149.0,60.0,1.0,604.0,32.0,2.0,591.0,84.0,262.0,11.0,3.0,0.0,181.0,2.0,0.0,0.0,1637.0,27.0,347.0,0.0,0.0,14.0,281.0,0.0,0.0,29.0,123.0,136.0,5581
53033011900,6.0,420.0,28.0,0.0,642.0,4.0,0.0,328.0,46.0,57.0,3.0,2.0,0.0,113.0,0.0,0.0,0.0,691.0,1.0,234.0,0.0,0.0,1.0,52.0,0.0,0.0,8.0,16.0,44.0,2696
53033012000,1.0,129.0,5.0,0.0,160.0,1.0,0.0,77.0,11.0,7.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,260.0,2.0,43.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,4.0,775
53033012100,1.0,39.0,3.0,0.0,94.0,1.0,0.0,27.0,2.0,3.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,157.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,389
53033020900,0.0,7.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42
53033021000,0.0,3.0,0.0,0.0,14.0,0.0,0.0,8.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,3.0,4.0,67
