CENSUS TRACT,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
Census Tract 260.03,4.0,179.0,0.0,1.0,45.0,4.0,3.0,22.0,1.0,0.0,0.0,1.0,11.0,21.0,0.0,11.0,107.0,0.0,0.0,83.0,131.0,272.0,0.0,0.0,20.0,36.0,7.0,39.0,17.0,6.0,1.0,56.0,0.0,7.0,77.0,160.0,37.0,14.0,1373
Census Tract 260.04,3.0,150.0,0.0,1.0,48.0,4.0,8.0,71.0,4.0,1.0,1.0,3.0,26.0,17.0,0.0,9.0,126.0,1.0,0.0,73.0,102.0,285.0,0.0,1.0,27.0,47.0,10.0,23.0,10.0,11.0,3.0,49.0,0.0,4.0,108.0,152.0,61.0,21.0,1460
Census Tract 261,8.0,469.0,1.0,3.0,98.0,16.0,18.0,199.0,12.0,5.0,0.0,2.0,49.0,52.0,2.0,15.0,592.0,14.0,2.0,122.0,410.0,925.0,0.0,3.0,36.0,217.0,4.0,68.0,34.0,24.0,2.0,191.0,0.0,26.0,335.0,305.0,183.0,72.0,4514
Census Tract 262,10.0,245.0,0.0,0.0,78.0,5.0,5.0,69.0,6.0,2.0,4.0,4.0,19.0,35.0,0.0,4.0,269.0,2.0,0.0,260.0,225.0,389.0,0.0,0.0,43.0,66.0,11.0,47.0,22.0,5.0,1.0,91.0,0.0,16.0,171.0,219.0,64.0,27.0,2414
Census Tract 263.01,1.0,271.0,0.0,2.0,48.0,9.0,7.0,116.0,6.0,1.0,2.0,0.0,26.0,30.0,1.0,18.0,243.0,3.0,0.0,59.0,206.0,703.0,0.0,1.0,26.0,114.0,2.0,32.0,21.0,12.0,0.0,91.0,0.0,7.0,147.0,169.0,92.0,39.0,2505
Census Tract 263.02,3.0,140.0,0.0,1.0,43.0,1.0,4.0,46.0,1.0,0.0,3.0,1.0,5.0,18.0,1.0,4.0,164.0,3.0,0.0,91.0,121.0,250.0,0.0,0.0,18.0,45.0,3.0,32.0,16.0,5.0,1.0,73.0,0.0,4.0,101.0,150.0,37.0,19.0,1404
Census Tract 263.03,1.0,122.0,1.0,1.0,28.0,2.0,7.0,35.0,2.0,0.0,0.0,1.0,4.0,23.0,0.0,10.0,113.0,3.0,0.0,69.0,124.0,170.0,0.0,0.0,7.0,37.0,5.0,24.0,10.0,4.0,0.0,40.0,0.0,5.0,88.0,123.0,18.0,12.0,1089
Census Tract 264.01,1.0,191.0,0.0,0.0,56.0,3.0,2.0,31.0,1.0,2.0,2.0,3.0,14.0,16.0,1.0,3.0,179.0,1.0,0.0,84.0,105.0,301.0,0.0,0.0,15.0,63.0,2.0,37.0,14.0,5.0,1.0,61.0,0.0,7.0,127.0,89.0,53.0,33.0,1503
Census Tract 264.02,2.0,140.0,1.0,2.0,71.0,5.0,3.0,38.0,2.0,6.0,0.0,1.0,14.0,25.0,0.0,9.0,150.0,1.0,0.0,62.0,112.0,177.0,0.0,1.0,19.0,46.0,3.0,33.0,8.0,5.0,1.0,61.0,0.0,5.0,112.0,144.0,33.0,20.0,1312
Census Tract 264.03,3.0,221.0,1.0,0.0,57.0,6.0,2.0,67.0,5.0,1.0,0.0,3.0,28.0,27.0,3.0,7.0,214.0,6.0,0.0,64.0,171.0,358.0,1.0,0.0,22.0,58.0,2.0,41.0,18.0,16.0,4.0,62.0,0.0,18.0,156.0,116.0,56.0,36.0,1850
Census Tract 264.04,3.0,175.0,0.0,0.0,41.0,0.0,0.0,17.0,1.0,1.0,1.0,0.0,3.0,10.0,0.0,7.0,77.0,2.0,0.0,70.0,94.0,164.0,0.0,0.0,11.0,51.0,2.0,38.0,14.0,6.0,0.0,53.0,0.0,4.0,102.0,65.0,32.0,35.0,1079
Census Tract 301.01,6.0,100.0,0.0,1.0,145.0,0.0,6.0,14.0,5.0,2.0,2.0,1.0,16.0,47.0,0.0,4.0,286.0,0.0,0.0,78.0,180.0,161.0,0.0,0.0,7.0,19.0,0.0,21.0,7.0,5.0,2.0,58.0,0.0,8.0,91.0,88.0,22.0,5.0,1387
Census Tract 301.02,1.0,77.0,0.0,0.0,79.0,1.0,4.0,15.0,0.0,3.0,0.0,0.0,10.0,49.0,0.0,1.0,269.0,0.0,0.0,36.0,151.0,120.0,0.0,0.0,5.0,9.0,1.0,11.0,4.0,1.0,0.0,57.0,0.0,7.0,77.0,98.0,9.0,12.0,1107
Census Tract 302.01,1.0,82.0,0.0,1.0,88.0,2.0,7.0,20.0,1.0,0.0,1.0,0.0,10.0,27.0,0.0,3.0,258.0,3.0,0.0,19.0,163.0,235.0,0.0,0.0,5.0,28.0,2.0,8.0,3.0,4.0,2.0,61.0,0.0,10.0,87.0,71.0,47.0,7.0,1256
Census Tract 302.02,2.0,155.0,3.0,0.0,126.0,12.0,13.0,51.0,24.0,2.0,2.0,0.0,25.0,56.0,0.0,3.0,441.0,8.0,1.0,105.0,304.0,254.0,0.0,0.0,8.0,48.0,0.0,19.0,7.0,9.0,0.0,104.0,0.0,8.0,153.0,80.0,81.0,12.0,2116
Census Tract 303.01,2.0,89.0,0.0,0.0,110.0,1.0,5.0,27.0,2.0,2.0,0.0,1.0,11.0,28.0,0.0,7.0,290.0,0.0,0.0,48.0,146.0,147.0,0.0,0.0,7.0,15.0,0.0,18.0,2.0,3.0,1.0,86.0,0.0,7.0,108.0,121.0,23.0,7.0,1314
Census Tract 303.02,0.0,54.0,2.0,0.0,56.0,4.0,4.0,16.0,1.0,1.0,2.0,0.0,12.0,29.0,0.0,4.0,203.0,0.0,0.0,5.0,86.0,120.0,0.0,0.0,3.0,8.0,0.0,11.0,4.0,3.0,1.0,37.0,0.0,3.0,75.0,68.0,9.0,6.0,827
Census Tract 304,11.0,131.0,0.0,0.0,128.0,4.0,2.0,33.0,6.0,2.0,4.0,1.0,24.0,41.0,0.0,7.0,313.0,3.0,0.0,61.0,185.0,187.0,0.0,1.0,9.0,27.0,3.0,16.0,14.0,8.0,1.0,87.0,0.0,11.0,188.0,74.0,34.0,20.0,1636
Census Tract 305,0.0,149.0,0.0,2.0,34.0,5.0,1.0,158.0,6.0,1.0,1.0,0.0,2.0,16.0,0.0,1.0,143.0,0.0,1.0,70.0,187.0,95.0,0.0,0.0,5.0,4.0,8.0,12.0,13.0,2.0,2.0,47.0,0.0,11.0,64.0,34.0,21.0,6.0,1101
Census Tract 306,1.0,46.0,0.0,1.0,49.0,3.0,5.0,5.0,2.0,1.0,0.0,0.0,10.0,15.0,0.0,2.0,143.0,2.0,1.0,12.0,71.0,76.0,0.0,0.0,2.0,11.0,0.0,9.0,1.0,4.0,0.0,28.0,0.0,4.0,53.0,25.0,7.0,1.0,590
Census Tract 307,3.0,78.0,1.0,1.0,97.0,2.0,3.0,20.0,2.0,0.0,0.0,0.0,21.0,42.0,0.0,3.0,299.0,2.0,0.0,39.0,175.0,142.0,0.0,0.0,8.0,8.0,2.0,13.0,4.0,7.0,3.0,73.0,0.0,9.0,130.0,94.0,16.0,6.0,1303
Census Tract 308,1.0,146.0,1.0,0.0,153.0,1.0,15.0,38.0,13.0,4.0,0.0,0.0,31.0,63.0,0.0,3.0,466.0,7.0,1.0,43.0,314.0,399.0,0.0,2.0,7.0,46.0,2.0,17.0,11.0,11.0,2.0,142.0,1.0,14.0,214.0,79.0,44.0,6.0,2297
Census Tract 309,2.0,182.0,3.0,0.0,211.0,2.0,29.0,41.0,6.0,3.0,1.0,1.0,34.0,54.0,0.0,9.0,573.0,3.0,3.0,67.0,272.0,540.0,0.0,2.0,13.0,62.0,3.0,34.0,11.0,22.0,1.0,137.0,0.0,17.0,244.0,151.0,43.0,17.0,2793
Census Tract 310,2.0,132.0,2.0,2.0,97.0,3.0,6.0,35.0,6.0,1.0,0.0,1.0,9.0,54.0,0.0,5.0,415.0,2.0,0.0,26.0,146.0,190.0,0.0,1.0,6.0,33.0,1.0,14.0,5.0,4.0,1.0,56.0,0.0,11.0,108.0,83.0,31.0,4.0,1492
Census Tract 311,7.0,285.0,1.0,3.0,128.0,19.0,5.0,65.0,7.0,2.0,0.0,1.0,20.0,60.0,0.0,4.0,1109.0,1.0,4.0,127.0,412.0,580.0,1.0,2.0,20.0,86.0,5.0,52.0,18.0,16.0,3.0,144.0,0.0,15.0,226.0,236.0,69.0,33.0,3766
Census Tract 312.01,8.0,281.0,0.0,2.0,94.0,5.0,12.0,84.0,5.0,2.0,2.0,2.0,37.0,51.0,0.0,9.0,413.0,6.0,0.0,353.0,251.0,524.0,0.0,1.0,14.0,102.0,31.0,51.0,24.0,8.0,2.0,123.0,0.0,4.0,202.0,130.0,64.0,35.0,2932
Census Tract 312.02,0.0,130.0,1.0,0.0,41.0,2.0,3.0,39.0,4.0,0.0,1.0,2.0,8.0,20.0,0.0,4.0,151.0,1.0,0.0,107.0,100.0,184.0,0.0,0.0,15.0,83.0,14.0,22.0,5.0,7.0,1.0,46.0,0.0,4.0,73.0,90.0,20.0,11.0,1189
Census Tract 313.01,4.0,169.0,1.0,1.0,59.0,1.0,8.0,33.0,0.0,1.0,0.0,0.0,14.0,28.0,0.0,8.0,228.0,3.0,1.0,94.0,136.0,180.0,0.0,0.0,12.0,35.0,5.0,39.0,9.0,6.0,2.0,55.0,0.0,4.0,101.0,83.0,23.0,13.0,1356
Census Tract 313.02,6.0,200.0,1.0,3.0,85.0,5.0,6.0,108.0,5.0,2.0,2.0,2.0,14.0,38.0,0.0,5.0,246.0,1.0,0.0,66.0,196.0,265.0,0.0,1.0,33.0,52.0,1.0,40.0,12.0,4.0,2.0,76.0,0.0,6.0,146.0,92.0,84.0,15.0,1820
Census Tract 314,11.0,404.0,1.0,2.0,84.0,4.0,9.0,146.0,8.0,2.0,1.0,2.0,18.0,38.0,0.0,16.0,334.0,4.0,0.0,416.0,276.0,568.0,0.0,0.0,24.0,112.0,43.0,115.0,23.0,16.0,3.0,138.0,0.0,23.0,219.0,213.0,122.0,53.0,3448
Census Tract 326.01,3.0,140.0,1.0,0.0,100.0,5.0,4.0,46.0,13.0,1.0,1.0,2.0,36.0,47.0,0.0,6.0,220.0,5.0,1.0,26.0,267.0,261.0,0.0,3.0,8.0,33.0,1.0,26.0,9.0,8.0,2.0,88.0,0.0,13.0,134.0,78.0,58.0,11.0,1657
Census Tract 326.02,2.0,54.0,1.0,1.0,55.0,3.0,5.0,7.0,0.0,1.0,0.0,1.0,12.0,36.0,0.0,4.0,125.0,4.0,0.0,33.0,118.0,91.0,0.0,4.0,3.0,9.0,0.0,10.0,7.0,2.0,0.0,32.0,0.0,4.0,81.0,69.0,9.0,5.0,788
Census Tract 327,1.0,101.0,1.0,0.0,102.0,1.0,2.0,28.0,2.0,0.0,2.0,1.0,14.0,37.0,0.0,7.0,271.0,1.0,0.0,27.0,151.0,170.0,0.0,3.0,9.0,25.0,1.0,17.0,17.0,3.0,1.0,76.0,0.0,3.0,129.0,92.0,21.0,8.0,1324
Census Tract 328.01,7.0,186.0,2.0,1.0,67.0,4.0,9.0,85.0,8.0,3.0,1.0,1.0,11.0,28.0,0.0,7.0,199.0,4.0,0.0,55.0,455.0,256.0,0.0,1.0,3.0,18.0,0.0,42.0,17.0,6.0,2.0,131.0,0.0,15.0,112.0,38.0,17.0,35.0,1826
Census Tract 328.02,2.0,91.0,0.0,0.0,68.0,4.0,12.0,33.0,1.0,1.0,1.0,0.0,14.0,27.0,1.0,1.0,135.0,5.0,0.0,20.0,114.0,144.0,0.0,2.0,5.0,21.0,1.0,15.0,4.0,4.0,0.0,63.0,0.0,3.0,91.0,64.0,13.0,10.0,970
Census Tract 329.01,2.0,92.0,3.0,1.0,60.0,3.0,4.0,36.0,6.0,2.0,2.0,0.0,8.0,37.0,1.0,6.0,145.0,0.0,1.0,23.0,122.0,129.0,0.0,0.0,3.0,13.0,0.0,19.0,1.0,2.0,3.0,54.0,0.0,5.0,94.0,69.0,10.0,2.0,958
Census Tract 329.02,2.0,79.0,1.0,0.0,52.0,5.0,4.0,29.0,4.0,1.0,0.0,0.0,12.0,32.0,0.0,5.0,144.0,1.0,0.0,28.0,128.0,107.0,0.0,1.0,2.0,12.0,2.0,13.0,3.0,3.0,1.0,50.0,0.0,3.0,84.0,36.0,13.0,8.0,865
Census Tract 330,4.0,176.0,2.0,2.0,106.0,9.0,11.0,61.0,9.0,2.0,2.0,0.0,31.0,72.0,0.0,10.0,311.0,3.0,1.0,203.0,353.0,344.0,0.0,7.0,11.0,28.0,22.0,40.0,21.0,6.0,5.0,140.0,1.0,8.0,183.0,95.0,38.0,29.0,2346
Census Tract 331,8.0,76.0,0.0,0.0,59.0,1.0,9.0,20.0,3.0,2.0,0.0,0.0,12.0,40.0,0.0,2.0,328.0,0.0,0.0,26.0,146.0,202.0,0.0,0.0,6.0,26.0,1.0,14.0,6.0,5.0,4.0,68.0,0.0,4.0,88.0,44.0,43.0,2.0,1245
Census Tract 332.01,3.0,130.0,0.0,0.0,155.0,4.0,8.0,68.0,27.0,17.0,4.0,1.0,27.0,123.0,0.0,3.0,1634.0,26.0,1.0,30.0,203.0,421.0,0.0,0.0,10.0,86.0,0.0,33.0,9.0,24.0,1.0,93.0,0.0,41.0,120.0,83.0,107.0,16.0,3508
Census Tract 332.03,2.0,149.0,0.0,2.0,140.0,1.0,4.0,38.0,6.0,1.0,1.0,2.0,19.0,26.0,0.0,5.0,267.0,3.0,0.0,41.0,147.0,129.0,0.0,2.0,8.0,24.0,1.0,29.0,11.0,5.0,3.0,82.0,0.0,11.0,120.0,56.0,17.0,19.0,1371
Census Tract 332.04,3.0,130.0,2.0,0.0,176.0,1.0,8.0,10.0,7.0,1.0,0.0,1.0,10.0,40.0,0.0,8.0,271.0,4.0,0.0,35.0,141.0,112.0,0.0,1.0,7.0,25.0,1.0,32.0,12.0,0.0,2.0,68.0,0.0,2.0,120.0,63.0,12.0,4.0,1309
Census Tract 351,4.0,171.0,0.0,0.0,87.0,3.0,5.0,42.0,2.0,4.0,2.0,1.0,22.0,40.0,0.0,8.0,225.0,5.0,1.0,82.0,214.0,197.0,0.0,4.0,5.0,23.0,4.0,25.0,8.0,5.0,2.0,84.0,0.0,9.0,152.0,117.0,23.0,10.0,1586
Census Tract 352.01,2.0,120.0,0.0,0.0,54.0,1.0,4.0,39.0,6.0,1.0,1.0,1.0,14.0,25.0,0.0,5.0,200.0,2.0,0.0,62.0,156.0,143.0,0.0,3.0,8.0,21.0,0.0,28.0,9.0,4.0,0.0,63.0,0.0,14.0,107.0,93.0,38.0,12.0,1236
Census Tract 352.02,5.0,151.0,0.0,1.0,67.0,2.0,9.0,64.0,9.0,1.0,1.0,1.0,16.0,42.0,0.0,7.0,223.0,7.0,1.0,66.0,199.0,232.0,0.0,2.0,8.0,35.0,2.0,23.0,15.0,4.0,3.0,103.0,0.0,13.0,118.0,83.0,73.0,16.0,1602
Census Tract 353,4.0,145.0,1.0,1.0,91.0,4.0,4.0,49.0,3.0,0.0,6.0,3.0,23.0,44.0,0.0,9.0,277.0,1.0,0.0,51.0,245.0,206.0,0.0,0.0,10.0,18.0,3.0,18.0,17.0,6.0,2.0,113.0,0.0,6.0,166.0,86.0,16.0,18.0,1646
Census Tract 354,0.0,138.0,0.0,0.0,74.0,6.0,4.0,45.0,7.0,3.0,3.0,0.0,12.0,48.0,0.0,12.0,222.0,2.0,0.0,112.0,192.0,203.0,0.0,6.0,14.0,24.0,7.0,26.0,14.0,5.0,2.0,84.0,0.0,10.0,122.0,94.0,31.0,19.0,1541
Census Tract 401,1.0,176.0,2.0,1.0,116.0,0.0,18.0,38.0,20.0,6.0,2.0,0.0,32.0,50.0,0.0,2.0,324.0,24.0,0.0,44.0,241.0,239.0,0.0,0.0,7.0,14.0,0.0,21.0,11.0,7.0,2.0,92.0,0.0,10.0,120.0,87.0,35.0,13.0,1755
Census Tract 402,2.0,126.0,3.0,1.0,117.0,3.0,22.0,32.0,9.0,8.0,1.0,1.0,17.0,59.0,0.0,3.0,368.0,9.0,0.0,58.0,273.0,304.0,0.0,2.0,5.0,25.0,3.0,26.0,8.0,9.0,3.0,117.0,0.0,8.0,161.0,99.0,25.0,15.0,1922
Census Tract 426.01,3.0,82.0,1.0,1.0,98.0,1.0,6.0,14.0,6.0,1.0,0.0,1.0,27.0,32.0,0.0,3.0,170.0,0.0,0.0,30.0,109.0,170.0,0.0,0.0,3.0,15.0,1.0,23.0,3.0,4.0,1.0,63.0,0.0,3.0,96.0,54.0,11.0,5.0,1037
Census Tract 426.02,2.0,86.0,0.0,0.0,87.0,0.0,13.0,11.0,6.0,0.0,1.0,0.0,11.0,42.0,0.0,1.0,192.0,6.0,0.0,9.0,114.0,145.0,0.0,0.0,2.0,16.0,0.0,11.0,3.0,8.0,0.0,59.0,0.0,7.0,81.0,50.0,21.0,10.0,994
Census Tract 427,3.0,180.0,1.0,0.0,121.0,5.0,11.0,21.0,7.0,5.0,1.0,2.0,19.0,49.0,0.0,4.0,253.0,2.0,0.0,69.0,230.0,216.0,0.0,0.0,4.0,27.0,2.0,43.0,11.0,11.0,4.0,122.0,0.0,9.0,122.0,77.0,25.0,23.0,1679
Census Tract 428,1.0,16.0,1.0,0.0,61.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,16.0,0.0,0.0,135.0,0.0,0.0,10.0,66.0,46.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,2.0,0.0,46.0,0.0,4.0,56.0,30.0,4.0,1.0,509
Census Tract 451,7.0,119.0,1.0,0.0,103.0,2.0,35.0,38.0,6.0,2.0,1.0,0.0,11.0,39.0,0.0,1.0,252.0,7.0,0.0,50.0,229.0,313.0,0.0,0.0,3.0,29.0,2.0,25.0,17.0,7.0,1.0,90.0,0.0,2.0,135.0,104.0,26.0,15.0,1672
Census Tract 452,5.0,213.0,0.0,0.0,144.0,4.0,47.0,59.0,11.0,4.0,0.0,2.0,26.0,63.0,1.0,9.0,563.0,6.0,0.0,70.0,708.0,486.0,0.0,0.0,14.0,52.0,2.0,33.0,13.0,17.0,3.0,149.0,0.0,17.0,206.0,149.0,104.0,16.0,3196
Census Tract 476,4.0,99.0,0.0,0.0,67.0,5.0,24.0,30.0,9.0,2.0,1.0,1.0,13.0,50.0,0.0,4.0,259.0,1.0,0.0,57.0,237.0,314.0,0.0,0.0,5.0,36.0,0.0,25.0,8.0,4.0,3.0,99.0,0.0,6.0,130.0,95.0,33.0,9.0,1630
Census Tract 477.01,2.0,114.0,0.0,0.0,83.0,4.0,17.0,23.0,9.0,2.0,0.0,0.0,13.0,38.0,0.0,2.0,225.0,2.0,0.0,28.0,219.0,246.0,0.0,0.0,8.0,29.0,1.0,28.0,5.0,11.0,0.0,88.0,0.0,9.0,124.0,74.0,21.0,8.0,1433
Census Tract 477.02,5.0,59.0,0.0,0.0,58.0,3.0,4.0,12.0,2.0,0.0,0.0,0.0,7.0,28.0,0.0,3.0,110.0,1.0,0.0,30.0,112.0,109.0,0.0,1.0,6.0,16.0,2.0,10.0,6.0,5.0,0.0,41.0,0.0,3.0,58.0,71.0,11.0,6.0,779
Census Tract 478.01,10.0,113.0,0.0,0.0,68.0,5.0,2.0,45.0,4.0,2.0,2.0,0.0,20.0,26.0,0.0,6.0,173.0,4.0,1.0,96.0,140.0,150.0,0.0,1.0,5.0,14.0,30.0,17.0,9.0,8.0,0.0,84.0,0.0,13.0,121.0,66.0,25.0,23.0,1283
Census Tract 478.02,4.0,83.0,1.0,1.0,43.0,2.0,7.0,15.0,1.0,1.0,2.0,3.0,11.0,30.0,0.0,7.0,156.0,1.0,0.0,33.0,146.0,118.0,0.0,0.0,4.0,13.0,2.0,26.0,8.0,3.0,0.0,54.0,0.0,3.0,78.0,48.0,4.0,11.0,919
Census Tract 479.01,6.0,191.0,1.0,2.0,86.0,3.0,4.0,50.0,6.0,0.0,1.0,0.0,17.0,49.0,1.0,5.0,681.0,2.0,0.0,68.0,286.0,207.0,0.0,1.0,8.0,36.0,1.0,31.0,14.0,11.0,3.0,105.0,0.0,15.0,176.0,108.0,81.0,14.0,2270
Census Tract 479.02,2.0,89.0,0.0,2.0,38.0,3.0,1.0,23.0,1.0,1.0,2.0,0.0,7.0,25.0,0.0,5.0,160.0,1.0,0.0,24.0,130.0,114.0,0.0,0.0,2.0,8.0,3.0,20.0,2.0,6.0,0.0,59.0,0.0,1.0,79.0,50.0,23.0,5.0,886
Census Tract 601,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66.0,0.0,0.0,1.0,15.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,13.0,7.0,1.0,0.0,119
Census Tract 604,4.0,72.0,0.0,0.0,44.0,2.0,16.0,11.0,2.0,1.0,0.0,0.0,1.0,39.0,0.0,4.0,464.0,0.0,0.0,16.0,137.0,99.0,0.0,1.0,11.0,7.0,0.0,12.0,5.0,2.0,0.0,47.0,0.0,14.0,67.0,52.0,15.0,11.0,1156
Census Tract 605.02,10.0,790.0,0.0,3.0,235.0,5.0,7.0,186.0,10.0,3.0,2.0,5.0,15.0,33.0,2.0,30.0,224.0,1.0,1.0,154.0,258.0,735.0,0.0,0.0,56.0,177.0,10.0,187.0,40.0,15.0,2.0,198.0,0.0,21.0,397.0,132.0,240.0,167.0,4351
Census Tract 607,9.0,492.0,3.0,1.0,247.0,22.0,13.0,118.0,69.0,11.0,1.0,2.0,63.0,110.0,0.0,14.0,2028.0,45.0,1.0,61.0,698.0,664.0,0.0,1.0,16.0,88.0,2.0,70.0,21.0,33.0,2.0,289.0,0.0,105.0,412.0,223.0,222.0,24.0,6180
Census Tract 610,13.0,297.0,0.0,2.0,78.0,14.0,3.0,61.0,78.0,3.0,0.0,4.0,40.0,30.0,0.0,6.0,300.0,1.0,0.0,69.0,229.0,346.0,0.0,2.0,34.0,35.0,2.0,51.0,13.0,13.0,1.0,130.0,0.0,21.0,116.0,117.0,70.0,28.0,2207
Census Tract 611,3.0,432.0,4.0,3.0,221.0,11.0,12.0,76.0,15.0,6.0,20.0,5.0,45.0,89.0,5.0,15.0,874.0,2.0,0.0,81.0,595.0,468.0,0.0,11.0,11.0,117.0,1.0,56.0,15.0,23.0,8.0,211.0,0.0,40.0,269.0,79.0,104.0,24.0,3951
Census Tract 612,14.0,1010.0,2.0,6.0,154.0,16.0,32.0,999.0,58.0,8.0,4.0,3.0,52.0,66.0,13.0,30.0,528.0,48.0,3.0,1501.0,575.0,2166.0,0.0,2.0,52.0,241.0,84.0,163.0,56.0,40.0,1.0,418.0,0.0,24.0,289.0,205.0,690.0,233.0,9786
Census Tract 614,19.0,803.0,1.0,3.0,415.0,14.0,8.0,178.0,9.0,0.0,4.0,8.0,11.0,54.0,0.0,18.0,1013.0,3.0,0.0,138.0,395.0,764.0,0.0,0.0,77.0,205.0,8.0,163.0,30.0,35.0,2.0,323.0,1.0,74.0,576.0,292.0,227.0,126.0,5997
Census Tract 615,25.0,1331.0,5.0,4.0,883.0,47.0,57.0,254.0,137.0,45.0,6.0,3.0,187.0,626.0,0.0,28.0,7925.0,10.0,21.0,219.0,2522.0,2374.0,0.0,13.0,80.0,453.0,5.0,125.0,66.0,125.0,8.0,689.0,0.0,262.0,1037.0,463.0,539.0,74.0,20648
Census Tract 9802,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,0.0,0.0,12.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,3.0,0.0,98
Census Tract 9803,6.0,304.0,0.0,1.0,49.0,29.0,55.0,845.0,39.0,1.0,1.0,1.0,12.0,44.0,0.0,5.0,1977.0,24.0,3.0,85.0,967.0,1125.0,1.0,1.0,24.0,90.0,4.0,26.0,26.0,39.0,1.0,253.0,0.0,13.0,319.0,220.0,516.0,56.0,7162
Census Tract 9805.01,16.0,129.0,0.0,0.0,28.0,4.0,3.0,22.0,0.0,0.0,2.0,2.0,0.0,7.0,0.0,5.0,143.0,1.0,0.0,33.0,62.0,173.0,0.0,0.0,19.0,45.0,2.0,25.0,17.0,6.0,1.0,29.0,0.0,8.0,43.0,47.0,13.0,33.0,918
Census Tract 9806,0.0,50.0,0.0,0.0,26.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,5.0,31.0,0.0,0.0,21.0,22.0,38.0,0.0,0.0,3.0,7.0,1.0,8.0,6.0,2.0,0.0,19.0,0.0,8.0,43.0,14.0,6.0,7.0,327
Census Tract 9809,24.0,501.0,1.0,1.0,399.0,4.0,34.0,370.0,6.0,17.0,0.0,2.0,38.0,48.0,0.0,22.0,994.0,4.0,1.0,162.0,416.0,1966.0,0.0,0.0,101.0,122.0,19.0,69.0,10.0,52.0,1.0,271.0,0.0,41.0,371.0,401.0,263.0,57.0,6788
