CENSUS TRACT,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
Census Tract 177,13.0,866.0,4.0,2.0,367.0,122.0,42.0,494.0,46.0,22.0,1.0,4.0,102.0,189.0,1.0,17.0,3293.0,13.0,15.0,105.0,1035.0,1593.0,0.0,242.0,53.0,242.0,7.0,88.0,40.0,79.0,0.0,370.0,0.0,113.0,706.0,466.0,568.0,89.0,11409
Census Tract 178.01,3.0,207.0,0.0,1.0,163.0,3.0,16.0,29.0,17.0,11.0,0.0,0.0,16.0,58.0,0.0,9.0,1701.0,9.0,1.0,47.0,349.0,391.0,0.0,0.0,11.0,79.0,1.0,15.0,17.0,29.0,3.0,125.0,0.0,18.0,253.0,129.0,120.0,15.0,3846
Census Tract 178.02,16.0,889.0,2.0,3.0,342.0,26.0,63.0,452.0,96.0,5.0,3.0,4.0,53.0,138.0,0.0,28.0,3068.0,19.0,6.0,1175.0,1350.0,1583.0,1.0,7.0,65.0,219.0,19.0,100.0,45.0,77.0,8.0,381.0,0.0,72.0,670.0,370.0,453.0,59.0,11867
Census Tract 179.02,8.0,140.0,1.0,2.0,94.0,3.0,4.0,7.0,1.0,0.0,0.0,2.0,5.0,13.0,0.0,5.0,188.0,0.0,0.0,52.0,129.0,114.0,0.0,0.0,17.0,11.0,2.0,24.0,11.0,2.0,0.0,45.0,0.0,9.0,109.0,51.0,19.0,12.0,1080
Census Tract 180,40.0,2332.0,11.0,22.0,719.0,100.0,74.0,907.0,158.0,44.0,14.0,11.0,410.0,901.0,2.0,100.0,8421.0,50.0,10.0,843.0,5195.0,4001.0,1.0,48.0,50.0,627.0,38.0,398.0,345.0,144.0,19.0,1390.0,0.0,228.0,1558.0,368.0,1927.0,226.0,31732
Census Tract 201,15.0,1981.0,1.0,13.0,330.0,98.0,48.0,2814.0,109.0,14.0,5.0,5.0,175.0,332.0,3.0,69.0,2483.0,71.0,57.0,225.0,2116.0,4248.0,0.0,88.0,78.0,693.0,10.0,261.0,126.0,172.0,9.0,644.0,0.0,112.0,666.0,354.0,1554.0,241.0,20220
Census Tract 202,7.0,601.0,3.0,2.0,167.0,18.0,11.0,252.0,33.0,10.0,3.0,2.0,53.0,93.0,0.0,13.0,1256.0,16.0,3.0,147.0,683.0,730.0,0.0,6.0,15.0,170.0,9.0,94.0,24.0,26.0,1.0,193.0,0.0,24.0,340.0,215.0,233.0,45.0,5498
Census Tract 203,2.0,391.0,0.0,2.0,154.0,11.0,21.0,128.0,28.0,5.0,1.0,0.0,18.0,89.0,1.0,8.0,1045.0,6.0,0.0,67.0,466.0,432.0,0.0,2.0,11.0,144.0,2.0,47.0,19.0,32.0,3.0,151.0,0.0,30.0,240.0,170.0,146.0,28.0,3900
Census Tract 204.01,0.0,66.0,0.0,0.0,73.0,2.0,8.0,21.0,3.0,0.0,0.0,0.0,8.0,25.0,0.0,0.0,274.0,0.0,0.0,26.0,130.0,110.0,0.0,0.0,12.0,24.0,2.0,8.0,5.0,6.0,1.0,35.0,0.0,6.0,87.0,76.0,18.0,6.0,1032
Census Tract 204.02,2.0,87.0,0.0,0.0,97.0,6.0,7.0,26.0,2.0,1.0,1.0,0.0,16.0,60.0,0.0,2.0,361.0,0.0,0.0,31.0,159.0,151.0,0.0,0.0,14.0,15.0,1.0,27.0,4.0,4.0,1.0,53.0,0.0,6.0,79.0,168.0,24.0,2.0,1407
