GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031670200,6.0,139.0,544.0,192.0,11.0,256.0,0.0,75.0,40.0,21.0,10.0,2.0,3.0,2.0,1.0,60.0,710.0,0.0,0.0,0.0,9.0,0.0,141.0,17.0,0.0,28.0,97.0,8.0,0.0,279.0,44.0,2695
17031670300,3.0,156.0,562.0,221.0,7.0,260.0,0.0,97.0,40.0,6.0,8.0,7.0,0.0,1.0,6.0,84.0,424.0,0.0,0.0,0.0,12.0,0.0,110.0,56.0,0.0,11.0,109.0,1.0,0.0,364.0,50.0,2595
17031670400,3.0,170.0,639.0,238.0,15.0,363.0,0.0,37.0,39.0,5.0,7.0,9.0,0.0,0.0,2.0,86.0,230.0,0.0,0.0,0.0,14.0,0.0,134.0,0.0,1.0,16.0,78.0,5.0,0.0,298.0,54.0,2443
17031670500,5.0,145.0,447.0,199.0,11.0,355.0,0.0,56.0,32.0,7.0,3.0,3.0,0.0,1.0,2.0,101.0,242.0,0.0,0.0,0.0,9.0,0.0,103.0,27.0,0.0,13.0,82.0,5.0,0.0,398.0,50.0,2296
17031670600,4.0,150.0,491.0,175.0,19.0,280.0,0.0,37.0,39.0,7.0,7.0,7.0,0.0,0.0,1.0,86.0,260.0,0.0,0.0,0.0,13.0,0.0,93.0,22.0,0.0,16.0,98.0,7.0,0.0,341.0,40.0,2193
17031670700,5.0,277.0,673.0,240.0,12.0,357.0,0.0,147.0,66.0,6.0,8.0,18.0,2.0,0.0,1.0,99.0,543.0,0.0,0.0,0.0,22.0,0.0,130.0,198.0,0.0,22.0,213.0,11.0,3.0,684.0,48.0,3785
17031670800,7.0,198.0,586.0,261.0,10.0,368.0,0.0,91.0,32.0,11.0,9.0,27.0,1.0,2.0,4.0,113.0,412.0,0.0,0.0,0.0,29.0,0.0,173.0,90.0,0.0,23.0,108.0,6.0,1.0,497.0,46.0,3105
17031670900,2.0,155.0,484.0,205.0,11.0,279.0,0.0,32.0,29.0,6.0,3.0,6.0,1.0,3.0,4.0,88.0,245.0,0.0,0.0,0.0,12.0,0.0,122.0,10.0,0.0,15.0,64.0,4.0,4.0,321.0,33.0,2138
17031671100,6.0,179.0,491.0,179.0,3.0,227.0,0.0,47.0,28.0,11.0,4.0,9.0,5.0,2.0,4.0,91.0,250.0,0.0,0.0,0.0,15.0,0.0,114.0,9.0,0.0,10.0,89.0,3.0,0.0,346.0,35.0,2157
17031671200,4.0,227.0,794.0,128.0,14.0,285.0,0.0,56.0,44.0,16.0,5.0,11.0,2.0,2.0,4.0,78.0,379.0,0.0,0.0,0.0,19.0,0.0,121.0,21.0,0.0,39.0,202.0,5.0,0.0,449.0,78.0,2983
