"","GEOID","pm25_1998","pm25_1999","pm25_2000","pm25_2001","pm25_2002","pm25_2003","pm25_2004","pm25_2005","pm25_2006","pm25_2007","pm25_2008","pm25_2009","pm25_2010","pm25_2011","pm25_2012","pm25_2013","pm25_2014","pm25_2015","pm25_2016"
"1","53009980100",5.37959698345559,5.45415616275682,5.92141328480821,5.27995641454892,5.16920981809943,5.12638297740449,4.92751676710927,4.98938271911056,5.48142202130151,5.13283581164346,4.61063830649599,5.21047618445896,4.46759492958648,4.28409638376121,5.42847058913287,4.94605263032411,3.95169902223985,7.27577196673939,3.90101009276178
"2","53009980200",5.38212743189113,5.41047516227026,5.49247613527479,5.04411609216856,5.08534577040719,5.45746799213958,4.92367671698959,5.07644230292903,5.50450262349313,4.48888349614097,4.7077213860485,5.41925624967897,4.39095476524315,4.53414634094511,5.48049663763495,4.46294362678159,4.20870488287284,6.92075179847212,3.75253793121569
"3","53009980300",6.24029851315626,6.00597012576772,4.71290321503916,5.39729728247668,5.01607142175947,5.31891891118642,4.73035713604518,4.91212117671967,6.45479451140312,3.02352940334993,4.45714286395482,5.42456141271089,4.09178081603899,4.49999998637608,4.83235292574939,5.12686567520028,4.32388059416814,5.8650793196663,4.56461538351499
"4","53009980400",5.45497258743833,5.45865309462476,5.45139500818239,4.98106712420918,5.05690209058085,5.48608033297135,4.6609671775747,5.35501975918947,5.34827586521452,3.82060417502911,4.91351963512127,5.40455532229128,4.03574626508044,4.53554716533085,5.06089219116367,4.67981366267115,4.01300751589295,6.45216718066957,4.34285714309392
"5","53009980600",5.44412344283206,5.47091268021577,5.3420603605393,5.05731958646545,5.07305502635176,6.16185359125413,4.80722100338216,5.17237016999134,5.44675159431567,4.22545227183451,4.91581699762469,5.36465574710096,4.16741935160852,4.4577574924975,5.31413881936539,4.59201015092636,4.0892277758745,6.63807969510672,4.23854639126371
"6","53009980700",5.35581396162048,5.37674420378929,6.09591836345439,4.97299266992694,5.32051281236176,6.05670105550707,4.52538460676487,5.0595419880088,5.34999999579261,4.7693877479657,4.92913385263578,5.49115644669046,4.40078737416605,4.60375938917461,5.46692307728987,4.28999999591282,4.55671643677042,6.3027971957947,3.66014492857283
"7","53009980800",5.4333332379659,5.29999987284342,5.4333332379659,5.69999980926514,4.40000009536743,5.46666669845581,5.30000019073486,3.93333339691162,4.83333349227905,4.83333333333333,5.66666650772095,4.59999990463257,4.5,3.46666661898295,5.16666650772095,3.43333339691162,4.26666657129924,5.43333339691162,4.35000002384186
"8","53009980900",6.04999995231628,5.64999985694885,6.10000014305115,5.80000019073486,4.59999990463257,6.32499980926514,5.19999980926514,4.09999996423721,5.15000009536743,5,5.50000011920929,3.92499995231628,4.66666666666667,4.10000014305115,3.19999992847443,4,4.7250000834465,6.94999992847443,6.44999992847443
"9","53009981000",5.86666663487752,5.63333320617676,5.26666673024495,6,4.59999990463257,5.90000009536743,5.30000019073486,3.90000009536743,5.0666667620341,4.69999996821086,5.93333339691162,4.60000006357829,3.3500000834465,3.69999996821086,5.33333333333333,4.13333320617676,4.29999995231628,5.56666644414266,5.70000012715658
"10","53009981100",4.98181811246005,4.89090910824862,5.2357142993382,4.64999993642171,5.17499999205271,6.2111111746894,5.29166666666667,5.54166662693024,6.15454552390359,4.37857135704586,4.79166666666667,5.77142856802259,3.98181815580888,4.69999996821086,5.84999998978206,4.30714280264718,4.11428567341396,7.65833326180776,3.99230768130376
