City,Metro,Date,All Beds,1 Beds,2 Beds
San Francisco,Bay Area,1/1/2018,"3,670","3,405","4,492"
San Francisco,Bay Area,2/1/2018,"3,600","3,341","4,423"
San Francisco,Bay Area,3/1/2018,"3,558","3,281","4,431"
San Francisco,Bay Area,4/1/2018,"3,552","3,262","4,453"
San Francisco,Bay Area,5/1/2018,"3,621","3,295","4,484"
San Francisco,Bay Area,6/1/2018,"3,697","3,334","4,509"
San Francisco,Bay Area,7/1/2018,"3,738","3,340","4,602"
San Francisco,Bay Area,8/1/2018,"3,754","3,363","4,567"
San Francisco,Bay Area,9/1/2018,"3,735","3,334","4,552"
San Francisco,Bay Area,10/1/2018,"3,694","3,303","4,481"
San Francisco,Bay Area,11/1/2018,"3,677","3,294","4,460"
San Francisco,Bay Area,12/1/2018,"3,693","3,304","4,494"
San Francisco,Bay Area,1/1/2019,"3,772","3,412","4,553"
San Francisco,Bay Area,2/1/2019,"3,787","3,402","4,494"
San Francisco,Bay Area,3/1/2019,"3,811","3,448","4,542"
San Francisco,Bay Area,4/1/2019,"3,933","3,600","4,690"
San Francisco,Bay Area,10/1/2019,"3,870","3,601","4,713"
San Francisco,Bay Area,11/1/2019,"3,780","3,513","4,597"
San Francisco,Bay Area,12/1/2019,"3,807","3,468","4,610"
San Francisco,Bay Area,1/1/2020,"3,783","3,438","4,520"
San Francisco,Bay Area,3/1/2020,"3,758","3,446","4,498"
San Francisco,Bay Area,4/1/2020,"3,767","3,411","4,483"
San Francisco,Bay Area,5/1/2020,"3,788","3,422","4,514"
Oakland,Bay Area,1/1/2011,"1,695","1,264","1,904"
Oakland,Bay Area,2/1/2011,"1,798","1,311","2,019"
Oakland,Bay Area,3/1/2011,"1,685","1,364","1,915"
Oakland,Bay Area,4/1/2011,"1,725","1,371","1,928"
Oakland,Bay Area,5/1/2011,"1,681","1,316","1,940"
Oakland,Bay Area,6/1/2011,"1,712","1,308","1,951"
Oakland,Bay Area,7/1/2011,"1,653","1,284","1,784"
Oakland,Bay Area,8/1/2011,"1,391","1,144","1,494"
Oakland,Bay Area,9/1/2011,"1,475","1,216","1,576"
Oakland,Bay Area,10/1/2011,"1,555","1,292","1,655"
Oakland,Bay Area,11/1/2011,"1,590","1,290","1,632"
Oakland,Bay Area,12/1/2011,"1,528","1,249","1,590"
Oakland,Bay Area,1/1/2012,"1,589","1,322","1,660"
Oakland,Bay Area,2/1/2012,"1,658","1,317","1,726"
Oakland,Bay Area,3/1/2012,"1,668","1,205","1,649"
Oakland,Bay Area,4/1/2012,"1,779","1,384","1,728"
Oakland,Bay Area,5/1/2012,"1,855","1,481","1,850"
Oakland,Bay Area,6/1/2012,"1,842","1,487","1,876"
Oakland,Bay Area,7/1/2012,"1,965","1,723","2,003"
Oakland,Bay Area,8/1/2012,"1,956","1,717","2,078"
Oakland,Bay Area,9/1/2012,"1,991","1,746","2,154"
Oakland,Bay Area,10/1/2012,"1,969","1,704","2,028"
Oakland,Bay Area,11/1/2012,"1,977","1,829","1,937"
Oakland,Bay Area,12/1/2012,"2,009","1,831","2,044"
Oakland,Bay Area,1/1/2013,"1,872","1,652","1,807"
Oakland,Bay Area,2/1/2013,"1,857","1,579","1,910"
Oakland,Bay Area,3/1/2013,"1,837","1,528","1,928"
Oakland,Bay Area,4/1/2013,"1,923","1,639","2,080"
Oakland,Bay Area,5/1/2013,"2,099","1,808","2,293"
Oakland,Bay Area,6/1/2013,"2,148","1,866","2,370"
Oakland,Bay Area,7/1/2013,"2,091","1,806","2,252"
Oakland,Bay Area,8/1/2013,"2,072","1,820","2,225"
Oakland,Bay Area,9/1/2013,"2,209","1,982","2,385"
Oakland,Bay Area,10/1/2013,"2,050","1,902","2,172"
Oakland,Bay Area,11/1/2013,"1,967","1,745","1,965"
Oakland,Bay Area,12/1/2013,"2,040","1,821","2,183"
Oakland,Bay Area,1/1/2014,"2,155","1,939","2,371"
Oakland,Bay Area,2/1/2014,"2,127","1,868","2,354"
Oakland,Bay Area,3/1/2014,"2,225","1,927","2,411"
Oakland,Bay Area,4/1/2014,"2,428","2,019","2,698"
Oakland,Bay Area,5/1/2014,"2,261","1,939","2,588"
Oakland,Bay Area,6/1/2014,"2,214","1,888","2,539"
Oakland,Bay Area,7/1/2014,"2,271","1,902","2,540"
Oakland,Bay Area,8/1/2014,"2,158","1,861","2,412"
Oakland,Bay Area,9/1/2014,"2,099","1,853","2,354"
Oakland,Bay Area,10/1/2014,"2,107","1,913","2,372"
Oakland,Bay Area,11/1/2014,"2,108","1,865","2,418"
Oakland,Bay Area,12/1/2014,"2,216","1,983","2,523"
Oakland,Bay Area,1/1/2015,"2,234","1,993","2,548"
Oakland,Bay Area,2/1/2015,"2,311","2,085","2,663"
Oakland,Bay Area,3/1/2015,"2,521","2,268","2,804"
Oakland,Bay Area,4/1/2015,"2,650","2,307","2,940"
Oakland,Bay Area,5/1/2015,"2,577","2,236","2,840"
Oakland,Bay Area,6/1/2015,"2,521","2,133","2,798"
Oakland,Bay Area,7/1/2015,"2,549","2,186","2,855"
Oakland,Bay Area,8/1/2015,"2,495","2,203","2,781"
Oakland,Bay Area,9/1/2015,"2,555","2,266","2,751"
Oakland,Bay Area,10/1/2015,"2,586","2,298","2,801"
Oakland,Bay Area,11/1/2015,"2,635","2,352","2,933"
Oakland,Bay Area,12/1/2015,"2,648","2,351","3,042"
Oakland,Bay Area,1/1/2016,"2,634","2,344","2,970"
Oakland,Bay Area,2/1/2016,"2,560","2,286","2,846"
Oakland,Bay Area,3/1/2016,"2,835","2,472","3,194"
Oakland,Bay Area,4/1/2016,"2,933","2,479","3,409"
Oakland,Bay Area,5/1/2016,"2,939","2,472","3,411"
Oakland,Bay Area,6/1/2016,"2,875","2,472","3,252"
