"GEOID","Region","Year","Renters","Eviction_Filings","Evictions","Eviction_Filings_RR","Evictions_RR"
"13135050106","Atlanta",2016,1803,270,82,0.7,0.81
"13135050107","Atlanta",2016,365,34,4,0.43,0.19
"13135050108","Atlanta",2016,306,23,9,0.35,0.52
"13135050109","Atlanta",2016,760,79,19,0.48,0.44
"13135050205","Atlanta",2016,873,213,31,1.13,0.63
"13135050208","Atlanta",2016,1158,276,55,1.11,0.84
"13135050209","Atlanta",2016,1626,260,61,0.74,0.67
"13135050210","Atlanta",2016,1698,254,46,0.7,0.48
"13135050211","Atlanta",2016,1621,589,140,1.69,1.53
"13135050212","Atlanta",2016,303,27,9,0.41,0.53
"13135050213","Atlanta",2016,466,33,9,0.33,0.34
"13135050214","Atlanta",2016,443,29,7,0.3,0.28
"13135050215","Atlanta",2016,980,152,19,0.72,0.34
"13135050216","Atlanta",2016,688,100,24,0.68,0.62
"13135050217","Atlanta",2016,1914,219,28,0.53,0.26
"13135050218","Atlanta",2016,399,51,12,0.59,0.53
"13135050219","Atlanta",2016,528,76,16,0.67,0.54
"13135050220","Atlanta",2016,2248,797,125,1.65,0.99
"13135050304","Atlanta",2016,1703,284,47,0.78,0.49
"13135050306","Atlanta",2016,608,46,22,0.35,0.64
"13135050308","Atlanta",2016,85,4,1,NA,NA
"13135050309","Atlanta",2016,1161,384,50,1.54,0.76
"13135050310","Atlanta",2016,920,224,60,1.13,1.16
"13135050311","Atlanta",2016,363,12,4,0.15,0.2
"13135050313","Atlanta",2016,750,131,29,0.81,0.69
"13135050314","Atlanta",2016,2091,372,89,0.83,0.76
"13135050315","Atlanta",2016,1397,666,137,2.22,1.74
"13135050317","Atlanta",2016,1490,419,94,1.31,1.12
"13135050318","Atlanta",2016,947,333,70,1.63,1.31
"13135050319","Atlanta",2016,1178,183,47,0.72,0.71
"13135050320","Atlanta",2016,1118,286,54,1.19,0.86
"13135050321","Atlanta",2016,45,1,0,NA,NA
"13135050322","Atlanta",2016,88,2,0,NA,NA
"13135050410","Atlanta",2016,873,197,43,1.05,0.87
"13135050415","Atlanta",2016,174,47,9,1.26,0.92
"13135050416","Atlanta",2016,334,221,27,3.08,1.43
"13135050417","Atlanta",2016,1376,542,148,1.83,1.91
"13135050418","Atlanta",2016,1787,703,148,1.83,1.47
"13135050419","Atlanta",2016,1099,222,65,0.94,1.05
"13135050421","Atlanta",2016,1799,413,96,1.07,0.95
"13135050422","Atlanta",2016,1429,343,77,1.12,0.96
"13135050423","Atlanta",2016,1233,262,60,0.99,0.86
"13135050424","Atlanta",2016,1458,144,40,0.46,0.49
"13135050425","Atlanta",2016,225,24,8,0.5,0.63
"13135050426","Atlanta",2016,288,44,6,0.71,0.37
"13135050427","Atlanta",2016,363,26,3,0.33,0.15
"13135050428","Atlanta",2016,189,17,11,0.42,1.03
"13135050429","Atlanta",2016,283,33,11,0.54,0.69
"13135050430","Atlanta",2016,722,138,28,0.89,0.69
"13135050431","Atlanta",2016,1964,707,131,1.67,1.18
"13135050432","Atlanta",2016,381,44,17,0.54,0.79
"13135050433","Atlanta",2016,594,124,31,0.97,0.93
"13135050434","Atlanta",2016,1954,336,120,0.8,1.09
"13135050435","Atlanta",2016,663,117,28,0.82,0.75
"13135050436","Atlanta",2016,1463,331,55,1.05,0.67
"13135050511","Atlanta",2016,1580,343,33,1.01,0.37
"13135050520","Atlanta",2016,1407,267,75,0.88,0.95
"13135050521","Atlanta",2016,1003,111,29,0.51,0.51
"13135050522","Atlanta",2016,882,179,32,0.94,0.64
"13135050523","Atlanta",2016,2135,397,70,0.86,0.58
"13135050524","Atlanta",2016,1145,122,34,0.5,0.53
"13135050525","Atlanta",2016,373,38,6,0.47,0.29
"13135050526","Atlanta",2016,1247,247,35,0.92,0.5
"13135050527","Atlanta",2016,199,22,8,0.51,0.71
"13135050528","Atlanta",2016,204,26,4,0.59,0.35
"13135050529","Atlanta",2016,445,47,18,0.49,0.72
"13135050530","Atlanta",2016,344,27,13,0.36,0.67
"13135050531","Atlanta",2016,674,132,27,0.91,0.71
"13135050532","Atlanta",2016,910,75,22,0.38,0.43
"13135050533","Atlanta",2016,652,79,30,0.56,0.82
"13135050534","Atlanta",2016,1042,245,49,1.09,0.83
"13135050535","Atlanta",2016,495,72,21,0.68,0.75
"13135050536","Atlanta",2016,505,303,49,2.79,1.72
"13135050537","Atlanta",2016,1543,495,79,1.49,0.91
"13135050538","Atlanta",2016,271,40,8,0.69,0.52
"13135050539","Atlanta",2016,987,221,53,1.04,0.95
"13135050540","Atlanta",2016,1828,353,55,0.9,0.53
"13135050541","Atlanta",2016,1978,793,152,1.86,1.36
"13135050542","Atlanta",2016,1925,524,134,1.27,1.23
"13135050543","Atlanta",2016,488,72,17,0.69,0.62
"13135050544","Atlanta",2016,689,138,38,0.93,0.98
"13135050545","Atlanta",2016,1101,259,58,1.09,0.93
"13135050546","Atlanta",2016,941,210,50,1.04,0.94
"13135050547","Atlanta",2016,397,48,17,0.56,0.76
"13135050548","Atlanta",2016,386,89,24,1.07,1.1
"13135050549","Atlanta",2016,289,53,18,0.85,1.1
"13135050605","Atlanta",2016,1029,127,18,0.57,0.31
"13135050606","Atlanta",2016,1780,300,37,0.78,0.37
"13135050607","Atlanta",2016,643,137,29,0.99,0.8
"13135050608","Atlanta",2016,803,143,35,0.83,0.77
"13135050609","Atlanta",2016,585,88,13,0.7,0.39
"13135050610","Atlanta",2016,499,61,8,0.57,0.28
"13135050709","Atlanta",2016,995,494,91,2.31,1.62
"13135050712","Atlanta",2016,365,40,15,0.51,0.73
"13135050713","Atlanta",2016,162,27,8,0.77,0.88
"13135050714","Atlanta",2016,474,168,16,1.65,0.6
"13135050715","Atlanta",2016,275,31,7,0.52,0.45
"13135050718","Atlanta",2016,338,37,11,0.51,0.58
"13135050719","Atlanta",2016,982,247,70,1.17,1.26
"13135050720","Atlanta",2016,439,65,22,0.69,0.89
"13135050721","Atlanta",2016,593,117,27,0.92,0.81
"13135050722","Atlanta",2016,191,50,13,1.22,1.21
"13135050723","Atlanta",2016,433,85,13,0.91,0.53
"13135050724","Atlanta",2016,1592,370,55,1.08,0.61
"13135050725","Atlanta",2016,402,107,20,1.24,0.88
"13135050726","Atlanta",2016,321,72,11,1.04,0.61
"13135050727","Atlanta",2016,377,79,23,0.97,1.08
"13135050728","Atlanta",2016,631,225,48,1.66,1.35
"13135050729","Atlanta",2016,621,256,37,1.92,1.06
"13135050730","Atlanta",2016,372,148,41,1.85,1.96
"13135050731","Atlanta",2016,441,151,35,1.59,1.41
"13151070104","Atlanta",2016,1677,306,64,0.85,0.68
"13151070106","Atlanta",2016,477,136,30,1.33,1.12
"13151070107","Atlanta",2016,320,106,27,1.54,1.5
"13151070108","Atlanta",2016,403,147,47,1.7,2.07
"13151070109","Atlanta",2016,148,45,10,1.41,1.2
"13151070110","Atlanta",2016,311,80,27,1.2,1.54
"13151070111","Atlanta",2016,1440,444,98,1.43,1.21
"13151070113","Atlanta",2016,604,323,62,2.49,1.82
"13151070114","Atlanta",2016,1476,364,70,1.15,0.84
"13151070202","Atlanta",2016,317,78,21,1.14,1.18
"13151070203","Atlanta",2016,565,92,31,0.76,0.97
"13151070204","Atlanta",2016,163,36,12,1.03,1.31
"13151070205","Atlanta",2016,1110,274,45,1.15,0.72
"13151070304","Atlanta",2016,2359,596,96,1.17,0.72
"13151070305","Atlanta",2016,468,174,34,1.73,1.29
"13151070306","Atlanta",2016,1241,265,45,0.99,0.64
"13151070307","Atlanta",2016,235,75,19,1.48,1.43
"13151070309","Atlanta",2016,364,147,34,1.88,1.66
"13151070310","Atlanta",2016,343,114,26,1.55,1.34
"13151070311","Atlanta",2016,2387,1173,189,2.28,1.4
"13151070402","Atlanta",2016,462,101,28,1.02,1.08
"13151070403","Atlanta",2016,525,130,30,1.15,1.01
"13151070404","Atlanta",2016,662,266,43,1.87,1.15
"13151070501","Atlanta",2016,634,216,64,1.58,1.79
"13151070502","Atlanta",2016,899,210,53,1.09,1.05
"13247060101","Atlanta",2016,236,30,17,0.59,1.28
"13247060102","Atlanta",2016,570,87,27,0.71,0.84
"13247060201","Atlanta",2016,442,41,16,0.43,0.64
"13247060202","Atlanta",2016,991,140,45,0.66,0.81
"13247060304","Atlanta",2016,1201,205,89,0.79,1.31
"13247060305","Atlanta",2016,1238,433,124,1.63,1.78
"13247060306","Atlanta",2016,293,72,24,1.14,1.45
"13247060307","Atlanta",2016,1092,320,120,1.36,1.95
"13247060308","Atlanta",2016,1942,498,124,1.19,1.13
"13247060309","Atlanta",2016,1016,246,99,1.13,1.73
"13247060403","Atlanta",2016,128,13,6,0.47,0.83
"13247060404","Atlanta",2016,453,84,39,0.86,1.53
"13247060405","Atlanta",2016,253,44,9,0.81,0.63
"13247060406","Atlanta",2016,276,56,18,0.94,1.16
"13247060407","Atlanta",2016,221,32,13,0.67,1.04
"17031010100","Chicago",2016,1813,95,24,1.46,0.93
"17031010201","Chicago",2016,1651,89,36,1.51,1.53
"17031010202","Chicago",2016,820,25,10,0.85,0.85
"17031010300","Chicago",2016,2089,63,23,0.84,0.77
"17031010400","Chicago",2016,1636,22,7,0.38,0.3
"17031010501","Chicago",2016,1888,61,24,0.9,0.89
"17031010502","Chicago",2016,1350,29,10,0.6,0.52
"17031010503","Chicago",2016,1079,10,3,0.26,0.19
"17031010600","Chicago",2016,2211,61,13,0.77,0.41
"17031010701","Chicago",2016,862,22,13,0.71,1.06
"17031010702","Chicago",2016,1435,32,14,0.62,0.68
"17031020100","Chicago",2016,883,41,17,1.3,1.35
"17031020200","Chicago",2016,525,19,11,1.01,1.47
"17031020301","Chicago",2016,474,7,6,0.41,0.89
"17031020302","Chicago",2016,760,14,5,0.51,0.46
"17031020400","Chicago",2016,913,19,8,0.58,0.61
"17031020500","Chicago",2016,1496,42,12,0.78,0.56
"17031020601","Chicago",2016,1175,37,10,0.88,0.6
"17031020602","Chicago",2016,792,14,4,0.49,0.35
"17031020701","Chicago",2016,264,11,3,1.16,0.8
"17031020702","Chicago",2016,1407,41,14,0.81,0.7
"17031020801","Chicago",2016,1216,14,10,0.32,0.58
"17031020802","Chicago",2016,1489,37,8,0.69,0.38
"17031020901","Chicago",2016,1241,58,10,1.31,0.56
"17031020902","Chicago",2016,694,20,5,0.81,0.5
"17031030101","Chicago",2016,1491,59,21,1.11,0.99
"17031030102","Chicago",2016,1097,48,11,1.22,0.7
"17031030103","Chicago",2016,870,21,5,0.67,0.4
"17031030104","Chicago",2016,815,11,7,0.38,0.6
"17031030200","Chicago",2016,1390,14,4,0.28,0.2
"17031030300","Chicago",2016,1048,17,4,0.45,0.27
"17031030400","Chicago",2016,769,16,7,0.58,0.64
"17031030500","Chicago",2016,1901,13,5,0.19,0.18
"17031030601","Chicago",2016,1394,45,9,0.9,0.45
"17031030603","Chicago",2016,1107,21,6,0.53,0.38
"17031030604","Chicago",2016,1615,59,8,1.02,0.35
"17031030701","Chicago",2016,806,23,5,0.8,0.43
"17031030702","Chicago",2016,456,9,5,0.55,0.77
"17031030703","Chicago",2016,1410,28,8,0.55,0.4
"17031030706","Chicago",2016,1622,43,10,0.74,0.43
"17031030800","Chicago",2016,1280,5,3,0.11,0.16
"17031030900","Chicago",2016,851,2,0,0.07,0
"17031031000","Chicago",2016,1248,5,2,0.11,0.11
"17031031100","Chicago",2016,1790,17,5,0.27,0.2
"17031031200","Chicago",2016,2264,66,21,0.81,0.65
