GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031281900,1.0,97.0,190.0,37.0,0.0,11.0,153.0,1.0,65.0,388.0,0.0,1.0,0.0,3.0,0.0,1.0,4.0,65.0,130.0,0.0,1.0,0.0,0.0,6.0,0.0,85.0,0.0,0.0,20.0,77.0,2.0,1.0,1661.0,3.0,3003
17031282700,0.0,109.0,287.0,110.0,0.0,8.0,221.0,0.0,32.0,77.0,1.0,5.0,0.0,4.0,3.0,0.0,1.0,140.0,43.0,0.0,0.0,0.0,1.0,18.0,0.0,79.0,0.0,0.0,2.0,113.0,5.0,1.0,270.0,13.0,1543
17031282800,0.0,41.0,86.0,40.0,0.0,4.0,71.0,0.0,4.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,18.0,0.0,1.0,0.0,0.0,5.0,0.0,38.0,1.0,0.0,2.0,35.0,0.0,1.0,134.0,6.0,560
17031283100,0.0,52.0,122.0,50.0,0.0,8.0,90.0,0.0,10.0,82.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,15.0,6.0,0.0,0.0,0.0,1.0,9.0,0.0,45.0,0.0,0.0,5.0,30.0,1.0,1.0,196.0,2.0,728
17031283200,1.0,52.0,125.0,58.0,0.0,7.0,86.0,0.0,16.0,53.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,21.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,32.0,0.0,0.0,3.0,39.0,2.0,0.0,290.0,3.0,797
17031283800,0.0,90.0,219.0,53.0,1.0,6.0,118.0,1.0,25.0,62.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,26.0,15.0,0.0,1.0,0.0,1.0,11.0,0.0,113.0,4.0,0.0,3.0,24.0,3.0,0.0,269.0,6.0,1058
17031290900,10.0,328.0,1034.0,222.0,3.0,15.0,492.0,0.0,55.0,122.0,14.0,22.0,0.0,31.0,2.0,2.0,0.0,153.0,614.0,0.0,0.0,0.0,1.0,42.0,0.0,272.0,7.0,0.0,36.0,189.0,13.0,0.0,394.0,132.0,4205
17031291200,2.0,188.0,681.0,117.0,0.0,15.0,309.0,0.0,54.0,49.0,5.0,9.0,0.0,21.0,0.0,1.0,0.0,80.0,442.0,0.0,0.0,0.0,0.0,23.0,0.0,188.0,1.0,0.0,29.0,97.0,13.0,1.0,217.0,78.0,2620
17031291600,1.0,35.0,87.0,21.0,0.0,1.0,50.0,0.0,11.0,13.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,33.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,1.0,19.0,0.0,1.0,72.0,9.0,391
17031292200,3.0,168.0,660.0,111.0,0.0,10.0,291.0,0.0,36.0,86.0,13.0,9.0,0.0,17.0,0.0,0.0,1.0,110.0,409.0,0.0,0.0,0.0,0.0,22.0,0.0,187.0,0.0,0.0,16.0,108.0,6.0,0.0,285.0,51.0,2599
17031292400,6.0,164.0,522.0,76.0,0.0,15.0,231.0,0.0,29.0,78.0,3.0,5.0,0.0,7.0,1.0,0.0,0.0,88.0,204.0,0.0,0.0,0.0,0.0,14.0,0.0,107.0,1.0,0.0,14.0,155.0,3.0,1.0,249.0,68.0,2041
17031292500,8.0,218.0,644.0,109.0,1.0,19.0,374.0,0.0,45.0,126.0,6.0,9.0,0.0,12.0,0.0,3.0,0.0,134.0,330.0,0.0,0.0,0.0,0.0,23.0,0.0,178.0,2.0,0.0,10.0,184.0,9.0,1.0,423.0,88.0,2956
17031300500,3.0,56.0,177.0,42.0,0.0,5.0,97.0,0.0,7.0,40.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,65.0,52.0,0.0,0.0,0.0,1.0,5.0,0.0,46.0,0.0,0.0,6.0,58.0,5.0,0.0,106.0,18.0,796
17031300600,3.0,91.0,267.0,43.0,1.0,7.0,172.0,0.0,19.0,38.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,72.0,60.0,0.0,0.0,0.0,1.0,15.0,0.0,78.0,0.0,0.0,16.0,57.0,11.0,1.0,156.0,15.0,1131
17031300700,6.0,144.0,409.0,50.0,0.0,8.0,194.0,1.0,16.0,50.0,0.0,2.0,0.0,9.0,2.0,1.0,8.0,71.0,160.0,0.0,0.0,0.0,0.0,25.0,0.0,141.0,0.0,0.0,37.0,65.0,15.0,0.0,169.0,66.0,1649
17031300800,6.0,140.0,391.0,39.0,0.0,10.0,164.0,1.0,22.0,62.0,0.0,3.0,0.0,11.0,1.0,1.0,25.0,62.0,145.0,0.0,0.0,0.0,1.0,17.0,0.0,112.0,1.0,0.0,53.0,45.0,11.0,2.0,203.0,54.0,1582
17031300900,4.0,149.0,414.0,54.0,1.0,14.0,220.0,0.0,27.0,51.0,0.0,4.0,0.0,6.0,2.0,0.0,11.0,75.0,147.0,0.0,1.0,0.0,1.0,26.0,0.0,148.0,1.0,0.0,40.0,72.0,9.0,0.0,312.0,47.0,1836
17031301100,3.0,63.0,204.0,27.0,0.0,5.0,122.0,1.0,14.0,18.0,0.0,2.0,0.0,5.0,2.0,0.0,6.0,33.0,45.0,0.0,0.0,0.0,0.0,21.0,0.0,51.0,0.0,0.0,23.0,26.0,7.0,0.0,142.0,38.0,858
17031301200,6.0,100.0,306.0,42.0,1.0,7.0,190.0,0.0,20.0,41.0,1.0,8.0,0.0,6.0,0.0,0.0,4.0,64.0,59.0,0.0,0.0,0.0,1.0,14.0,0.0,100.0,2.0,0.0,29.0,37.0,4.0,1.0,304.0,48.0,1395
17031301600,3.0,87.0,287.0,55.0,0.0,4.0,126.0,0.0,9.0,44.0,0.0,2.0,0.0,2.0,1.0,0.0,6.0,62.0,79.0,0.0,0.0,0.0,0.0,22.0,0.0,86.0,0.0,0.0,15.0,56.0,5.0,0.0,130.0,45.0,1126
17031301701,2.0,81.0,198.0,52.0,0.0,6.0,129.0,0.0,15.0,46.0,0.0,4.0,0.0,4.0,0.0,2.0,3.0,56.0,33.0,0.0,0.0,0.0,2.0,14.0,0.0,56.0,0.0,0.0,14.0,88.0,6.0,2.0,205.0,16.0,1034
17031301702,2.0,68.0,179.0,56.0,0.0,5.0,131.0,0.0,11.0,26.0,0.0,2.0,0.0,5.0,0.0,2.0,4.0,45.0,38.0,0.0,1.0,0.0,0.0,11.0,0.0,56.0,0.0,0.0,11.0,45.0,6.0,0.0,105.0,21.0,830
17031301801,9.0,68.0,187.0,57.0,0.0,4.0,133.0,0.0,22.0,47.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,91.0,50.0,0.0,0.0,0.0,0.0,11.0,0.0,65.0,0.0,0.0,8.0,40.0,8.0,2.0,142.0,13.0,964
17031301802,4.0,143.0,323.0,59.0,0.0,9.0,205.0,0.0,35.0,56.0,0.0,4.0,0.0,3.0,2.0,3.0,9.0,73.0,100.0,0.0,0.0,0.0,0.0,13.0,0.0,100.0,1.0,0.0,40.0,103.0,9.0,1.0,508.0,22.0,1825
17031301803,2.0,84.0,253.0,79.0,1.0,6.0,154.0,0.0,14.0,30.0,0.0,9.0,0.0,0.0,0.0,2.0,5.0,74.0,72.0,0.0,1.0,0.0,0.0,25.0,0.0,69.0,0.0,0.0,14.0,47.0,7.0,2.0,111.0,30.0,1091
17031310200,3.0,44.0,96.0,63.0,0.0,2.0,71.0,1.0,8.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,46.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,39.0,0.0,0.0,4.0,21.0,3.0,0.0,121.0,5.0,567
