CENSUS TRACT,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
Census Tract 64,0.0,48.0,7.0,0.0,121.0,1.0,0.0,97.0,20.0,5.0,1.0,0.0,0.0,47.0,0.0,0.0,0.0,227.0,2.0,58.0,0.0,0.0,1.0,12.0,0.0,0.0,3.0,14.0,1.0,665
Census Tract 65,1.0,89.0,13.0,0.0,221.0,6.0,0.0,154.0,29.0,24.0,3.0,0.0,0.0,96.0,0.0,0.0,0.0,532.0,1.0,127.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,23.0,7.0,1350
Census Tract 66,3.0,194.0,16.0,0.0,272.0,5.0,0.0,167.0,30.0,23.0,6.0,2.0,0.0,105.0,0.0,0.0,0.0,1034.0,5.0,234.0,0.0,1.0,3.0,23.0,0.0,0.0,8.0,29.0,5.0,2165
Census Tract 67,1.0,234.0,26.0,0.0,435.0,10.0,1.0,266.0,112.0,18.0,6.0,1.0,0.0,142.0,0.0,0.0,0.0,1750.0,3.0,307.0,0.0,0.0,11.0,28.0,0.0,0.0,3.0,19.0,14.0,3387
Census Tract 68,7.0,91.0,17.0,0.0,146.0,4.0,0.0,123.0,14.0,12.0,3.0,0.0,0.0,62.0,0.0,0.0,0.0,544.0,7.0,81.0,0.0,0.0,0.0,28.0,0.0,0.0,4.0,16.0,3.0,1162
Census Tract 69,1.0,111.0,14.0,0.0,122.0,2.0,0.0,100.0,12.0,5.0,1.0,0.0,0.0,57.0,0.0,0.0,0.0,358.0,2.0,83.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,1.0,881
Census Tract 7,1.0,277.0,23.0,0.0,240.0,28.0,0.0,208.0,45.0,54.0,6.0,1.0,0.0,95.0,0.0,0.0,0.0,691.0,10.0,119.0,0.0,0.0,0.0,36.0,0.0,0.0,9.0,32.0,19.0,1894
Census Tract 70,14.0,304.0,10.0,0.0,295.0,27.0,0.0,239.0,28.0,30.0,2.0,1.0,0.0,154.0,0.0,0.0,0.0,1216.0,14.0,171.0,0.0,0.0,0.0,32.0,0.0,0.0,6.0,37.0,13.0,2593
Census Tract 71,3.0,367.0,20.0,0.0,284.0,18.0,1.0,265.0,111.0,44.0,11.0,1.0,0.0,122.0,0.0,0.0,0.0,1324.0,10.0,146.0,0.0,0.0,9.0,53.0,0.0,0.0,4.0,75.0,19.0,2887
Census Tract 72,6.0,1219.0,44.0,0.0,476.0,28.0,27.0,649.0,262.0,510.0,20.0,3.0,0.0,314.0,0.0,0.0,0.0,4010.0,27.0,253.0,0.0,0.0,405.0,260.0,0.0,0.0,28.0,175.0,76.0,8792
Census Tract 73,4.0,1056.0,57.0,0.0,385.0,39.0,6.0,465.0,116.0,146.0,17.0,0.0,0.0,250.0,0.0,0.0,0.0,2270.0,38.0,201.0,0.0,1.0,13.0,148.0,0.0,0.0,26.0,147.0,36.0,5421
Census Tract 74.01,3.0,131.0,10.0,0.0,200.0,1.0,0.0,162.0,11.0,49.0,1.0,0.0,0.0,112.0,0.0,0.0,0.0,345.0,3.0,157.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,26.0,8.0,1255
Census Tract 74.02,3.0,417.0,31.0,0.0,301.0,6.0,0.0,299.0,34.0,108.0,1.0,1.0,0.0,150.0,0.0,0.0,0.0,593.0,8.0,151.0,0.0,0.0,0.0,41.0,0.0,0.0,11.0,46.0,31.0,2232
Census Tract 75,14.0,1214.0,88.0,2.0,511.0,73.0,3.0,664.0,165.0,505.0,18.0,0.0,0.0,480.0,0.0,0.0,0.0,4139.0,66.0,319.0,0.0,2.0,4.0,258.0,0.0,0.0,63.0,268.0,130.0,8986
Census Tract 76,2.0,165.0,13.0,0.0,173.0,5.0,1.0,131.0,18.0,17.0,2.0,0.0,0.0,90.0,0.0,0.0,0.0,661.0,5.0,120.0,0.0,0.0,0.0,52.0,0.0,0.0,4.0,19.0,4.0,1482
Census Tract 77,4.0,237.0,9.0,0.0,319.0,5.0,1.0,204.0,35.0,57.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,389.0,1.0,68.0,0.0,0.0,1.0,56.0,0.0,0.0,1.0,15.0,12.0,1524
Census Tract 78,4.0,141.0,19.0,0.0,312.0,2.0,0.0,159.0,16.0,14.0,2.0,0.0,0.0,96.0,0.0,0.0,0.0,574.0,4.0,79.0,0.0,0.0,0.0,14.0,0.0,0.0,6.0,13.0,7.0,1462
Census Tract 79,3.0,308.0,20.0,0.0,233.0,11.0,1.0,243.0,30.0,59.0,4.0,3.0,0.0,143.0,0.0,0.0,0.0,590.0,5.0,118.0,0.0,3.0,0.0,54.0,0.0,0.0,7.0,36.0,18.0,1889
Census Tract 8,1.0,89.0,7.0,0.0,155.0,7.0,0.0,91.0,10.0,7.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,319.0,1.0,22.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,3.0,4.0,775
Census Tract 80.01,5.0,893.0,23.0,0.0,301.0,19.0,26.0,369.0,137.0,308.0,8.0,0.0,0.0,207.0,0.0,0.0,0.0,1478.0,26.0,127.0,0.0,0.0,19.0,130.0,0.0,0.0,10.0,59.0,40.0,4185
Census Tract 80.02,0.0,603.0,21.0,0.0,144.0,2.0,19.0,297.0,92.0,402.0,8.0,1.0,0.0,121.0,0.0,0.0,0.0,2329.0,12.0,99.0,0.0,0.0,2.0,103.0,0.0,0.0,18.0,78.0,52.0,4403
Census Tract 81,8.0,2894.0,204.0,0.0,501.0,84.0,175.0,853.0,218.0,2155.0,54.0,3.0,0.0,600.0,2.0,0.0,0.0,9431.0,115.0,299.0,0.0,2.0,9.0,737.0,0.0,0.0,76.0,662.0,240.0,19322
Census Tract 82,5.0,713.0,42.0,0.0,303.0,32.0,5.0,319.0,48.0,267.0,43.0,1.0,0.0,297.0,0.0,0.0,0.0,4147.0,21.0,118.0,0.0,1.0,13.0,186.0,0.0,0.0,26.0,185.0,48.0,6820
Census Tract 83,1.0,231.0,14.0,0.0,130.0,11.0,5.0,153.0,31.0,95.0,6.0,0.0,0.0,76.0,0.0,0.0,0.0,838.0,9.0,65.0,0.0,0.0,0.0,52.0,0.0,0.0,5.0,42.0,15.0,1779
Census Tract 84,4.0,642.0,304.0,0.0,347.0,92.0,1.0,376.0,66.0,235.0,3.0,2.0,0.0,154.0,0.0,0.0,0.0,1493.0,24.0,216.0,0.0,1.0,1.0,125.0,0.0,0.0,41.0,103.0,50.0,4280
Census Tract 85,2.0,637.0,53.0,0.0,119.0,21.0,2.0,268.0,40.0,175.0,7.0,0.0,0.0,154.0,0.0,0.0,0.0,1272.0,6.0,127.0,0.0,10.0,17.0,57.0,0.0,0.0,14.0,134.0,24.0,3139
Census Tract 86,2.0,662.0,20.0,0.0,256.0,9.0,5.0,415.0,70.0,161.0,8.0,1.0,0.0,124.0,0.0,0.0,0.0,1196.0,16.0,131.0,0.0,0.0,2.0,105.0,0.0,0.0,13.0,98.0,44.0,3338
Census Tract 87,1.0,446.0,13.0,0.0,307.0,12.0,1.0,287.0,29.0,75.0,1.0,1.0,0.0,78.0,0.0,0.0,0.0,635.0,9.0,126.0,0.0,2.0,6.0,89.0,0.0,0.0,7.0,34.0,35.0,2194
Census Tract 88,5.0,494.0,11.0,0.0,245.0,12.0,10.0,318.0,36.0,188.0,3.0,2.0,0.0,85.0,0.0,0.0,0.0,669.0,17.0,68.0,0.0,0.0,10.0,131.0,0.0,0.0,17.0,83.0,41.0,2445
Census Tract 89,9.0,533.0,32.0,0.0,331.0,10.0,7.0,320.0,27.0,139.0,4.0,1.0,0.0,134.0,1.0,0.0,0.0,688.0,9.0,110.0,0.0,1.0,6.0,91.0,0.0,0.0,9.0,39.0,34.0,2535
Census Tract 9,0.0,29.0,7.0,0.0,98.0,0.0,0.0,26.0,4.0,2.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,152.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,383
Census Tract 90,4.0,292.0,17.0,0.0,217.0,11.0,3.0,199.0,32.0,167.0,3.0,0.0,0.0,72.0,0.0,0.0,0.0,1733.0,5.0,96.0,0.0,1.0,8.0,88.0,0.0,0.0,9.0,43.0,25.0,3025
Census Tract 91,1.0,382.0,22.0,0.0,196.0,9.0,17.0,293.0,39.0,615.0,7.0,3.0,0.0,106.0,0.0,0.0,0.0,1534.0,28.0,121.0,0.0,0.0,144.0,160.0,0.0,0.0,20.0,158.0,53.0,3908
Census Tract 92,4.0,937.0,26.0,0.0,181.0,21.0,38.0,313.0,108.0,518.0,6.0,1.0,0.0,137.0,0.0,0.0,0.0,1281.0,84.0,127.0,0.0,0.0,13.0,161.0,0.0,0.0,12.0,201.0,61.0,4230
Census Tract 93,4.0,1068.0,72.0,0.0,486.0,46.0,38.0,699.0,296.0,251.0,66.0,1.0,0.0,271.0,0.0,0.0,0.0,3485.0,41.0,394.0,0.0,2.0,29.0,154.0,0.0,0.0,21.0,204.0,91.0,7719
Census Tract 94,6.0,514.0,28.0,0.0,374.0,15.0,2.0,373.0,63.0,130.0,2.0,1.0,0.0,112.0,0.0,0.0,0.0,1086.0,16.0,253.0,0.0,0.0,58.0,98.0,0.0,0.0,13.0,59.0,28.0,3231
Census Tract 95,8.0,578.0,41.0,0.0,427.0,30.0,1.0,320.0,60.0,109.0,8.0,1.0,0.0,152.0,0.0,0.0,0.0,1514.0,25.0,183.0,0.0,0.0,5.0,138.0,0.0,0.0,28.0,94.0,45.0,3767
Census Tract 96,1.0,199.0,15.0,0.0,213.0,6.0,0.0,175.0,46.0,14.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,590.0,6.0,88.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,9.0,8.0,1477
Census Tract 97.01,3.0,180.0,12.0,0.0,137.0,6.0,0.0,172.0,28.0,12.0,2.0,0.0,0.0,85.0,0.0,0.0,0.0,466.0,10.0,125.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,9.0,14.0,1275
Census Tract 97.02,1.0,108.0,6.0,0.0,160.0,1.0,0.0,82.0,17.0,3.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,327.0,2.0,84.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,5.0,2.0,871
Census Tract 98,8.0,230.0,28.0,0.0,293.0,11.0,0.0,226.0,59.0,34.0,6.0,1.0,0.0,90.0,0.0,0.0,0.0,772.0,9.0,136.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,19.0,16.0,1976
Census Tract 99,5.0,385.0,21.0,0.0,396.0,6.0,0.0,248.0,107.0,51.0,9.0,0.0,0.0,98.0,0.0,0.0,0.0,789.0,5.0,151.0,0.0,0.0,3.0,35.0,0.0,0.0,12.0,33.0,14.0,2368
