CENSUS TRACT,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
Census Tract 210,0.0,5.0,1.0,0.0,10.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,57
Census Tract 211,1.0,21.0,0.0,0.0,10.0,4.0,0.0,9.0,4.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,122.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,196
Census Tract 213,0.0,25.0,1.0,0.0,2.0,2.0,0.0,14.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,54.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,118
Census Tract 22,0.0,65.0,11.0,0.0,174.0,3.0,0.0,76.0,14.0,5.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,280.0,1.0,36.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,1.0,748
Census Tract 24,2.0,55.0,6.0,0.0,115.0,1.0,0.0,51.0,5.0,9.0,1.0,1.0,0.0,48.0,0.0,0.0,0.0,166.0,2.0,32.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,1.0,508
Census Tract 25,3.0,45.0,6.0,0.0,158.0,1.0,0.0,76.0,7.0,8.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,274.0,1.0,58.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,689
Census Tract 253.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Census Tract 26,3.0,167.0,17.0,0.0,263.0,9.0,0.0,179.0,29.0,44.0,2.0,0.0,0.0,97.0,0.0,0.0,0.0,739.0,2.0,168.0,0.0,0.0,0.0,38.0,0.0,0.0,3.0,21.0,8.0,1789
Census Tract 260.01,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7
Census Tract 261,0.0,6.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27
Census Tract 262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Census Tract 263,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
