GEOID,BAD CHECKS,BRIBERY,DRIVING UNDER THE INFLUENCE,DRUNKENNESS,EXTORTION,KIDNAPPING,LOITERING,PORNOGRAPHY/OBSCENE MAT,RUNAWAY,SECONDARY CODES,TREA,TRESPASS,CIVIL SIDEWALKS,DRUG OFFENSE,FIRE REPORT,HOMICIDE,HUMAN TRAFFICKING,JUVENILE OFFENSES,LOST PROPERTY,MALICIOUS MISCHIEF,MOTOR VEHICLE THEFT,OFFENCES AGAINST THE FAMILY AND CHILDREN,TRAFFIC COLLISION,TRAFFIC VIOLATION ARREST,VEHICLE IMPOUNDED,VEHICLE MISPLACED,WEAPONS OFFENSE,ARSON,ASSAULT,BURGLARY,DISORDERLY CONDUCT,DRUG/NARCOTIC,EMBEZZLEMENT,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,LARCENY/THEFT,LIQUOR LAWS,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
06075060400,0.0,0.0,33.0,6.0,1.0,7.0,0.0,0.0,0.0,37.0,1.0,32.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,37.0,1.0,17.0,1.0,9.0,0.0,0.0,0.0,12.0,265.0,120.0,17.0,29.0,2.0,5.0,26.0,157.0,0.0,1818.0,1.0,59.0,489.0,419.0,5.0,39.0,31.0,36.0,17.0,1.0,176.0,201.0,354.0,57.0,39.0,4575
06075060502,0.0,18.0,16.0,27.0,4.0,78.0,3.0,0.0,19.0,507.0,0.0,103.0,0.0,2.0,4.0,0.0,0.0,0.0,13.0,193.0,0.0,112.0,0.0,22.0,1.0,0.0,0.0,71.0,2857.0,778.0,60.0,447.0,9.0,32.0,58.0,95.0,3.0,719.0,5.0,474.0,910.0,2279.0,5.0,206.0,495.0,111.0,56.0,15.0,598.0,1291.0,613.0,779.0,558.0,14661
06075060700,12.0,7.0,49.0,164.0,10.0,40.0,7.0,0.0,5.0,197.0,0.0,340.0,0.0,3.0,8.0,1.0,1.0,0.0,255.0,323.0,0.0,139.0,10.0,64.0,1.0,2.0,2.0,57.0,1745.0,1327.0,207.0,412.0,52.0,18.0,224.0,796.0,0.0,7688.0,97.0,589.0,2912.0,3154.0,32.0,172.0,321.0,93.0,157.0,9.0,999.0,1282.0,1182.0,831.0,164.0,26315
06075061000,1.0,2.0,10.0,93.0,2.0,25.0,0.0,2.0,12.0,119.0,0.0,45.0,0.0,1.0,2.0,0.0,0.0,0.0,25.0,102.0,0.0,45.0,4.0,11.0,4.0,0.0,0.0,55.0,810.0,296.0,74.0,121.0,6.0,18.0,93.0,123.0,0.0,1093.0,5.0,224.0,655.0,1009.0,2.0,208.0,165.0,49.0,34.0,2.0,360.0,401.0,668.0,182.0,103.0,7270
06075061100,11.0,3.0,25.0,50.0,29.0,32.0,7.0,0.0,4.0,151.0,0.0,156.0,0.0,0.0,1.0,0.0,0.0,0.0,121.0,208.0,0.0,62.0,2.0,31.0,0.0,1.0,0.0,38.0,1516.0,1129.0,77.0,234.0,25.0,9.0,197.0,400.0,24.0,4227.0,13.0,292.0,1881.0,1642.0,31.0,54.0,470.0,66.0,84.0,12.0,630.0,987.0,544.0,458.0,122.0,16075
06075061200,8.0,12.0,68.0,118.0,8.0,87.0,34.0,1.0,173.0,412.0,0.0,94.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,141.0,0.0,56.0,7.0,17.0,8.0,1.0,0.0,69.0,3213.0,593.0,109.0,3054.0,23.0,17.0,252.0,262.0,32.0,1858.0,131.0,3849.0,1690.0,6215.0,9.0,190.0,843.0,125.0,94.0,7.0,1107.0,904.0,1110.0,2238.0,712.0,29991
06075061400,2.0,14.0,23.0,27.0,6.0,69.0,2.0,0.0,24.0,426.0,1.0,252.0,0.0,3.0,11.0,2.0,0.0,0.0,29.0,198.0,0.0,94.0,4.0,3.0,3.0,0.0,0.0,86.0,2445.0,1506.0,77.0,680.0,10.0,31.0,91.0,216.0,1.0,3146.0,12.0,455.0,1192.0,2521.0,8.0,256.0,561.0,98.0,105.0,5.0,855.0,1481.0,1529.0,993.0,443.0,20011
06075061500,27.0,8.0,120.0,299.0,18.0,81.0,118.0,0.0,8.0,380.0,1.0,824.0,3.0,0.0,10.0,2.0,33.0,0.0,665.0,751.0,0.0,129.0,18.0,153.0,7.0,1.0,0.0,103.0,5084.0,3856.0,332.0,741.0,183.0,21.0,705.0,2183.0,2.0,28084.0,36.0,816.0,7975.0,7807.0,499.0,323.0,1611.0,288.0,347.0,34.0,2216.0,3063.0,2720.0,1815.0,380.0,74950
06075980200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,26.0,14.0,0.0,2.0,0.0,1.0,4.0,16.0,0.0,463.0,0.0,56.0,67.0,33.0,0.0,5.0,1.0,0.0,4.0,0.0,21.0,10.0,34.0,21.0,2.0,834
06075980300,0.0,2.0,151.0,73.0,2.0,19.0,11.0,1.0,6.0,71.0,0.0,46.0,9.0,0.0,8.0,0.0,0.0,0.0,80.0,230.0,2.0,43.0,16.0,58.0,11.0,2.0,0.0,57.0,1113.0,289.0,88.0,2100.0,3.0,9.0,49.0,250.0,0.0,8729.0,48.0,483.0,3099.0,3738.0,2.0,161.0,376.0,89.0,118.0,9.0,661.0,922.0,1230.0,1423.0,183.0,26113
06075980501,0.0,2.0,9.0,1.0,5.0,17.0,5.0,0.0,9.0,68.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,54.0,548.0,83.0,12.0,76.0,1.0,10.0,12.0,29.0,0.0,547.0,2.0,114.0,306.0,860.0,1.0,82.0,149.0,53.0,16.0,1.0,203.0,179.0,249.0,50.0,135.0,3961
06075980600,0.0,0.0,2.0,1.0,1.0,9.0,0.0,0.0,2.0,27.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,63.0,0.0,23.0,1.0,2.0,1.0,0.0,0.0,7.0,190.0,92.0,19.0,5.0,3.0,5.0,9.0,24.0,0.0,253.0,0.0,82.0,113.0,167.0,0.0,45.0,40.0,13.0,7.0,0.0,65.0,129.0,96.0,43.0,42.0,1600
06075980900,10.0,8.0,76.0,25.0,3.0,49.0,8.0,0.0,39.0,173.0,0.0,159.0,0.0,2.0,24.0,0.0,0.0,0.0,94.0,356.0,0.0,95.0,21.0,45.0,10.0,0.0,0.0,189.0,2009.0,1380.0,173.0,995.0,95.0,17.0,167.0,252.0,0.0,4502.0,11.0,454.0,1682.0,6774.0,13.0,666.0,598.0,61.0,160.0,5.0,886.0,1189.0,2463.0,1292.0,339.0,27592
