GEOID,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,HUMAN TRAFFICKING,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
53033007900,0.0,473.0,17.0,0.0,293.0,6.0,2.0,298.0,62.0,38.0,5.0,6.0,0.0,136.0,0.0,0.0,0.0,0.0,676.0,2.0,138.0,0.0,1.0,0.0,59.0,0.0,0.0,12.0,201.0,17.0,2442
53033008001,2.0,693.0,17.0,1.0,401.0,7.0,17.0,374.0,77.0,147.0,9.0,5.0,0.0,238.0,0.0,0.0,0.0,0.0,1424.0,2.0,113.0,0.0,0.0,63.0,84.0,0.0,0.0,18.0,119.0,47.0,3858
53033008002,3.0,530.0,14.0,0.0,259.0,7.0,3.0,360.0,59.0,161.0,8.0,5.0,0.0,153.0,0.0,0.0,0.0,0.0,3079.0,5.0,86.0,0.0,0.0,0.0,46.0,0.0,0.0,25.0,168.0,33.0,5004
53033008100,21.0,4273.0,146.0,0.0,966.0,134.0,91.0,1335.0,216.0,2207.0,73.0,10.0,0.0,700.0,3.0,0.0,0.0,0.0,10803.0,58.0,277.0,0.0,3.0,14.0,962.0,0.0,0.0,251.0,1380.0,354.0,24277
53033008200,4.0,946.0,53.0,0.0,503.0,28.0,7.0,488.0,62.0,254.0,79.0,5.0,0.0,370.0,0.0,0.0,0.0,0.0,4392.0,2.0,131.0,0.0,1.0,23.0,198.0,0.0,0.0,38.0,495.0,64.0,8143
53033008300,3.0,385.0,7.0,0.0,206.0,6.0,1.0,163.0,53.0,85.0,7.0,3.0,0.0,130.0,0.0,0.0,0.0,0.0,727.0,7.0,62.0,0.0,0.0,1.0,46.0,0.0,0.0,12.0,131.0,20.0,2055
53033008400,6.0,779.0,78.0,1.0,501.0,50.0,1.0,419.0,132.0,145.0,2.0,5.0,0.0,169.0,0.0,0.0,0.0,0.0,1674.0,9.0,198.0,0.0,0.0,0.0,101.0,0.0,0.0,35.0,302.0,64.0,4671
53033008500,12.0,1133.0,43.0,0.0,164.0,27.0,4.0,330.0,64.0,99.0,14.0,4.0,0.0,554.0,0.0,0.0,0.0,0.0,1045.0,1.0,153.0,0.0,19.0,35.0,58.0,0.0,0.0,12.0,332.0,57.0,4160
53033008600,9.0,662.0,18.0,0.0,300.0,12.0,2.0,371.0,132.0,52.0,12.0,4.0,0.0,135.0,0.0,0.0,0.0,0.0,1072.0,4.0,156.0,0.0,0.0,3.0,71.0,0.0,0.0,11.0,224.0,28.0,3278
53033008700,5.0,417.0,16.0,0.0,212.0,4.0,1.0,223.0,38.0,27.0,4.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,688.0,0.0,152.0,0.0,1.0,2.0,35.0,0.0,0.0,11.0,97.0,20.0,2055
