,extr_low,very_low,low
1,26800,44650,66250
13,26800,44650,66250
41,33950,56550,90500
55,24550,40900,64000
75,33950,56550,90500
81,33950,56550,90500
85,31850,53050,84900
95,23800,39700,63500
97,24050,40100,64000
