"GEOID","REGION","Year","Renters","Eviction_Filings","Evictions","Eviction_Filings_RR","Evictions_RR"
"08005007400","Denver",2016,750,27,14,0.54,0.61
"08005005632","Denver",2016,247,19,7,1.15,0.93
"08005005629","Denver",2016,25,0,0,NA,NA
"08005005625","Denver",2016,287,5,2,0.26,0.23
"08005007105","Denver",2016,280,85,36,4.54,4.2
"08005080200","Denver",2016,789,121,56,2.29,2.32
"08005006854","Denver",2016,705,34,13,0.72,0.6
"08005085900","Denver",2016,148,4,1,0.4,0.22
"08005006707","Denver",2016,367,5,4,0.2,0.36
"08005006808","Denver",2016,116,1,0,0.13,0
"08005082800","Denver",2016,498,35,14,1.05,0.92
"08005087000","Denver",2016,1844,386,129,3.13,2.28
"08005080500","Denver",2016,552,29,20,0.79,1.18
"08005082500","Denver",2016,146,2,1,0.2,0.22
"08005007202","Denver",2016,837,40,30,0.71,1.17
"08005005627","Denver",2016,195,4,4,0.31,0.67
"08005006706","Denver",2016,541,33,16,0.91,0.97
"08005006603","Denver",2016,457,17,10,0.56,0.71
"08005015100","Denver",2016,114,22,9,2.89,2.58
"08005082000","Denver",2016,1594,299,106,2.8,2.17
"08005006708","Denver",2016,435,36,12,1.24,0.9
"08005006712","Denver",2016,68,4,2,NA,NA
"08005007302","Denver",2016,1547,119,79,1.15,1.67
"08005006858","Denver",2016,2246,85,44,0.57,0.64
"08005086000","Denver",2016,656,66,28,1.5,1.39
"08005006815","Denver",2016,991,81,21,1.22,0.69
"08005005634","Denver",2016,322,10,3,0.46,0.3
"08005086500","Denver",2016,829,85,35,1.53,1.38
"08005086300","Denver",2016,894,62,25,1.04,0.91
"08005085700","Denver",2016,552,48,23,1.3,1.36
"08019014800","Denver",2016,338,14,10,0.62,0.97
"08019014900","Denver",2016,384,9,6,0.35,0.51
"08019014700","Denver",2016,343,14,9,0.61,0.86
"08031002100","Denver",2016,1635,41,18,0.37,0.36
"08031004505","Denver",2016,805,27,17,0.5,0.69
"08031006809","Denver",2016,2010,54,27,0.4,0.44
"08031015600","Denver",2016,1352,57,33,0.63,0.8
"08031003701","Denver",2016,1247,8,5,0.1,0.13
"08031006701","Denver",2016,1742,138,47,1.18,0.88
"08031001600","Denver",2016,4124,204,89,0.74,0.7
"08031000905","Denver",2016,575,5,5,0.13,0.28
"08031001301","Denver",2016,694,14,8,0.3,0.38
"08031006901","Denver",2016,2257,235,129,1.56,1.87
"08031000701","Denver",2016,1374,46,33,0.5,0.78
"08031001401","Denver",2016,1212,96,42,1.18,1.13
"08031002000","Denver",2016,962,53,30,0.82,1.02
"08031002901","Denver",2016,944,15,9,0.24,0.31
"08031007006","Denver",2016,2364,571,218,3.61,3.01
"08031008390","Denver",2016,1236,118,41,1.43,1.08
